id,type,cluster,label,discoverabilityState,graphReadiness,duplicateEntityRisk,authorityRisk,paths,routeFamilies,evidenceReadiness,orphanState
"article:are-infj-men-rare-or-socially-silenced","article","article","are-infj-men-rare-or-socially-silenced","public_inventory","weak","p2","none","/en/articles/are-infj-men-rare-or-socially-silenced|/zh/articles/are-infj-men-rare-or-socially-silenced","article_detail","partial","{""true_orphan"":2}"
"article:best-valentines-date-by-personality-and-relationship-science","article","article","best-valentines-date-by-personality-and-relationship-science","public_inventory","weak","p2","none","/en/articles/best-valentines-date-by-personality-and-relationship-science|/zh/articles/best-valentines-date-by-personality-and-relationship-science","article_detail","partial","{""true_orphan"":2}"
"article:big-five-growth-guide","article","article","big-five-growth-guide","public_inventory","weak","none","none","/en/articles/big-five-growth-guide|/zh/articles/big-five-growth-guide","article_detail","partial","{""true_orphan"":1}"
"article:big-five-narrative-portrait","article","article","big-five-narrative-portrait","public_inventory","weak","none","none","/en/articles/big-five-narrative-portrait|/zh/articles/big-five-narrative-portrait","article_detail","partial","{""true_orphan"":1}"
"article:big-five-tool-guide","article","article","big-five-tool-guide","public_inventory","weak","none","none","/en/articles/big-five-tool-guide|/zh/articles/big-five-tool-guide","article_detail","partial","{""true_orphan"":1}"
"article:childhood-dream-job-still-shapes-career-choice","article","article","childhood-dream-job-still-shapes-career-choice","public_inventory","weak","p2","none","/en/articles/childhood-dream-job-still-shapes-career-choice|/zh/articles/childhood-dream-job-still-shapes-career-choice","article_detail","partial","{""true_orphan"":2}"
"article:eq-test-tool-guide","article","article","eq-test-tool-guide","public_inventory","weak","none","none","/en/articles/eq-test-tool-guide|/zh/articles/eq-test-tool-guide","article_detail","partial","{""true_orphan"":1}"
"article:how-16-personality-types-talk-to-an-ai-coach","article","article","how-16-personality-types-talk-to-an-ai-coach","public_inventory","weak","p2","none","/en/articles/how-16-personality-types-talk-to-an-ai-coach|/zh/articles/how-16-personality-types-talk-to-an-ai-coach","article_detail","partial","{""true_orphan"":2}"
"article:how-personality-shapes-attitude-toward-ai","article","article","how-personality-shapes-attitude-toward-ai","public_inventory","weak","p2","none","/en/articles/how-personality-shapes-attitude-toward-ai|/zh/articles/how-personality-shapes-attitude-toward-ai","article_detail","partial","{""true_orphan"":2}"
"article:iq-test-growth-guide","article","article","iq-test-growth-guide","public_inventory","weak","none","none","/en/articles/iq-test-growth-guide|/zh/articles/iq-test-growth-guide","article_detail","partial","{""true_orphan"":1}"
"article:iq-test-narrative-portrait","article","article","iq-test-narrative-portrait","public_inventory","weak","none","none","/en/articles/iq-test-narrative-portrait|/zh/articles/iq-test-narrative-portrait","article_detail","partial","{""true_orphan"":1}"
"article:iq-test-tool-guide","article","article","iq-test-tool-guide","public_inventory","weak","none","none","/en/articles/iq-test-tool-guide|/zh/articles/iq-test-tool-guide","article_detail","partial","{""true_orphan"":1}"
"article:mbti-basics","article","article","mbti-basics","public_inventory","weak","none","none","/en/articles/mbti-basics|/zh/articles/mbti-basics","article_detail","partial","{""true_orphan"":1}"
"article:mbti-growth-guide","article","article","mbti-growth-guide","public_inventory","weak","none","none","/en/articles/mbti-growth-guide|/zh/articles/mbti-growth-guide","article_detail","partial","{""true_orphan"":1}"
"article:mbti-narrative-portrait","article","article","mbti-narrative-portrait","public_inventory","weak","none","none","/en/articles/mbti-narrative-portrait|/zh/articles/mbti-narrative-portrait","article_detail","partial","{""true_orphan"":1}"
"article:which-love-script-fits-you-best","article","article","which-love-script-fits-you-best","public_inventory","weak","p2","none","/en/articles/which-love-script-fits-you-best|/zh/articles/which-love-script-fits-you-best","article_detail","partial","{""true_orphan"":2}"
"career_family:business-and-financial-37ec69bd","career_family","career","business-and-financial-37ec69bd","public_inventory","dangerous","p1","p1","/en/career/family/business-and-financial-37ec69bd|/zh/career/family/business-and-financial-37ec69bd","career_family","partial","{""true_orphan"":2}"
"career_family:business-and-financial-a0352070","career_family","career","business-and-financial-a0352070","public_inventory","dangerous","p1","p1","/en/career/family/business-and-financial-a0352070|/zh/career/family/business-and-financial-a0352070","career_family","partial","{""true_orphan"":2}"
"career_family:computer-and-information-technology","career_family","career","computer-and-information-technology","public_inventory","dangerous","p1","p1","/en/career/family/computer-and-information-technology|/zh/career/family/computer-and-information-technology","career_family","partial","{""true_orphan"":2}"
"career_family:healthcare","career_family","career","healthcare","public_inventory","dangerous","p1","p1","/en/career/family/healthcare|/zh/career/family/healthcare","career_family","partial","{""true_orphan"":2}"
"career_job:accountants-and-auditors","career_job","career","accountants-and-auditors","public_inventory","weak","none","none","/en/career/jobs/accountants-and-auditors|/zh/career/jobs/accountants-and-auditors","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:actors","career_job","career","actors","public_inventory","weak","none","none","/en/career/jobs/actors|/zh/career/jobs/actors","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:actuaries","career_job","career","actuaries","public_inventory","weak","none","none","/en/career/jobs/actuaries|/zh/career/jobs/actuaries","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:administrative-services-managers","career_job","career","administrative-services-managers","public_inventory","weak","none","none","/en/career/jobs/administrative-services-managers|/zh/career/jobs/administrative-services-managers","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:adult-literacy-and-ged-teachers","career_job","career","adult-literacy-and-ged-teachers","public_inventory","weak","none","none","/en/career/jobs/adult-literacy-and-ged-teachers|/zh/career/jobs/adult-literacy-and-ged-teachers","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:advertising-promotions-and-marketing-managers","career_job","career","advertising-promotions-and-marketing-managers","public_inventory","weak","none","none","/en/career/jobs/advertising-promotions-and-marketing-managers|/zh/career/jobs/advertising-promotions-and-marketing-managers","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:advertising-sales-agents","career_job","career","advertising-sales-agents","public_inventory","weak","none","none","/en/career/jobs/advertising-sales-agents|/zh/career/jobs/advertising-sales-agents","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:aerospace-engineering-and-operations-technicians","career_job","career","aerospace-engineering-and-operations-technicians","public_inventory","weak","none","none","/en/career/jobs/aerospace-engineering-and-operations-technicians|/zh/career/jobs/aerospace-engineering-and-operations-technicians","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:agricultural-and-food-science-technicians","career_job","career","agricultural-and-food-science-technicians","public_inventory","weak","none","none","/en/career/jobs/agricultural-and-food-science-technicians|/zh/career/jobs/agricultural-and-food-science-technicians","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:agricultural-engineers","career_job","career","agricultural-engineers","public_inventory","weak","none","none","/en/career/jobs/agricultural-engineers|/zh/career/jobs/agricultural-engineers","career_job_detail","not_ready","{""true_orphan"":1}"
"career_job:air-traffic-controllers","career_job","career","air-traffic-controllers","public_inventory","weak","none","none","/en/career/jobs/air-traffic-controllers|/zh/career/jobs/air-traffic-controllers","career_job_detail","not_ready","{""true_orphan"":1}"
