edgeType,sourceEntity,targetEntity,targetPath,sourceAuthority,visibilityState,renderedVisibility
"topic_to_test","topic:mbti","test:mbti-personality-test-16-personality-types","","backend_cms","public","visible_content"
"topic_to_type","topic:mbti","personality:enfj-a","/en/personality/enfj-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:enfj-a","/zh/personality/enfj-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:enfj-t","/en/personality/enfj-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:enfj-t","/zh/personality/enfj-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:enfp-a","/en/personality/enfp-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:enfp-a","/zh/personality/enfp-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:enfp-t","/en/personality/enfp-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:enfp-t","/zh/personality/enfp-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:entj-a","/en/personality/entj-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:entj-a","/zh/personality/entj-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:entj-t","/en/personality/entj-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:entj-t","/zh/personality/entj-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:entp-a","/en/personality/entp-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:entp-a","/zh/personality/entp-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:entp-t","/en/personality/entp-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:entp-t","/zh/personality/entp-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:esfj-a","/en/personality/esfj-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:esfj-a","/zh/personality/esfj-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:esfj-t","/en/personality/esfj-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:esfj-t","/zh/personality/esfj-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:esfp-a","/en/personality/esfp-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:esfp-a","/zh/personality/esfp-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:esfp-t","/en/personality/esfp-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:esfp-t","/zh/personality/esfp-t","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:estj-a","/en/personality/estj-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:estj-a","/zh/personality/estj-a","backend_cms","candidate","visible_content"
"topic_to_type","topic:mbti","personality:estj-t","/en/personality/estj-t","backend_cms","candidate","visible_content"
