evidence_status,date,not_indexed,indexed,displayed,limitation
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-05-31,,,58,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-01,236,102,76,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-02,2011,500,72,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-03,2011,500,93,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-04,2011,500,271,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-05,2011,500,520,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-06,1943,596,266,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-07,1943,596,423,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-08,1943,596,436,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-09,1907,651,788,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-10,1907,651,2959,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-11,1907,651,776,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-12,1907,651,669,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-13,1851,800,619,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-14,1851,800,463,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-15,1851,800,505,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-16,1851,800,1273,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-17,1851,800,1404,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-18,1851,800,928,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-19,1851,800,765,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-20,1851,800,657,Blank historical cells are preserved as unavailable; category-level export only.
