conflict_id,framework,locale,normalized_query,competing_urls,current28_impressions,current28_clicks,current28_position,prev28_impressions,day90_impressions,intended_owner,current_owner,runner_up_share,severity,decision,evidence_status,evidence,dependency,page_indexing_state
P06-EN-001,enneagram,en,self preservation 1,https://fermatmind.com/en/personality/enneagram/type-1/instincts/self-preservation;https://fermatmind.com/en/personality/enneagram/type-6/instincts/self-preservation,13,0,15.461538,NOT_RETURNED,13,UNKNOWN,https://fermatmind.com/en/personality/enneagram/type-1/instincts/self-preservation,0.076923,OBSERVATIONAL,MONITOR_NO_INDEXABILITY_ACTION,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
P06-EN-002,enneagram,en,self preservation enneagram,https://fermatmind.com/en/personality/enneagram/type-1/instincts/self-preservation;https://fermatmind.com/en/personality/enneagram/type-6/instincts/self-preservation,3,0,27.333333,NOT_RETURNED,3,https://fermatmind.com/en/personality/enneagram,https://fermatmind.com/en/personality/enneagram/type-1/instincts/self-preservation,0.333333,OBSERVATIONAL,MONITOR_NO_INDEXABILITY_ACTION,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
P06-EN-003,enneagram,en,self preservation mode,https://fermatmind.com/en/personality/enneagram/type-6/instincts/self-preservation;https://fermatmind.com/en/personality/enneagram/type-1/instincts/self-preservation,2,0,36.5,NOT_RETURNED,2,UNKNOWN,https://fermatmind.com/en/personality/enneagram/type-6/instincts/self-preservation,0.5,OBSERVATIONAL,MONITOR_NO_INDEXABILITY_ACTION,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
P06-EN-004,enneagram,en,self-preservation enneagram,https://fermatmind.com/en/personality/enneagram/type-7/instincts/self-preservation;https://fermatmind.com/en/personality/enneagram/type-6/instincts/self-preservation,2,0,17.5,NOT_RETURNED,2,https://fermatmind.com/en/personality/enneagram,https://fermatmind.com/en/personality/enneagram/type-7/instincts/self-preservation,0.5,OBSERVATIONAL,MONITOR_NO_INDEXABILITY_ACTION,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
P06-EN-005,big_five,en,tender mindedness,https://fermatmind.com/en/personality/big-five/facets/tender-mindedness;https://fermatmind.com/en/personality/big-five/agreeableness,2,0,16.5,NOT_RETURNED,2,UNKNOWN,https://fermatmind.com/en/personality/big-five/facets/tender-mindedness,0.5,OBSERVATIONAL,MONITOR_NO_INDEXABILITY_ACTION,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
P06-ZH-006,mbti,zh-CN,intp,https://fermatmind.com/zh/personality/intj-vs-intp;https://fermatmind.com/zh/personality/intp-a-vs-intp-t;https://fermatmind.com/zh/personality/intp-a,8,0,8.75,2,10,https://fermatmind.com/zh/personality/intp,https://fermatmind.com/zh/personality/intj-vs-intp,0.375,OBSERVATIONAL,MONITOR_NO_INDEXABILITY_ACTION,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
P06-ZH-007,mbti,zh-CN,intp a,https://fermatmind.com/zh/personality/intp-a-vs-intp-t;https://fermatmind.com/zh/personality/intp-a,91,0,8.450549,28,122,https://fermatmind.com/zh/personality/intp-a,https://fermatmind.com/zh/personality/intp-a-vs-intp-t,0.230769,MEDIUM,ALIGN_METADATA_AND_INTERNAL_LINKS_TO_INTENDED_OWNER,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
P06-ZH-008,mbti,zh-CN,intp-a,https://fermatmind.com/zh/personality/intp-a-vs-intp-t;https://fermatmind.com/zh/personality/intp-a,151,1,4.86755,65,221,https://fermatmind.com/zh/personality/intp-a,https://fermatmind.com/zh/personality/intp-a-vs-intp-t,0.337748,HIGH,ALIGN_METADATA_AND_INTERNAL_LINKS_TO_INTENDED_OWNER,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
P06-ZH-009,mbti,zh-CN,intp-a人格,https://fermatmind.com/zh/personality/intp-a;https://fermatmind.com/zh/personality/intp-a-vs-intp-t,13,0,11.153846,5,18,https://fermatmind.com/zh/personality/intp-a,https://fermatmind.com/zh/personality/intp-a,0.076923,OBSERVATIONAL,MONITOR_NO_INDEXABILITY_ACTION,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
P06-ZH-010,mbti,zh-CN,intp_a,https://fermatmind.com/zh/personality/intp-a-vs-intp-t;https://fermatmind.com/zh/personality/intp-a,2,0,3,1,4,https://fermatmind.com/zh/personality/intp,https://fermatmind.com/zh/personality/intp-a-vs-intp-t,0.5,OBSERVATIONAL,MONITOR_NO_INDEXABILITY_ACTION,VERIFIED_M01_CURRENT28,M01 query×page aggregate; one exact normalized safe query observed on multiple public personality pages,No redirect/noindex/content change without separate CMS-authoritative review,UNKNOWN_PAGE_LEVEL
