article_id,locale,slug,canonical_url,baseline_captured_at,formal_review_date,gsc_90d,ga4_90d,article_to_test_clicks_90d,qualified_completes_90d,referring_links,internal_link_role,topic_owner_role,content_freshness,claim_accuracy,cms_revision_history,current_dead_candidate_status,provisional_decision,execution_authorized,reassessment_requirements
26,en,are-infj-men-rare-or-socially-silenced,https://fermatmind.com/en/articles/are-infj-men-rare-or-socially-silenced,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-04-23T13:19:30.000000Z,Unknown,25,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
27,en,best-valentines-date-by-personality-and-relationship-science,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-04-23T13:19:30.000000Z,Unknown,26,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
81,en,big-five-conscientiousness-low-procrastination-task-plan,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-07-05T05:45:44.000000Z,Unknown,101,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
79,en,big-five-emotional-stability-stress-recovery-communication,https://fermatmind.com/en/articles/big-five-emotional-stability-stress-recovery-communication,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-07-04T04:35:25.000000Z,Unknown,99,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
186,en,big-five-growth-guide,https://fermatmind.com/en/articles/big-five-growth-guide,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-08-03T08:24:46.000000Z,Unknown,447,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
187,en,big-five-narrative-portrait,https://fermatmind.com/en/articles/big-five-narrative-portrait,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-08-03T08:24:46.000000Z,Unknown,448,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
35,en,big-five-personality-test-vs-mbti,https://fermatmind.com/en/articles/big-five-personality-test-vs-mbti,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-05-17T09:58:31.000000Z,Unknown,40,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
188,en,big-five-tool-guide,https://fermatmind.com/en/articles/big-five-tool-guide,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-08-03T08:24:46.000000Z,Unknown,449,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
47,en,career-interest-test-vs-personality-test,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-06-12T14:04:34.000000Z,Unknown,53,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
29,en,childhood-dream-job-still-shapes-career-choice,https://fermatmind.com/en/articles/childhood-dream-job-still-shapes-career-choice,2026-08-10T12:00:00+08:00,2026-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,article_cohort:0;sitewide:Unknown,Unknown,2026-04-23T11:24:08.000000Z,Unknown,28,NOT_AUTHORIZED_INCOMPLETE_90D,NEED_MORE_DATA,false,GSC/GA4/click/complete/backlink/internal role/topic owner/freshness/claim/revision history
