evidence_status,window_id,window_start,window_end,property,search_type,dimension,dimension_value,clicks,impressions,ctr_percent,position,source_row_rank,row_limit,pagination,limitation
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/big-five-tool-guide,11,676,1.63,7.91,5,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced,6,209,2.87,8.3,8,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/enneagram-personality-test-explained,4,620,0.65,7.31,10,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,3,1637,0.18,24.58,11,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/gaokao-major-adjustment-unacceptable-major-checklist,1,1085,0.09,6.58,25,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/mbti-basics,1,600,0.17,16.73,26,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/eq-test-tool-guide,1,78,1.28,9.77,40,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/how-personality-shapes-attitude-toward-ai,1,22,4.55,9.05,52,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/major-career-mismatch-job-search-skills-plan,0,211,0.0,9.68,64,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/riasec-holland-career-interest-test-explained,0,207,0.0,6.86,66,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/en/articles/big-five-emotional-stability-stress-recovery-communication,0,173,0.0,12.31,69,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/en/articles/major-career-mismatch-job-search-skills-plan,0,159,0.0,11.53,70,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/big-five-emotional-stability-stress-recovery-communication,0,146,0.0,12.71,71,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/unwanted-major-repeat-or-stay-riasec-decision-checklist,0,125,0.0,8.19,77,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,0,118,0.0,6.03,79,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/en/articles/unwanted-major-repeat-or-stay-riasec-decision-checklist,0,105,0.0,18.54,84,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/en/articles/hot-major-fit-riasec-course-career-checklist,0,98,0.0,16.21,88,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
VERIFIED_GSC_UI_SINGLE_DIMENSION,current28,2026-07-13,2026-08-09,sc-domain:fermatmind.com,web,page,https://fermatmind.com/zh/articles/math-not-good-computer-ai-major-course-riasec-checklist,0,90,0.0,10.64,94,1000,NOT_AVAILABLE_IN_UI_EXPORT,Single-dimension GSC UI export; rows cannot be joined across dimensions; top-row and UI cap limitations apply.
