normalized_query,mapping_state,owner_row_id,topic,locale,proposed_primary_owner,current_owner,current28_impressions,non_owner_impressions,non_owner_share,page_count,public_canonical_count,decision,actionable_owner_conflict,evidence_status
16 人格测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,15.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
16人格测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,321.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
16型人格测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,290.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
16型人格測試,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,15.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
16种人格测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,51.0,1.0,0.019608,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 16 型 人格 測驗 免費,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,37.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti test 免費,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,34.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 人格 测试 免费,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,16.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 免费,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,11.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 免费测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,11.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 快速测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,16.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,18.0,2.0,0.111111,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 测试 免費,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,75.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 测试 免费,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,20.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
