sampleId,surface,locale,device,baseUrl,param,requestUrl,ssrCanonical,hydratedCanonical,overallPass,evidence
"01","homepage","neutral","mobile","https://fermatmind.com/","utm_source","https://fermatmind.com/?utm_source=technical_audit","https://fermatmind.com","https://fermatmind.com/","true","VERIFIED; GSC UNKNOWN"
"02","homepage","en","desktop","https://fermatmind.com/en","utm_medium","https://fermatmind.com/en?utm_medium=technical_audit","https://fermatmind.com/en","https://fermatmind.com/en","true","VERIFIED; GSC UNKNOWN"
"03","tests_hub","zh","mobile","https://fermatmind.com/zh/tests","utm_campaign","https://fermatmind.com/zh/tests?utm_campaign=technical_audit","https://fermatmind.com/zh/tests","https://fermatmind.com/zh/tests","true","VERIFIED; GSC UNKNOWN"
"04","tests_hub","en","desktop","https://fermatmind.com/en/tests","utm_term","https://fermatmind.com/en/tests?utm_term=technical_audit","https://fermatmind.com/en/tests","https://fermatmind.com/en/tests","true","VERIFIED; GSC UNKNOWN"
"05","mbti","zh","mobile","https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types","utm_content","https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types?utm_content=technical_audit","https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types","https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types","true","VERIFIED; GSC UNKNOWN"
"06","mbti","en","desktop","https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types","gclid","https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types?gclid=technical_audit","https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types","https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types","true","VERIFIED; GSC UNKNOWN"
"07","riasec","zh","mobile","https://fermatmind.com/zh/tests/holland-career-interest-test-riasec","fbclid","https://fermatmind.com/zh/tests/holland-career-interest-test-riasec?fbclid=technical_audit","https://fermatmind.com/zh/tests/holland-career-interest-test-riasec","https://fermatmind.com/zh/tests/holland-career-interest-test-riasec","true","VERIFIED; GSC UNKNOWN"
"08","riasec","en","desktop","https://fermatmind.com/en/tests/holland-career-interest-test-riasec","msclkid","https://fermatmind.com/en/tests/holland-career-interest-test-riasec?msclkid=technical_audit","https://fermatmind.com/en/tests/holland-career-interest-test-riasec","https://fermatmind.com/en/tests/holland-career-interest-test-riasec","true","VERIFIED; GSC UNKNOWN"
"09","big_five","zh","mobile","https://fermatmind.com/zh/personality/big-five","ref","https://fermatmind.com/zh/personality/big-five?ref=technical_audit","https://fermatmind.com/zh/personality/big-five","https://fermatmind.com/zh/personality/big-five","true","VERIFIED; GSC UNKNOWN"
"10","big_five","en","desktop","https://fermatmind.com/en/personality/big-five","source","https://fermatmind.com/en/personality/big-five?source=technical_audit","https://fermatmind.com/en/personality/big-five","https://fermatmind.com/en/personality/big-five","true","VERIFIED; GSC UNKNOWN"
"11","personality","zh","mobile","https://fermatmind.com/zh/personality/intp","utm_source","https://fermatmind.com/zh/personality/intp?utm_source=technical_audit","https://fermatmind.com/zh/personality/intp","https://fermatmind.com/zh/personality/intp","true","VERIFIED; GSC UNKNOWN"
"12","personality","en","desktop","https://fermatmind.com/en/personality/intp-a","utm_medium","https://fermatmind.com/en/personality/intp-a?utm_medium=technical_audit","https://fermatmind.com/en/personality/intp-a","https://fermatmind.com/en/personality/intp-a","true","VERIFIED; GSC UNKNOWN"
"13","article","zh","mobile","https://fermatmind.com/zh/articles/mbti-basics","utm_campaign","https://fermatmind.com/zh/articles/mbti-basics?utm_campaign=technical_audit","https://fermatmind.com/zh/articles/mbti-basics","https://fermatmind.com/zh/articles/mbti-basics","true","VERIFIED; GSC UNKNOWN"
