sample_id,tier,surface,locale,url,method,captured_at,status,duration_ms,bytes,cache_control,x_proxy_cache,sample_status,evidence_level,limitation
API-BROWSER-001,L1,mbti_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/scales/MBTI/questions?form_code=mbti_144&locale=zh-CN,GET,2026-08-10T04:24:47.013Z,200,0.8,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-002,L1,mbti_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:24:47.013Z,200,78.2,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-003,L1,mbti_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/scales/MBTI/questions?form_code=mbti_144&locale=zh-CN,GET,2026-08-10T04:24:50.116Z,200,1.2,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-004,L1,mbti_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:24:50.116Z,200,80.5,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-005,L1,mbti_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/scales/MBTI/questions?form_code=mbti_144&locale=zh-CN,GET,2026-08-10T04:24:53.203Z,200,0.7,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-006,L1,mbti_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:24:53.203Z,200,83.2,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-007,L1,riasec_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/scales/RIASEC/questions?form_code=riasec_140&locale=en,GET,2026-08-10T04:24:59.029Z,200,849.8,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-008,L1,riasec_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:24:59.029Z,200,84,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-009,L1,riasec_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/scales/RIASEC/questions?form_code=riasec_140&locale=en,GET,2026-08-10T04:25:02.417Z,200,0.5,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-010,L2,big_five_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/scales/lookup?slug=big-five-personality-test-ocean-model&locale=en,GET,2026-08-10T04:27:18.506Z,200,286,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-011,L2,big_five_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/scales/BIG5_OCEAN/questions?form_code=big5_120&locale=en,GET,2026-08-10T04:27:18.506Z,200,265.9,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-012,L2,big_five_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:27:18.506Z,200,99.3,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-013,L2,big_five_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/scales/lookup?slug=big-five-personality-test-ocean-model&locale=en,GET,2026-08-10T04:27:21.611Z,200,92.6,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-014,L2,big_five_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/scales/BIG5_OCEAN/questions?form_code=big5_120&locale=en,GET,2026-08-10T04:27:21.611Z,200,0.5,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-015,L2,big_five_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:27:21.611Z,200,81.8,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-016,L2,big_five_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/scales/lookup?slug=big-five-personality-test-ocean-model&locale=en,GET,2026-08-10T04:27:24.711Z,200,168.9,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-017,L2,big_five_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/scales/BIG5_OCEAN/questions?form_code=big5_120&locale=en,GET,2026-08-10T04:27:24.711Z,200,0.6,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-018,L2,big_five_question_bootstrap,en,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:27:24.711Z,200,81.7,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-019,L2,big_five_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/scales/lookup?slug=big-five-personality-test-ocean-model&locale=zh,GET,2026-08-10T04:27:29.962Z,200,139.1,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-020,L2,big_five_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/scales/BIG5_OCEAN/questions?form_code=big5_120&locale=zh-CN,GET,2026-08-10T04:27:29.962Z,200,572.6,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-021,L2,big_five_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:27:29.962Z,200,81.9,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-022,L2,big_five_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/scales/lookup?slug=big-five-personality-test-ocean-model&locale=zh,GET,2026-08-10T04:27:33.080Z,200,87.2,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-023,L2,big_five_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/scales/BIG5_OCEAN/questions?form_code=big5_120&locale=zh-CN,GET,2026-08-10T04:27:33.080Z,200,1,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-024,L2,big_five_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:27:33.080Z,200,85,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-025,L2,big_five_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/scales/lookup?slug=big-five-personality-test-ocean-model&locale=zh,GET,2026-08-10T04:27:36.185Z,200,100.9,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-026,L2,big_five_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/scales/BIG5_OCEAN/questions?form_code=big5_120&locale=zh-CN,GET,2026-08-10T04:27:36.185Z,200,0.5,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-027,L2,big_five_question_bootstrap,zh,https://api.fermatmind.com/api/v0.3/public-gateways/test-metrics-summary,GET,2026-08-10T04:27:36.185Z,200,82.7,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-028,L3,article_near_winner,zh,https://api.fermatmind.com/storage/media-library/variants/articleriasecpillarcoverv1/hero_1600x900.jpg,GET,2026-08-10T04:28:56.850Z,,600.8,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-029,L3,article_near_winner,zh,https://api.fermatmind.com/storage/media-library/variants/articleriasecpillarcoverv1/hero_1600x900.jpg,GET,2026-08-10T04:28:59.282Z,,0,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-030,L3,article_near_winner,zh,https://api.fermatmind.com/storage/media-library/variants/articleriasecpillarcoverv1/hero_1600x900.jpg,GET,2026-08-10T04:29:01.871Z,,0,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-031,L3,article_authority,zh,https://api.fermatmind.com/storage/media-library/variants/articleiqscorelimitspillarcoverv1/thumbnail_400x225.jpg,GET,2026-08-10T04:29:20.670Z,,0,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-032,L3,article_long_body,en,https://api.fermatmind.com/static/articles/covers/are-infj-men-rare-or-socially-silenced.svg,GET,2026-08-10T04:29:45.427Z,,112.1,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-033,L3,article_long_body,en,https://api.fermatmind.com/static/articles/covers/are-infj-men-rare-or-socially-silenced.svg,GET,2026-08-10T04:29:52.665Z,,0,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
API-BROWSER-034,L3,article_refresh_candidate,zh,https://api.fermatmind.com/storage/media-library/variants/articlembtibasicspillarcoverv1/hero_1600x900.jpg,GET,2026-08-10T04:29:58.396Z,,187.7,0,NOT_EXPOSED_TO_RESOURCE_TIMING,NOT_EXPOSED_TO_RESOURCE_TIMING,success,LAB_ONLY,Browser Resource Timing; transfer size may be zero for cross-origin or cached resources.
