sample_id,window_id,definition_id,historical_sample_ids,tier,surface,locale,url,device_profile,network_profile,cache_profile,attempt,captured_at,timezone,observation_window_ms,measurement_status,http_status,final_url,ttfb_ms,dom_content_loaded_ms,load_ms,fcp_ms,lcp_ms,cls,long_task_count,long_task_total_ms,request_count,transferred_bytes,encoded_body_bytes,lcp_element,semantic_rendered,semantic_detail,api_requests,third_party_hosts,console_error_count,console_summary,cache_control,x_proxy_cache,evidence_level,limitation
IL1-001,L1-WINDOW-20260810-01,L1D-01,LAB-001/LAB-002/LAB-003,L1,tests_hub,en,https://fermatmind.com/en/tests,390x844_mobile_viewport_desktop_chrome_ua,local_unthrottled,shared_context_first_navigation,1,2026-08-10T06:32:20.586Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/en/tests,81.0,708.3,1814.8,760,760,0,0,0,25,419226,412026,P,true,H1=Free assessments,,static.lingcecdn.com,3,CSP report-only upgrade warning,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
IL1-002,L1-WINDOW-20260810-01,L1D-02,LAB-004/LAB-005/LAB-006,L1,tests_hub,zh,https://fermatmind.com/zh/tests,1440x900_desktop,local_unthrottled,shared_context_sequential,1,2026-08-10T06:32:23.123Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/zh/tests,164.3,309,309.2,252,584,0.26665625,0,0,25,42495,412391,H1,true,H1=免费测试,,static.lingcecdn.com,1,CSP report-only upgrade warning,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
IL1-003,L1-WINDOW-20260810-01,L1D-03,LAB-007/LAB-008/LAB-009,L1,mbti_landing,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,390x844_mobile_viewport_desktop_chrome_ua,local_unthrottled,shared_context_sequential,1,2026-08-10T06:32:25.605Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,130.8,243.6,243.9,176,536,0.47985781990521326,0,0,27,45319,414615,H1,true,H1=Free MBTI Personality Test with Full Report,,static.lingcecdn.com,8,CSP report-only upgrade warning,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
IL1-004,L1-WINDOW-20260810-01,L1D-04,LAB-010/LAB-011/LAB-012,L1,mbti_landing,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,1440x900_desktop,local_unthrottled,shared_context_sequential,1,2026-08-10T06:32:28.153Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,75.8,306.1,306.6,124,460,0.44822222222222224,0,0,27,48565,420014,H1,true,H1=免费 MBTI测试：16 型人格完整结果,,static.lingcecdn.com,8,CSP report-only upgrade warning,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
IL1-005,L1-WINDOW-20260810-01,L1D-05,LAB-013/LAB-014/LAB-015,L1,riasec_landing,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,390x844_mobile_viewport_desktop_chrome_ua,local_unthrottled,shared_context_sequential,1,2026-08-10T06:32:30.737Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,75.3,347,347.7,120,444,0.47985781990521326,0,0,27,39037,410486,P,true,H1=Free Holland Career Interest Test with Full Report,,static.lingcecdn.com,8,CSP report-only upgrade warning,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
IL1-006,L1-WINDOW-20260810-01,L1D-06,LAB-016/LAB-017/LAB-018,L1,riasec_landing,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,1440x900_desktop,local_unthrottled,shared_context_sequential,1,2026-08-10T06:32:33.358Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,78.3,368.2,368.6,136,444,0.4077777777777778,0,0,27,41016,412465,H1,true,H1=免费霍兰德职业兴趣测试：RIASEC完整结果,,static.lingcecdn.com,8,CSP report-only upgrade warning,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
IL1-007,L1-WINDOW-20260810-01,L1D-07,LAB-019/LAB-020/LAB-021,L1,mbti_question_bootstrap,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types/take?form=mbti_93,390x844_mobile_viewport_desktop_chrome_ua,local_unthrottled,shared_context_sequential,1,2026-08-10T06:32:35.895Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types/take?form=mbti_93,70.7,308.7,315.4,124,344,0.2191416690999753,0,0,33,149282,518837,P,true,H2=You often make new friends.; option_count=5,auth/guest=200; mbti/questions?form=mbti_93&locale=en=200; metrics/summary=200,static.lingcecdn.com,1,CSP report-only upgrade warning,"private, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
IL1-008,L1-WINDOW-20260810-01,L1D-08,LAB-022/LAB-023/LAB-024,L1,mbti_question_bootstrap,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types/take?form=mbti_144,1440x900_desktop,local_unthrottled,shared_context_sequential,1,2026-08-10T06:32:38.295Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types/take?form=mbti_144,102.0,148.5,149.8,172,188,0.015231481481481481,0,0,32,25973,518871,P,true,H2=你经常结交新朋友。; option_count=5,mbti/questions?form=mbti_144&locale=zh-CN=200; metrics/summary=200,static.lingcecdn.com,1,CSP report-only upgrade warning,"private, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
IL1-009,L1-WINDOW-20260810-01,L1D-09,LAB-025/LAB-026/LAB-027,L1,riasec_question_bootstrap,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec/take?form=riasec_140,390x844_mobile_viewport_desktop_chrome_ua,local_unthrottled,shared_context_sequential,1,2026-08-10T06:32:40.758Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/en/tests/holland-career-interest-test-riasec/take?form=riasec_140,132.9,182.4,182.7,196,232,0.2191416690999753,0,0,32,25541,518439,P,true,H2=I enjoy building repairing or modifying things by hand.; option_count=5,riasec/questions?form=riasec_140&locale=en=200; metrics/summary=200,static.lingcecdn.com,1,CSP report-only upgrade warning,"private, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
IL1-010,L1-WINDOW-20260810-01,L1D-10,LAB-028/LAB-029/LAB-030,L1,riasec_question_bootstrap,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec/take?form=riasec_60,1440x960_desktop,local_unthrottled,shared_context_sequential,1,2026-08-10T06:32:43.192Z,Asia/Shanghai,2200,SUCCESS,200,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec/take?form=riasec_60,84.2,134.5,136.2,164,528,0.022102955005787035,0,0,32,26502,519400,H2,true,H2=我喜欢动手搭建、修理或改装东西。; option_count=5,riasec/questions?form=riasec_60&locale=zh-CN=200; metrics/summary=200,static.lingcecdn.com,1,CSP report-only upgrade warning,"private, no-store, max-age=0, must-revalidate",BYPASS,LAB_ONLY,Single current complete registry capture window; shared browser context/cache; local unthrottled; not field CWV; no answer/submit.
