url,locale,entity_type,code,content_quality_score_1_5,duplication_risk,boundary_risk,ux_risk,media_risk,evidence_risk,recommended_status,required_fix_before_publish
https://fermatmind.com/zh/personality/big-five,zh-CN,hub,big-five,3,low,safe,medium,high,medium,needs_minor_editorial_repair,minor editorial polish before publish
https://fermatmind.com/zh/personality/big-five/openness,zh-CN,domain,openness,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/conscientiousness,zh-CN,domain,conscientiousness,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/extraversion,zh-CN,domain,extraversion,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/agreeableness,zh-CN,domain,agreeableness,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/neuroticism,zh-CN,domain,neuroticism,3,high,medium risk,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/high-openness,zh-CN,polarity,high-openness,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/low-openness,zh-CN,polarity,low-openness,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/high-conscientiousness,zh-CN,polarity,high-conscientiousness,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/low-conscientiousness,zh-CN,polarity,low-conscientiousness,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/high-extraversion,zh-CN,polarity,high-extraversion,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/low-extraversion,zh-CN,polarity,low-extraversion,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
https://fermatmind.com/zh/personality/big-five/high-agreeableness,zh-CN,polarity,high-agreeableness,3,high,safe,low,high,medium,needs_major_rewrite_or_hold,major risk or duplicate blocker
