url,locale,entity_type,code,breadcrumb_jsonld_ok,faq_jsonld_ok,web_or_collection_jsonld_ok,software_application_absent,faq_visible,api_faq_count,media_expected,media_ok,cta_ok,internal_links_ok,jsonld_types
https://fermatmind.com/zh/personality/big-five,zh,hub,big-five,yes,yes,yes,no,yes,5,no,yes,yes,yes,CollectionPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/openness,zh,domain,openness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/conscientiousness,zh,domain,conscientiousness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/extraversion,zh,domain,extraversion,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/agreeableness,zh,domain,agreeableness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/neuroticism,zh,domain,neuroticism,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/high-openness,zh,polarity,high-openness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/low-openness,zh,polarity,low-openness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/high-conscientiousness,zh,polarity,high-conscientiousness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/low-conscientiousness,zh,polarity,low-conscientiousness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/high-extraversion,zh,polarity,high-extraversion,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/low-extraversion,zh,polarity,low-extraversion,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/high-agreeableness,zh,polarity,high-agreeableness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/low-agreeableness,zh,polarity,low-agreeableness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/high-neuroticism,zh,polarity,high-neuroticism,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/emotional-stability,zh,polarity,emotional-stability,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/zh/personality/big-five/facets,zh,facet_hub,facets,yes,yes,yes,no,yes,5,no,yes,yes,yes,CollectionPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five,en,hub,big-five,yes,yes,yes,no,yes,5,no,yes,yes,yes,CollectionPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/openness,en,domain,openness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/conscientiousness,en,domain,conscientiousness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/extraversion,en,domain,extraversion,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/agreeableness,en,domain,agreeableness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/neuroticism,en,domain,neuroticism,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/high-openness,en,polarity,high-openness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/low-openness,en,polarity,low-openness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/high-conscientiousness,en,polarity,high-conscientiousness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/low-conscientiousness,en,polarity,low-conscientiousness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/high-extraversion,en,polarity,high-extraversion,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/low-extraversion,en,polarity,low-extraversion,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/high-agreeableness,en,polarity,high-agreeableness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/low-agreeableness,en,polarity,low-agreeableness,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/high-neuroticism,en,polarity,high-neuroticism,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/emotional-stability,en,polarity,emotional-stability,yes,yes,yes,no,yes,5,no,yes,yes,yes,WebPage|BreadcrumbList|FAQPage
https://fermatmind.com/en/personality/big-five/facets,en,facet_hub,facets,yes,yes,yes,no,yes,5,no,yes,yes,yes,CollectionPage|BreadcrumbList|FAQPage
