type,severity,key,count,routeFamilies,locales,urls
"duplicate_title","P2","career","4","career_hub|test_category","en|zh","https://fermatmind.com/en/career|https://fermatmind.com/en/tests/category/career|https://fermatmind.com/zh/career|https://fermatmind.com/zh/tests/category/career"
"duplicate_title","P2","computer-and-information-technology","4","career_family|career_industry_detail","en|zh","https://fermatmind.com/en/career/family/computer-and-information-technology|https://fermatmind.com/en/career/industries/computer-and-information-technology|https://fermatmind.com/zh/career/family/computer-and-information-technology|https://fermatmind.com/zh/career/industries/computer-and-information-technology"
"duplicate_title","P2","healthcare","4","career_family|career_industry_detail","en|zh","https://fermatmind.com/en/career/family/healthcare|https://fermatmind.com/en/career/industries/healthcare|https://fermatmind.com/zh/career/family/healthcare|https://fermatmind.com/zh/career/industries/healthcare"
"duplicate_title","P2","personality","4","personality_hub|test_category","en|zh","https://fermatmind.com/en/personality|https://fermatmind.com/en/tests/category/personality|https://fermatmind.com/zh/personality|https://fermatmind.com/zh/tests/category/personality"
"duplicate_title","P2","tests","4","career_hub|tests_hub","en|zh","https://fermatmind.com/en/career/tests|https://fermatmind.com/en/tests|https://fermatmind.com/zh/career/tests|https://fermatmind.com/zh/tests"
"duplicate_title","P2","about","3","help_detail|static_legal_help","en|zh","https://fermatmind.com/en/about|https://fermatmind.com/en/help/about|https://fermatmind.com/zh/about"
"duplicate_title","P2","architecture-and-engineering","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/architecture-and-engineering|https://fermatmind.com/zh/career/industries/architecture-and-engineering"
"duplicate_title","P2","are-infj-men-rare-or-socially-silenced","2","article_detail","en|zh","https://fermatmind.com/en/articles/are-infj-men-rare-or-socially-silenced|https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced"
"duplicate_title","P2","articles","2","articles_hub","en|zh","https://fermatmind.com/en/articles|https://fermatmind.com/zh/articles"
"duplicate_title","P2","arts-and-design","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/arts-and-design|https://fermatmind.com/zh/career/industries/arts-and-design"
"duplicate_title","P2","best-valentines-date-by-personality-and-relationship-science","2","article_detail","en|zh","https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science|https://fermatmind.com/zh/articles/best-valentines-date-by-personality-and-relationship-science"
"duplicate_title","P2","big-five","2","topic_detail","en|zh","https://fermatmind.com/en/topics/big-five|https://fermatmind.com/zh/topics/big-five"
"duplicate_title","P2","big-five-personality-test-ocean-model","2","test_detail","en|zh","https://fermatmind.com/en/tests/big-five-personality-test-ocean-model|https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model"
"duplicate_title","P2","building-and-grounds-cleaning","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/building-and-grounds-cleaning|https://fermatmind.com/zh/career/industries/building-and-grounds-cleaning"
"duplicate_title","P2","business","2","static_legal_help","en|zh","https://fermatmind.com/en/business|https://fermatmind.com/zh/business"
"duplicate_title","P2","business-and-financial","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/business-and-financial|https://fermatmind.com/zh/career/industries/business-and-financial"
"duplicate_title","P2","business-and-financial-37ec69bd","2","career_family","en|zh","https://fermatmind.com/en/career/family/business-and-financial-37ec69bd|https://fermatmind.com/zh/career/family/business-and-financial-37ec69bd"
"duplicate_title","P2","business-and-financial-a0352070","2","career_family","en|zh","https://fermatmind.com/en/career/family/business-and-financial-a0352070|https://fermatmind.com/zh/career/family/business-and-financial-a0352070"
"duplicate_title","P2","childhood-dream-job-still-shapes-career-choice","2","article_detail","en|zh","https://fermatmind.com/en/articles/childhood-dream-job-still-shapes-career-choice|https://fermatmind.com/zh/articles/childhood-dream-job-still-shapes-career-choice"
"duplicate_title","P2","community-and-social-service","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/community-and-social-service|https://fermatmind.com/zh/career/industries/community-and-social-service"
"duplicate_title","P2","construction-and-extraction","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/construction-and-extraction|https://fermatmind.com/zh/career/industries/construction-and-extraction"
"duplicate_title","P2","contact","2","help_detail","en|zh","https://fermatmind.com/en/help/contact|https://fermatmind.com/zh/help/contact"
"duplicate_title","P2","education-training-and-library","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/education-training-and-library|https://fermatmind.com/zh/career/industries/education-training-and-library"
"duplicate_title","P2","enfj-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/enfj-a|https://fermatmind.com/zh/personality/enfj-a"
"duplicate_title","P2","enfj-t","2","personality_detail","en|zh","https://fermatmind.com/en/personality/enfj-t|https://fermatmind.com/zh/personality/enfj-t"
"duplicate_title","P2","enfp-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/enfp-a|https://fermatmind.com/zh/personality/enfp-a"
"duplicate_title","P2","enfp-t","2","personality_detail","en|zh","https://fermatmind.com/en/personality/enfp-t|https://fermatmind.com/zh/personality/enfp-t"
"duplicate_title","P2","enneagram-personality-test-nine-types","2","test_detail","en|zh","https://fermatmind.com/en/tests/enneagram-personality-test-nine-types|https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types"
"duplicate_title","P2","entertainment-and-sports","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/entertainment-and-sports|https://fermatmind.com/zh/career/industries/entertainment-and-sports"
"duplicate_title","P2","entj-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/entj-a|https://fermatmind.com/zh/personality/entj-a"
"duplicate_title","P2","entj-t","2","personality_detail","en|zh","https://fermatmind.com/en/personality/entj-t|https://fermatmind.com/zh/personality/entj-t"
"duplicate_title","P2","entp-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/entp-a|https://fermatmind.com/zh/personality/entp-a"
"duplicate_title","P2","entp-t","2","personality_detail","en|zh","https://fermatmind.com/en/personality/entp-t|https://fermatmind.com/zh/personality/entp-t"
"duplicate_title","P2","eq-test-emotional-intelligence-assessment","2","test_detail","en|zh","https://fermatmind.com/en/tests/eq-test-emotional-intelligence-assessment|https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment"
"duplicate_title","P2","esfj-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/esfj-a|https://fermatmind.com/zh/personality/esfj-a"
"duplicate_title","P2","esfj-t","2","personality_detail","en|zh","https://fermatmind.com/en/personality/esfj-t|https://fermatmind.com/zh/personality/esfj-t"
"duplicate_title","P2","esfp-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/esfp-a|https://fermatmind.com/zh/personality/esfp-a"
"duplicate_title","P2","esfp-t","2","personality_detail","en|zh","https://fermatmind.com/en/personality/esfp-t|https://fermatmind.com/zh/personality/esfp-t"
"duplicate_title","P2","estj-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/estj-a|https://fermatmind.com/zh/personality/estj-a"
"duplicate_title","P2","estj-t","2","personality_detail","en|zh","https://fermatmind.com/en/personality/estj-t|https://fermatmind.com/zh/personality/estj-t"
"duplicate_title","P2","estp-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/estp-a|https://fermatmind.com/zh/personality/estp-a"
"duplicate_title","P2","estp-t","2","personality_detail","en|zh","https://fermatmind.com/en/personality/estp-t|https://fermatmind.com/zh/personality/estp-t"
"duplicate_title","P2","faq","2","help_detail","en|zh","https://fermatmind.com/en/help/faq|https://fermatmind.com/zh/help/faq"
"duplicate_title","P2","farming-fishing-and-forestry","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/farming-fishing-and-forestry|https://fermatmind.com/zh/career/industries/farming-fishing-and-forestry"
"duplicate_title","P2","food-preparation-and-serving","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/food-preparation-and-serving|https://fermatmind.com/zh/career/industries/food-preparation-and-serving"
"duplicate_title","P2","for-business-and-research","2","help_detail","en|zh","https://fermatmind.com/en/help/for-business-and-research|https://fermatmind.com/zh/help/for-business-and-research"
"duplicate_title","P2","guides","2","career_guides_hub","en|zh","https://fermatmind.com/en/career/guides|https://fermatmind.com/zh/career/guides"
"duplicate_title","P2","holland-career-interest-test-riasec","2","test_detail","en|zh","https://fermatmind.com/en/tests/holland-career-interest-test-riasec|https://fermatmind.com/zh/tests/holland-career-interest-test-riasec"
"duplicate_title","P2","how-16-personality-types-talk-to-an-ai-coach","2","article_detail","en|zh","https://fermatmind.com/en/articles/how-16-personality-types-talk-to-an-ai-coach|https://fermatmind.com/zh/articles/how-16-personality-types-talk-to-an-ai-coach"
"duplicate_title","P2","how-personality-shapes-attitude-toward-ai","2","article_detail","en|zh","https://fermatmind.com/en/articles/how-personality-shapes-attitude-toward-ai|https://fermatmind.com/zh/articles/how-personality-shapes-attitude-toward-ai"
"duplicate_title","P2","industries","2","career_hub","en|zh","https://fermatmind.com/en/career/industries|https://fermatmind.com/zh/career/industries"
"duplicate_title","P2","infj-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/infj-a|https://fermatmind.com/zh/personality/infj-a"
"duplicate_title","P2","infj-t","2","personality_detail","en|zh","https://fermatmind.com/en/personality/infj-t|https://fermatmind.com/zh/personality/infj-t"
"duplicate_title","P2","infp-a","2","personality_detail","en|zh","https://fermatmind.com/en/personality/infp-a|https://fermatmind.com/zh/personality/infp-a"
