target_url,path,locale,entity_type,code,observed_signal,qa_required_count,blocked_reason,recommended_next_task
"https://fermatmind.com/en/personality/enneagram","/en/personality/enneagram","en","hub","enneagram","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram","/zh/personality/enneagram","zh-CN","hub","enneagram","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/centers/gut","/en/personality/enneagram/centers/gut","en","center","gut","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/centers/gut","/zh/personality/enneagram/centers/gut","zh-CN","center","gut","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/centers/heart","/en/personality/enneagram/centers/heart","en","center","heart","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/centers/heart","/zh/personality/enneagram/centers/heart","zh-CN","center","heart","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/centers/head","/en/personality/enneagram/centers/head","en","center","head","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/centers/head","/zh/personality/enneagram/centers/head","zh-CN","center","head","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/type-1","/en/personality/enneagram/type-1","en","core_type","type-1","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/type-1","/zh/personality/enneagram/type-1","zh-CN","core_type","type-1","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/type-2","/en/personality/enneagram/type-2","en","core_type","type-2","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/type-2","/zh/personality/enneagram/type-2","zh-CN","core_type","type-2","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/type-3","/en/personality/enneagram/type-3","en","core_type","type-3","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/type-3","/zh/personality/enneagram/type-3","zh-CN","core_type","type-3","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/type-4","/en/personality/enneagram/type-4","en","core_type","type-4","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/type-4","/zh/personality/enneagram/type-4","zh-CN","core_type","type-4","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/type-5","/en/personality/enneagram/type-5","en","core_type","type-5","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/type-5","/zh/personality/enneagram/type-5","zh-CN","core_type","type-5","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/type-6","/en/personality/enneagram/type-6","en","core_type","type-6","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/type-6","/zh/personality/enneagram/type-6","zh-CN","core_type","type-6","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/type-7","/en/personality/enneagram/type-7","en","core_type","type-7","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/type-7","/zh/personality/enneagram/type-7","zh-CN","core_type","type-7","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/type-8","/en/personality/enneagram/type-8","en","core_type","type-8","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/type-8","/zh/personality/enneagram/type-8","zh-CN","core_type","type-8","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/en/personality/enneagram/type-9","/en/personality/enneagram/type-9","en","core_type","type-9","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
"https://fermatmind.com/zh/personality/enneagram/type-9","/zh/personality/enneagram/type-9","zh-CN","core_type","type-9","GSC_EVIDENCE_PENDING","11","","ENNEAGRAM-PUBLIC-PROFILE-AGENT-QA-01"
