edge_status,source_url,target_url,locale,edge_type,anchor_text_suggestion,priority,reason,safe_public_route,publish_blocker_if_any
"recommended","https://fermatmind.com/en/personality/enfj-a","https://fermatmind.com/en/personality/enfj-t","en","variant_at_pair","ENFJ-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/enfj-a","https://fermatmind.com/en/personality/enfj-a-vs-enfj-t","en","variant_to_comparison","ENFJ-A vs ENFJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/enfj-a-vs-enfj-t","https://fermatmind.com/en/personality/enfj-a","en","comparison_to_variant","ENFJ-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/enfj-a-vs-enfj-t","https://fermatmind.com/en/personality/enfj-t","en","comparison_to_variant","ENFJ-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/enfj-t","https://fermatmind.com/en/personality/enfj-a","en","variant_at_pair","ENFJ-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/enfj-t","https://fermatmind.com/en/personality/enfj-a-vs-enfj-t","en","variant_to_comparison","ENFJ-A vs ENFJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/enfp-a","https://fermatmind.com/en/personality/enfp-t","en","variant_at_pair","ENFP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/enfp-a","https://fermatmind.com/en/personality/enfp-a-vs-enfp-t","en","variant_to_comparison","ENFP-A vs ENFP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/enfp-a-vs-enfp-t","https://fermatmind.com/en/personality/enfp-a","en","comparison_to_variant","ENFP-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/enfp-a-vs-enfp-t","https://fermatmind.com/en/personality/enfp-t","en","comparison_to_variant","ENFP-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/enfp-t","https://fermatmind.com/en/personality/enfp-a","en","variant_at_pair","ENFP-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/enfp-t","https://fermatmind.com/en/personality/enfp-a-vs-enfp-t","en","variant_to_comparison","ENFP-A vs ENFP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/entj-a","https://fermatmind.com/en/personality/entj-t","en","variant_at_pair","ENTJ-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/entj-a","https://fermatmind.com/en/personality/entj-a-vs-entj-t","en","variant_to_comparison","ENTJ-A vs ENTJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/entj-a-vs-entj-t","https://fermatmind.com/en/personality/entj-a","en","comparison_to_variant","ENTJ-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/entj-a-vs-entj-t","https://fermatmind.com/en/personality/entj-t","en","comparison_to_variant","ENTJ-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/entj-t","https://fermatmind.com/en/personality/entj-a","en","variant_at_pair","ENTJ-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/entj-t","https://fermatmind.com/en/personality/entj-a-vs-entj-t","en","variant_to_comparison","ENTJ-A vs ENTJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/entp-a","https://fermatmind.com/en/personality/entp-t","en","variant_at_pair","ENTP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/entp-a","https://fermatmind.com/en/personality/entp-a-vs-entp-t","en","variant_to_comparison","ENTP-A vs ENTP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/entp-a-vs-entp-t","https://fermatmind.com/en/personality/entp-a","en","comparison_to_variant","ENTP-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/entp-a-vs-entp-t","https://fermatmind.com/en/personality/entp-t","en","comparison_to_variant","ENTP-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/entp-t","https://fermatmind.com/en/personality/entp-a","en","variant_at_pair","ENTP-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/entp-t","https://fermatmind.com/en/personality/entp-a-vs-entp-t","en","variant_to_comparison","ENTP-A vs ENTP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/esfj-a","https://fermatmind.com/en/personality/esfj-t","en","variant_at_pair","ESFJ-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/esfj-a","https://fermatmind.com/en/personality/esfj-a-vs-esfj-t","en","variant_to_comparison","ESFJ-A vs ESFJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/esfj-a-vs-esfj-t","https://fermatmind.com/en/personality/esfj-a","en","comparison_to_variant","ESFJ-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/esfj-a-vs-esfj-t","https://fermatmind.com/en/personality/esfj-t","en","comparison_to_variant","ESFJ-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/esfj-t","https://fermatmind.com/en/personality/esfj-a","en","variant_at_pair","ESFJ-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
