priority_rank,path,locale,mbti_type,variant,archetype,impressions,clicks,average_position,module_count,faq_count,internal_link_count
"1","/zh/personality/intp-a","zh-CN","INTP","A","逻辑学家","9","0","12.7","9","5","5"
"2","/zh/personality/esfp-a","zh-CN","ESFP","A","表演者","1","0","7","9","5","5"
"3","/en/personality/enfj-a","en","ENFJ","A","Protagonist","21","0","26.9","9","5","5"
"4","/zh/personality/istp-a","zh-CN","ISTP","A","鉴赏家","7","0","7.3","9","5","5"
"5","/zh/personality/esfj-a","zh-CN","ESFJ","A","执政官","1","0","8","9","5","5"
"6","/en/personality/esfj-t","en","ESFJ","T","Consul","15","0","26.7","9","5","5"
"7","/en/personality/intp-a","en","INTP","A","Logician","1","0","9","9","5","5"
"8","/en/personality/istp-a","en","ISTP","A","Virtuoso","1","0","11","9","5","5"
"9","/en/personality/enfp-a","en","ENFP","A","Campaigner","10","0","38.4","9","5","5"
"10","/zh/personality/istj-a","zh-CN","ISTJ","A","物流师","23","1","9","9","5","5"
