priority_rank,path,page_type,left,right,module_count,faq_count,quick_judgment_rows,internal_link_count
1,/zh/personality/intj-a-vs-intj-t,at_comparison,INTJ-A,INTJ-T,6,5,4,5
2,/zh/personality/intp-a-vs-intp-t,at_comparison,INTP-A,INTP-T,6,5,4,5
3,/zh/personality/entj-a-vs-entj-t,at_comparison,ENTJ-A,ENTJ-T,6,5,4,5
4,/zh/personality/entp-a-vs-entp-t,at_comparison,ENTP-A,ENTP-T,6,5,4,5
5,/zh/personality/infj-a-vs-infj-t,at_comparison,INFJ-A,INFJ-T,6,5,4,5
6,/zh/personality/infp-a-vs-infp-t,at_comparison,INFP-A,INFP-T,6,5,4,5
7,/zh/personality/enfj-a-vs-enfj-t,at_comparison,ENFJ-A,ENFJ-T,6,5,4,5
8,/zh/personality/enfp-a-vs-enfp-t,at_comparison,ENFP-A,ENFP-T,6,5,4,5
9,/zh/personality/istj-a-vs-istj-t,at_comparison,ISTJ-A,ISTJ-T,6,5,4,5
10,/zh/personality/isfj-a-vs-isfj-t,at_comparison,ISFJ-A,ISFJ-T,6,5,4,5
11,/zh/personality/estj-a-vs-estj-t,at_comparison,ESTJ-A,ESTJ-T,6,5,4,5
12,/zh/personality/esfj-a-vs-esfj-t,at_comparison,ESFJ-A,ESFJ-T,6,5,4,5
13,/zh/personality/istp-a-vs-istp-t,at_comparison,ISTP-A,ISTP-T,6,5,4,5
14,/zh/personality/isfp-a-vs-isfp-t,at_comparison,ISFP-A,ISFP-T,6,5,4,5
15,/zh/personality/estp-a-vs-estp-t,at_comparison,ESTP-A,ESTP-T,6,5,4,5
16,/zh/personality/esfp-a-vs-esfp-t,at_comparison,ESFP-A,ESFP-T,6,5,4,5
17,/zh/personality/intj-vs-intp,hot_comparison,INTJ,INTP,6,5,4,6
18,/zh/personality/entj-vs-intj,hot_comparison,ENTJ,INTJ,6,5,4,6
19,/zh/personality/infj-vs-infp,hot_comparison,INFJ,INFP,6,5,4,6
20,/zh/personality/istj-vs-isfj,hot_comparison,ISTJ,ISFJ,6,5,4,6
