approval_record_id,target_path,target_url,locale,slug,entity_kind,cms_resource,payload_sha256,manual_review_decision,production_import_authorized
mbti-cms-approval-39:profile:intj-a,/zh/personality/intj-a,https://fermatmind.com/zh/personality/intj-a,zh-CN,intj-a,profile,personality_profile,86a899aa8fe8a9580a3b5dec861eb9c8358c9a8edc44b21bf2223bd53e57cba8,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:intj-t,/zh/personality/intj-t,https://fermatmind.com/zh/personality/intj-t,zh-CN,intj-t,profile,personality_profile,38a289ad6e18dfa12050ef83094c6b374e981c587f4dd4ca9e93e1b38a043382,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:intp-a,/zh/personality/intp-a,https://fermatmind.com/zh/personality/intp-a,zh-CN,intp-a,profile,personality_profile,10f10aa760ab84d15e38d32c5a0f1391648a2717d24dcdf96f4f5a6cbaac3b51,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:intp-t,/zh/personality/intp-t,https://fermatmind.com/zh/personality/intp-t,zh-CN,intp-t,profile,personality_profile,a0ee7c87dec5c70ed67a319d5c1661173263a2f9731ea93cd5eed3d09a58f08f,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:entj-a,/zh/personality/entj-a,https://fermatmind.com/zh/personality/entj-a,zh-CN,entj-a,profile,personality_profile,30963d98493770f162c34e77c003923af87e30388275abb70340c50e1adf0969,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:entj-t,/zh/personality/entj-t,https://fermatmind.com/zh/personality/entj-t,zh-CN,entj-t,profile,personality_profile,512e832a324ffb70eb3a0a172d967bc3fd01f6f4ab4c2a92327a2334b14b5465,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:entp-a,/zh/personality/entp-a,https://fermatmind.com/zh/personality/entp-a,zh-CN,entp-a,profile,personality_profile,b7ce42f6e4176ab25a594297f2126318c7bf2fe75535fcb97052e16bd9357200,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:entp-t,/zh/personality/entp-t,https://fermatmind.com/zh/personality/entp-t,zh-CN,entp-t,profile,personality_profile,f00247d5299696a9601c5737c4c42bdf464a37bb91adb79be3fecbbed0f7607d,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:infj-a,/zh/personality/infj-a,https://fermatmind.com/zh/personality/infj-a,zh-CN,infj-a,profile,personality_profile,92831fa0619500614062f8dcb1c5705f7e95b27c82c05e0a700f8e2507bd9e32,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:infj-t,/zh/personality/infj-t,https://fermatmind.com/zh/personality/infj-t,zh-CN,infj-t,profile,personality_profile,5fef81f81750aaa6180a8ef2ddd77f74ef36879aa228ac4f6a3c7f41dd6b7d7a,approved_for_fail_closed_importer_preflight,false
