"path","kind","change_mode","qa_decision","failed_gates","human_review_status"
"/zh/personality/intj-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/intj-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/intp-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/intp-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/entj-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/entj-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/entp-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/entp-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/infj-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/infj-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/infp-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/infp-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/enfj-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/enfj-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/enfp-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/enfp-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/istj-a","profile","verify_only","VERIFY_ONLY_EXISTING_AUTHORITY_PASS","","existing_authority_verified_manual_review_before_production"
"/zh/personality/istj-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/isfj-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/isfj-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/estj-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/estj-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/esfj-a","profile","verify_only","VERIFY_ONLY_EXISTING_AUTHORITY_PASS","","existing_authority_verified_manual_review_before_production"
"/zh/personality/esfj-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/istp-a","profile","verify_only","VERIFY_ONLY_EXISTING_AUTHORITY_PASS","","existing_authority_verified_manual_review_before_production"
"/zh/personality/istp-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/isfp-a","profile","verify_only","VERIFY_ONLY_EXISTING_AUTHORITY_PASS","","existing_authority_verified_manual_review_before_production"
"/zh/personality/isfp-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/estp-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/estp-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/esfp-a","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/esfp-t","profile","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/intj-a-vs-intj-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/intp-a-vs-intp-t","at_comparison","verify_only","VERIFY_ONLY_EXISTING_AUTHORITY_PASS","","existing_authority_verified_manual_review_before_production"
"/zh/personality/entj-a-vs-entj-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/entp-a-vs-entp-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/infj-a-vs-infj-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/infp-a-vs-infp-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/enfj-a-vs-enfj-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/enfp-a-vs-enfp-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/istj-a-vs-istj-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/isfj-a-vs-isfj-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/estj-a-vs-estj-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/esfj-a-vs-esfj-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/istp-a-vs-istp-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/isfp-a-vs-isfp-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/estp-a-vs-estp-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/esfp-a-vs-esfp-t","at_comparison","repair","APPROVED_FOR_CMS_DRY_RUN","","automated_preflight_passed_manual_review_before_production"
"/zh/personality/intj-vs-intp","hot_comparison","verify_only","VERIFY_ONLY_EXISTING_AUTHORITY_PASS","","existing_authority_verified_manual_review_before_production"
"/zh/personality/entj-vs-intj","hot_comparison","verify_only","VERIFY_ONLY_EXISTING_AUTHORITY_PASS","","existing_authority_verified_manual_review_before_production"
"/zh/personality/infj-vs-infp","hot_comparison","verify_only","VERIFY_ONLY_EXISTING_AUTHORITY_PASS","","existing_authority_verified_manual_review_before_production"
"/zh/personality/istj-vs-isfj","hot_comparison","verify_only","VERIFY_ONLY_EXISTING_AUTHORITY_PASS","","existing_authority_verified_manual_review_before_production"
