path,target_url,locale,page_type,query,query_status,clicks,impressions,ctr,position,source,next_action
"/en/personality/enfj-a","https://fermatmind.com/en/personality/enfj-a","en","variant","enfj-a","captured_query_row","0","1","0","4","mbti64-seo-measurement-cohort-gsc-query-export-2026-06-22","eligible_for_title_faq_answer_block_review"
"/zh/personality/intp-a","https://fermatmind.com/zh/personality/intp-a","zh","variant","intp-a","captured_query_row","0","3","0","10.3","mbti64-seo-measurement-cohort-gsc-query-export-2026-06-22","eligible_for_title_faq_answer_block_review"
"/zh/personality/esfp-a","https://fermatmind.com/zh/personality/esfp-a","zh","variant","esfp-a","captured_query_row","0","1","0","7","mbti64-seo-measurement-cohort-gsc-query-export-2026-06-22","eligible_for_title_faq_answer_block_review"
"/en/personality/esfj-t","https://fermatmind.com/en/personality/esfj-t","en","variant",,"pending_manual_or_api_query_export",,"15",,"26.7","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/en/personality/enfp-a","https://fermatmind.com/en/personality/enfp-a","en","variant",,"pending_manual_or_api_query_export",,"10",,"38.4","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/zh/personality/istp-a","https://fermatmind.com/zh/personality/istp-a","zh","variant",,"pending_manual_or_api_query_export",,"7",,"7.3","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/zh/personality/intp-a-vs-intp-t","https://fermatmind.com/zh/personality/intp-a-vs-intp-t","zh","comparison",,"pending_manual_or_api_query_export",,"2",,"11","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/en/personality/esfj-a","https://fermatmind.com/en/personality/esfj-a","en","variant",,"pending_manual_or_api_query_export",,"3",,"26.7","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/zh/personality/esfj-a","https://fermatmind.com/zh/personality/esfj-a","zh","variant",,"pending_manual_or_api_query_export",,"1",,"8","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/en/personality/intp-a","https://fermatmind.com/en/personality/intp-a","en","variant",,"pending_manual_or_api_query_export",,"1",,"9","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/en/personality/istp-a","https://fermatmind.com/en/personality/istp-a","en","variant",,"pending_manual_or_api_query_export",,"1",,"11","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/en/personality/entj-a","https://fermatmind.com/en/personality/entj-a","en","variant",,"pending_manual_or_api_query_export",,"2",,"25","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/en/personality/estp-t","https://fermatmind.com/en/personality/estp-t","en","variant",,"pending_manual_or_api_query_export",,"2",,"46.5","mbti64-gsc-query-api-or-manual-csv-export-10-2026-06-24","export_filtered_page_query_rows_before_serp_copy_rewrite"
"/zh/tests/mbti-personality-test-16-personality-types","https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types","zh","test","mbti测试","operator_seed_requires_gsc_confirmation",,,,,"operator_gsc_28d_summary_seed","confirm_query_metrics_in_next_manual_csv_or_api_export"
"/zh/tests/mbti-personality-test-16-personality-types","https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types","zh","test","mbti免费测试","operator_seed_requires_gsc_confirmation",,,,,"operator_gsc_28d_summary_seed","confirm_query_metrics_in_next_manual_csv_or_api_export"
"/zh/tests/mbti-personality-test-16-personality-types","https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types","zh","test","16型人格测试","operator_seed_requires_gsc_confirmation",,,,,"operator_gsc_28d_summary_seed","confirm_query_metrics_in_next_manual_csv_or_api_export"
"/zh/personality/istp-a","https://fermatmind.com/zh/personality/istp-a","zh","variant","istp-a","operator_seed_requires_gsc_confirmation",,,,,"operator_gsc_28d_summary_seed","confirm_query_metrics_in_next_manual_csv_or_api_export"
"/zh/personality/intp-a","https://fermatmind.com/zh/personality/intp-a","zh","variant","intp a","operator_seed_requires_gsc_confirmation",,,,,"operator_gsc_28d_summary_seed","confirm_query_metrics_in_next_manual_csv_or_api_export"
"/zh/personality/istj-a","https://fermatmind.com/zh/personality/istj-a","zh","variant","istj-a人格","operator_seed_requires_gsc_confirmation",,,,,"operator_gsc_28d_summary_seed","confirm_query_metrics_in_next_manual_csv_or_api_export"
