section,rank,path,page_type,query,clicks,impressions,ctr,position,evidence,next_action
top_profile_pages,1,/zh/personality/istj-a,variant,,1,23,0.043478,9,GSC_IMPORTED,review_ctr_query_fit
top_profile_pages,2,/en/personality/enfj-a,variant,,0,21,0,26.9,GSC_IMPORTED,review_ctr_query_fit
top_profile_pages,3,/en/personality/esfj-t,variant,,0,15,0,26.7,GSC_IMPORTED,review_ctr_query_fit
top_profile_pages,4,/zh/personality/intp-a,variant,,0,9,0,12.7,GSC_IMPORTED,review_ctr_query_fit
top_profile_pages,5,/zh/personality/istp-a,variant,,0,7,0,7.3,GSC_IMPORTED,review_ctr_query_fit
top_profile_pages,6,/en/personality/enfp-a,variant,,0,10,0,38.4,GSC_IMPORTED,review_ctr_query_fit
top_profile_pages,7,/en/personality/intp-a,variant,,0,1,0,9,GSC_IMPORTED,review_ctr_query_fit
top_profile_pages,8,/en/personality/istp-a,variant,,0,1,0,11,GSC_IMPORTED,review_ctr_query_fit
top_profile_pages,9,/zh/personality/esfj-a,variant,,0,1,0,8,GSC_IMPORTED,review_ctr_query_fit
top_profile_pages,10,/zh/personality/esfp-a,variant,,0,1,0,7,GSC_IMPORTED,review_ctr_query_fit
top_comparison_pages,1,/zh/personality/intp-a-vs-intp-t,comparison,,0,2,0,11,GSC_IMPORTED,review_ctr_query_fit
top_comparison_pages,2,/zh/personality/intj-vs-intp,comparison,,,,,,GSC_IMPORTED_NO_ROW_FOR_URL,wait_for_verified_gsc_export_before_rewrite
top_comparison_pages,3,/zh/personality/entj-vs-intj,comparison,,,,,,GSC_IMPORTED_NO_ROW_FOR_URL,wait_for_verified_gsc_export_before_rewrite
top_comparison_pages,4,/zh/personality/infj-vs-infp,comparison,,,,,,GSC_IMPORTED_NO_ROW_FOR_URL,wait_for_verified_gsc_export_before_rewrite
top_comparison_pages,5,/zh/personality/istj-vs-isfj,comparison,,,,,,GSC_IMPORTED_NO_ROW_FOR_URL,wait_for_verified_gsc_export_before_rewrite
top_comparison_pages,6,/zh/personality/enfj-a-vs-enfj-t,comparison,,,,,,GSC_IMPORTED_NO_ROW_FOR_URL,wait_for_verified_gsc_export_before_rewrite
top_comparison_pages,7,/zh/personality/enfp-a-vs-enfp-t,comparison,,,,,,GSC_IMPORTED_NO_ROW_FOR_URL,wait_for_verified_gsc_export_before_rewrite
top_comparison_pages,8,/zh/personality/entj-a-vs-entj-t,comparison,,,,,,GSC_IMPORTED_NO_ROW_FOR_URL,wait_for_verified_gsc_export_before_rewrite
top_comparison_pages,9,/zh/personality/entp-a-vs-entp-t,comparison,,,,,,GSC_IMPORTED_NO_ROW_FOR_URL,wait_for_verified_gsc_export_before_rewrite
top_comparison_pages,10,/zh/personality/esfj-a-vs-esfj-t,comparison,,,,,,GSC_IMPORTED_NO_ROW_FOR_URL,wait_for_verified_gsc_export_before_rewrite
top_queries,1,/en/personality/enfj-a,variant,enfj-a,0,1,0,4,captured_query_row,use_for_snippet_and_answer_block_review
top_queries,2,/zh/personality/intp-a,variant,intp-a,0,3,0,10.3,captured_query_row,use_for_snippet_and_answer_block_review
top_queries,3,/zh/personality/esfp-a,variant,esfp-a,0,1,0,7,captured_query_row,use_for_snippet_and_answer_block_review
top_queries,4,/en/personality/esfj-t,variant,,,15,,26.7,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,5,/en/personality/enfp-a,variant,,,10,,38.4,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,6,/zh/personality/istp-a,variant,,,7,,7.3,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,7,/zh/personality/intp-a-vs-intp-t,comparison,,,2,,11,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,8,/en/personality/esfj-a,variant,,,3,,26.7,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,9,/zh/personality/esfj-a,variant,,,1,,8,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,10,/en/personality/intp-a,variant,,,1,,9,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,11,/en/personality/istp-a,variant,,,1,,11,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,12,/en/personality/entj-a,variant,,,2,,25,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,13,/en/personality/estp-t,variant,,,2,,46.5,pending_manual_or_api_query_export,export_filtered_gsc_query_rows_before_copy_rewrite
top_queries,14,/zh/tests/mbti-personality-test-16-personality-types,test,mbti测试,,,,,operator_28d_summary_seed_requires_export,confirm_in_next_gsc_query_export_before_final_prioritization
top_queries,15,/zh/tests/mbti-personality-test-16-personality-types,test,mbti免费测试,,,,,operator_28d_summary_seed_requires_export,confirm_in_next_gsc_query_export_before_final_prioritization
top_queries,16,/zh/tests/mbti-personality-test-16-personality-types,test,16型人格测试,,,,,operator_28d_summary_seed_requires_export,confirm_in_next_gsc_query_export_before_final_prioritization
top_queries,17,/zh/personality/istp-a,variant,istp-a,,,,,operator_28d_summary_seed_requires_export,confirm_in_next_gsc_query_export_before_final_prioritization
top_queries,18,/zh/personality/intp-a,variant,intp a,,,,,operator_28d_summary_seed_requires_export,confirm_in_next_gsc_query_export_before_final_prioritization
top_queries,19,/zh/personality/istj-a,variant,istj-a人格,,,,,operator_28d_summary_seed_requires_export,confirm_in_next_gsc_query_export_before_final_prioritization
