"route","kind","disposition","content_authority","status","failures","expected_content_fingerprint","observed_content_fingerprint","public_api_latency_ms"
"/zh/personality/intj-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","86a899aa8fe8a9580a3b5dec861eb9c8358c9a8edc44b21bf2223bd53e57cba8","86a899aa8fe8a9580a3b5dec861eb9c8358c9a8edc44b21bf2223bd53e57cba8","19793"
"/zh/personality/intj-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","38a289ad6e18dfa12050ef83094c6b374e981c587f4dd4ca9e93e1b38a043382","38a289ad6e18dfa12050ef83094c6b374e981c587f4dd4ca9e93e1b38a043382","14723"
"/zh/personality/intp-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","10f10aa760ab84d15e38d32c5a0f1391648a2717d24dcdf96f4f5a6cbaac3b51","10f10aa760ab84d15e38d32c5a0f1391648a2717d24dcdf96f4f5a6cbaac3b51","27248"
"/zh/personality/intp-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","a0ee7c87dec5c70ed67a319d5c1661173263a2f9731ea93cd5eed3d09a58f08f","a0ee7c87dec5c70ed67a319d5c1661173263a2f9731ea93cd5eed3d09a58f08f","21667"
"/zh/personality/entj-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","30963d98493770f162c34e77c003923af87e30388275abb70340c50e1adf0969","30963d98493770f162c34e77c003923af87e30388275abb70340c50e1adf0969","10327"
"/zh/personality/entj-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","512e832a324ffb70eb3a0a172d967bc3fd01f6f4ab4c2a92327a2334b14b5465","512e832a324ffb70eb3a0a172d967bc3fd01f6f4ab4c2a92327a2334b14b5465","10277"
"/zh/personality/entp-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","b7ce42f6e4176ab25a594297f2126318c7bf2fe75535fcb97052e16bd9357200","b7ce42f6e4176ab25a594297f2126318c7bf2fe75535fcb97052e16bd9357200","10324"
"/zh/personality/entp-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","f00247d5299696a9601c5737c4c42bdf464a37bb91adb79be3fecbbed0f7607d","f00247d5299696a9601c5737c4c42bdf464a37bb91adb79be3fecbbed0f7607d","10062"
"/zh/personality/infj-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","92831fa0619500614062f8dcb1c5705f7e95b27c82c05e0a700f8e2507bd9e32","92831fa0619500614062f8dcb1c5705f7e95b27c82c05e0a700f8e2507bd9e32","11123"
"/zh/personality/infj-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","5fef81f81750aaa6180a8ef2ddd77f74ef36879aa228ac4f6a3c7f41dd6b7d7a","5fef81f81750aaa6180a8ef2ddd77f74ef36879aa228ac4f6a3c7f41dd6b7d7a","22097"
"/zh/personality/infp-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","ceb21f2c62a3085d920ebd32ba7063c756fc7a8cf3e827317cfaec9806127d8e","ceb21f2c62a3085d920ebd32ba7063c756fc7a8cf3e827317cfaec9806127d8e","17027"
"/zh/personality/infp-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","a615285b052997f08d543422ee6689696aa2f639f0e05891f6e605cf2c55c08b","a615285b052997f08d543422ee6689696aa2f639f0e05891f6e605cf2c55c08b","19044"
"/zh/personality/enfj-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","59148c22e8482e4c503ee136ee7726ebac51f28d6a2415e1481cf25fdb47965e","59148c22e8482e4c503ee136ee7726ebac51f28d6a2415e1481cf25fdb47965e","21141"
"/zh/personality/enfj-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","9c77738e5adccc74c9a2887c085cf97b4c4a0139591aac5ca87a06bdc14108c0","9c77738e5adccc74c9a2887c085cf97b4c4a0139591aac5ca87a06bdc14108c0","7892"
"/zh/personality/enfp-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","c61afb27b309f61bd6c8ca413a9e17bf9c30321cfcfd1af749c13363228ee707","c61afb27b309f61bd6c8ca413a9e17bf9c30321cfcfd1af749c13363228ee707","8798"
"/zh/personality/enfp-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","506d2de19b729cf14235587940ce71e803418b44738732a6febfd6a89e1a10e9","506d2de19b729cf14235587940ce71e803418b44738732a6febfd6a89e1a10e9","13133"
"/zh/personality/istj-a","profile","verify_only_existing_authority","existing_public_api_authority","pass","","","","8575"
"/zh/personality/istj-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","07f802713c98aa30681cff7ee32b535642261ed26ec7fead6ea54f801baaaa36","07f802713c98aa30681cff7ee32b535642261ed26ec7fead6ea54f801baaaa36","6197"
"/zh/personality/isfj-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","9c16685a83836c5f1c376d16f5c9e7394e79ee71a450909fd1af6142c07a5cb0","9c16685a83836c5f1c376d16f5c9e7394e79ee71a450909fd1af6142c07a5cb0","9976"
"/zh/personality/isfj-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","ac172d3fed11b1696cc63e0b0c87e6155c42e8dff7f09598585a2b7945aca66d","ac172d3fed11b1696cc63e0b0c87e6155c42e8dff7f09598585a2b7945aca66d","11616"
"/zh/personality/estj-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","959043aed4118724efa2af9f89d13979331718dba9e716812ff25f0b08e9dbee","959043aed4118724efa2af9f89d13979331718dba9e716812ff25f0b08e9dbee","9949"
"/zh/personality/estj-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","aa196c597a65f2624554ac7dfd37c760b8a345da2e5b0c7303968b9d9ec3a90f","aa196c597a65f2624554ac7dfd37c760b8a345da2e5b0c7303968b9d9ec3a90f","12589"
"/zh/personality/esfj-a","profile","verify_only_existing_authority","existing_public_api_authority","pass","","","","9253"
"/zh/personality/esfj-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","e3f1f1a5894129324ac3a3f0b4bab45c78b6175b5b7147563a9d9c8fb2d1fbe3","e3f1f1a5894129324ac3a3f0b4bab45c78b6175b5b7147563a9d9c8fb2d1fbe3","9485"
"/zh/personality/istp-a","profile","verify_only_existing_authority","existing_public_api_authority","pass","","","","14842"
"/zh/personality/istp-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","90bbc8dd38cb568409e747496fda0230a621ed36b0d389579312f6705a095897","90bbc8dd38cb568409e747496fda0230a621ed36b0d389579312f6705a095897","5525"
"/zh/personality/isfp-a","profile","verify_only_existing_authority","existing_public_api_authority","pass","","","","14945"
"/zh/personality/isfp-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","2a8931e5136b474afcf573799a5760b5cf000bfb5079e496da397abe809c789b","2a8931e5136b474afcf573799a5760b5cf000bfb5079e496da397abe809c789b","13904"
"/zh/personality/estp-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","1cf0b36f49cfdcfd922d4e6eadc10f3390a5374972426f472d431db0265c6875","1cf0b36f49cfdcfd922d4e6eadc10f3390a5374972426f472d431db0265c6875","9665"
"/zh/personality/estp-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","32ffce65d374015de588853b12e5ac09f148e4d4189c8de4e84512c1034ab77b","32ffce65d374015de588853b12e5ac09f148e4d4189c8de4e84512c1034ab77b","7426"
"/zh/personality/esfp-a","profile","repair_draft_readback","production_cms_draft_revision","pass","","a87c4c80b8f43d6fd05ed9a270d15e80fdb4eaebe49d21d6e74acd6943b38b38","a87c4c80b8f43d6fd05ed9a270d15e80fdb4eaebe49d21d6e74acd6943b38b38","8582"
"/zh/personality/esfp-t","profile","repair_draft_readback","production_cms_draft_revision","pass","","a123e64d8c592a4167d05cfc80fe7f8b704204be384d4e3dfd72bfa17c3b0960","a123e64d8c592a4167d05cfc80fe7f8b704204be384d4e3dfd72bfa17c3b0960","9234"
"/zh/personality/intj-a-vs-intj-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","00e02fb3c67aadc6af161f2634469d53aefe7ca316d619308627d49fb9012bab","00e02fb3c67aadc6af161f2634469d53aefe7ca316d619308627d49fb9012bab","7430"
"/zh/personality/intp-a-vs-intp-t","at_comparison","verify_only_existing_authority","existing_public_api_authority","pass","","","","7214"
"/zh/personality/entj-a-vs-entj-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","97d5ed6586f499276e5ed58cbd7eb09319106a3d79ec631378d0bc4dae706f6d","97d5ed6586f499276e5ed58cbd7eb09319106a3d79ec631378d0bc4dae706f6d","14871"
"/zh/personality/entp-a-vs-entp-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","e9fe547dde966ca4bfe6db52a1626f625c7a9cd3164b83ef7eb433574844bdfa","e9fe547dde966ca4bfe6db52a1626f625c7a9cd3164b83ef7eb433574844bdfa","12842"
"/zh/personality/infj-a-vs-infj-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","b795b16530f40238334148a8db5439fa5927c429fec8936054934e2e2aef168e","b795b16530f40238334148a8db5439fa5927c429fec8936054934e2e2aef168e","12715"
"/zh/personality/infp-a-vs-infp-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","b264bfa6df960c77e1907e74f63dd721216aa37eb3246465ee6bb57b5986cfec","b264bfa6df960c77e1907e74f63dd721216aa37eb3246465ee6bb57b5986cfec","18342"
"/zh/personality/enfj-a-vs-enfj-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","d64628608d9026a3b3b3956337d9a3bb8dc6c62fbd787a844a26d5fe5fe17b83","d64628608d9026a3b3b3956337d9a3bb8dc6c62fbd787a844a26d5fe5fe17b83","8709"
"/zh/personality/enfp-a-vs-enfp-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","bd35274fe4cf88e26190627cad0e8355688ad419e446431bfe03c3893e78b93d","bd35274fe4cf88e26190627cad0e8355688ad419e446431bfe03c3893e78b93d","7417"
"/zh/personality/istj-a-vs-istj-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","65082954ddbf95a148f3ca1bd448ca9ecea80ce7daf4a12a4e8f10aca31caa08","65082954ddbf95a148f3ca1bd448ca9ecea80ce7daf4a12a4e8f10aca31caa08","7375"
