page,query,clicks,impressions,ctr,position
https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,,1,59,1.7%,9.1
https://fermatmind.com/zh/personality/istj-a,,1,23,4.3%,9.0
https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,,1,14,7.1%,14.7
https://fermatmind.com/zh/articles/how-personality-shapes-attitude-toward-ai,,1,1,100%,7.0
https://fermatmind.com/zh/articles/college-major-choice-holland-mbti-career-test,,0,47,0%,8.5
https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,,0,38,0%,19.7
https://fermatmind.com/en/personality/enfj-a,,0,21,0%,26.9
https://fermatmind.com/en/personality/esfj-t,,0,15,0%,26.7
https://fermatmind.com/en/tests/iq-test-intelligence-quotient-assessment,,0,14,0%,43.2
https://fermatmind.com/zh/articles/big-five-tool-guide,,0,13,0%,8.5
https://fermatmind.com/zh/articles/riasec-holland-career-interest-test-explained,,0,13,0%,10.5
https://fermatmind.com/en/career/jobs/market-research-analysts-and-marketing-specialists,,0,12,0%,5.8
https://fermatmind.com/zh/articles/mbti-vs-holland-career-choice,,0,12,0%,6.3
https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,,0,11,0%,8.3
https://fermatmind.com/en/career/jobs/dispatchers-except-police-fire-and-ambulance,,0,10,0%,9.0
https://fermatmind.com/en/personality/enfp-a,,0,10,0%,38.4
https://fermatmind.com/zh/personality/intp-a,,0,9,0%,12.7
https://fermatmind.com/zh/articles,,0,8,0%,9.1
https://fermatmind.com/en/career/jobs/art-drama-and-music-teachers-postsecondary,,0,7,0%,5.6
https://fermatmind.com/zh/personality,,0,7,0%,6.1
https://fermatmind.com/zh/personality/istp-a,,0,7,0%,7.3
https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,,0,7,0%,11.3
https://fermatmind.com/zh/career/jobs/aircraft-and-avionics-equipment-mechanics-and-technicians,,0,7,0%,27.0
https://fermatmind.com/en,,0,6,0%,49.3
https://fermatmind.com/zh/articles/mbti-basics,,0,5,0%,4.4
https://fermatmind.com/en/career/jobs/funeral-home-managers,,0,5,0%,7.2
https://fermatmind.com/en/career/jobs/web-and-digital-interface-designers,,0,5,0%,9.2
