level,slug,locale,code,message
repair_required,accountants-and-auditors,zh-CN,locale_independence_score_below_3,None
repair_required,accountants-and-auditors,en,locale_independence_score_below_3,None
repair_required,actors,zh-CN,locale_independence_score_below_3,None
repair_required,actors,en,locale_independence_score_below_3,None
repair_required,actuaries,zh-CN,locale_independence_score_below_3,None
repair_required,actuaries,en,locale_independence_score_below_3,None
repair_required,acupuncturists,zh-CN,locale_independence_score_below_3,None
repair_required,acupuncturists,en,locale_independence_score_below_3,None
repair_required,acute-care-nurses,zh-CN,locale_independence_score_below_3,None
repair_required,acute-care-nurses,en,locale_independence_score_below_3,None
repair_required,adapted-physical-education-specialists,zh-CN,locale_independence_score_below_3,None
repair_required,adapted-physical-education-specialists,en,locale_independence_score_below_3,None
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,locale_independence_score_below_3,None
repair_required,adhesive-bonding-machine-operators-and-tenders,en,locale_independence_score_below_3,None
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,locale_independence_score_below_3,None
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,en,locale_independence_score_below_3,None
repair_required,administrative-services-managers,zh-CN,locale_independence_score_below_3,None
repair_required,administrative-services-managers,en,locale_independence_score_below_3,None
repair_required,adult-literacy-and-ged-teachers,zh-CN,locale_independence_score_below_3,None
repair_required,adult-literacy-and-ged-teachers,en,locale_independence_score_below_3,None
repair_required,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,locale_independence_score_below_3,None
repair_required,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,locale_independence_score_below_3,None
repair_required,advanced-practice-psychiatric-nurses,zh-CN,locale_independence_score_below_3,None
repair_required,advanced-practice-psychiatric-nurses,en,locale_independence_score_below_3,None
repair_required,advertising-and-promotions-managers,zh-CN,locale_independence_score_below_3,None
repair_required,advertising-and-promotions-managers,en,locale_independence_score_below_3,None
repair_required,advertising-sales-agents,zh-CN,locale_independence_score_below_3,None
repair_required,advertising-sales-agents,en,locale_independence_score_below_3,None
repair_required,advertising-promotions-and-marketing-managers,zh-CN,locale_independence_score_below_3,None
repair_required,advertising-promotions-and-marketing-managers,en,locale_independence_score_below_3,None
repair_required,aerospace-engineering-and-operations-technicians,zh-CN,locale_independence_score_below_3,None
repair_required,aerospace-engineering-and-operations-technicians,en,locale_independence_score_below_3,None
repair_required,aerospace-engineers,zh-CN,locale_independence_score_below_3,None
repair_required,aerospace-engineers,en,locale_independence_score_below_3,None
repair_required,agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,locale_independence_score_below_3,None
repair_required,agents-and-business-managers-of-artists-performers-and-athletes,en,locale_independence_score_below_3,None
repair_required,agricultural-and-food-science-technicians,zh-CN,locale_independence_score_below_3,None
repair_required,agricultural-and-food-science-technicians,en,locale_independence_score_below_3,None
repair_required,agricultural-and-food-scientists,zh-CN,locale_independence_score_below_3,None
repair_required,agricultural-and-food-scientists,en,locale_independence_score_below_3,None
repair_required,agricultural-engineers,zh-CN,locale_independence_score_below_3,None
repair_required,agricultural-engineers,en,locale_independence_score_below_3,None
repair_required,agricultural-equipment-operators,zh-CN,locale_independence_score_below_3,None
repair_required,agricultural-equipment-operators,en,locale_independence_score_below_3,None
repair_required,agricultural-inspectors,zh-CN,locale_independence_score_below_3,None
repair_required,agricultural-inspectors,en,locale_independence_score_below_3,None
repair_required,agricultural-sciences-teachers-postsecondary,zh-CN,locale_independence_score_below_3,None
