level,slug,locale,code,message
repair_required,accountants-and-auditors,zh-CN,occupation_specificity_score_below_3,None
repair_required,accountants-and-auditors,en,occupation_specificity_score_below_3,None
repair_required,actors,zh-CN,occupation_specificity_score_below_3,None
repair_required,actors,en,occupation_specificity_score_below_3,None
repair_required,actuaries,zh-CN,occupation_specificity_score_below_3,None
repair_required,actuaries,en,occupation_specificity_score_below_3,None
repair_required,acupuncturists,zh-CN,occupation_specificity_score_below_3,None
repair_required,acupuncturists,en,occupation_specificity_score_below_3,None
repair_required,acute-care-nurses,zh-CN,occupation_specificity_score_below_3,None
repair_required,acute-care-nurses,en,occupation_specificity_score_below_3,None
repair_required,adapted-physical-education-specialists,zh-CN,occupation_specificity_score_below_3,None
repair_required,adapted-physical-education-specialists,en,occupation_specificity_score_below_3,None
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,occupation_specificity_score_below_3,None
repair_required,adhesive-bonding-machine-operators-and-tenders,en,occupation_specificity_score_below_3,None
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,occupation_specificity_score_below_3,None
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,en,occupation_specificity_score_below_3,None
repair_required,administrative-services-managers,zh-CN,occupation_specificity_score_below_3,None
repair_required,administrative-services-managers,en,occupation_specificity_score_below_3,None
repair_required,adult-literacy-and-ged-teachers,zh-CN,occupation_specificity_score_below_3,None
repair_required,adult-literacy-and-ged-teachers,en,occupation_specificity_score_below_3,None
repair_required,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,occupation_specificity_score_below_3,None
repair_required,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,occupation_specificity_score_below_3,None
repair_required,advanced-practice-psychiatric-nurses,zh-CN,occupation_specificity_score_below_3,None
repair_required,advanced-practice-psychiatric-nurses,en,occupation_specificity_score_below_3,None
repair_required,advertising-and-promotions-managers,zh-CN,occupation_specificity_score_below_3,None
repair_required,advertising-and-promotions-managers,en,occupation_specificity_score_below_3,None
repair_required,advertising-sales-agents,zh-CN,occupation_specificity_score_below_3,None
repair_required,advertising-sales-agents,en,occupation_specificity_score_below_3,None
repair_required,advertising-promotions-and-marketing-managers,zh-CN,occupation_specificity_score_below_3,None
repair_required,advertising-promotions-and-marketing-managers,en,occupation_specificity_score_below_3,None
repair_required,aerospace-engineering-and-operations-technicians,zh-CN,occupation_specificity_score_below_3,None
repair_required,aerospace-engineering-and-operations-technicians,en,occupation_specificity_score_below_3,None
repair_required,aerospace-engineers,zh-CN,occupation_specificity_score_below_3,None
repair_required,aerospace-engineers,en,occupation_specificity_score_below_3,None
repair_required,agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,occupation_specificity_score_below_3,None
repair_required,agents-and-business-managers-of-artists-performers-and-athletes,en,occupation_specificity_score_below_3,None
repair_required,agricultural-and-food-science-technicians,zh-CN,occupation_specificity_score_below_3,None
repair_required,agricultural-and-food-science-technicians,en,occupation_specificity_score_below_3,None
