level,slug,locale,code,message
repair_required,accountants-and-auditors,zh-CN,projection_missing_audit_boundary,
repair_required,accountants-and-auditors,en,projection_missing_audit_boundary,
repair_required,actors,zh-CN,projection_missing_audit_boundary,
repair_required,actors,en,projection_missing_audit_boundary,
repair_required,actuaries,zh-CN,projection_missing_audit_boundary,
repair_required,actuaries,en,projection_missing_audit_boundary,
repair_required,acupuncturists,zh-CN,projection_missing_audit_boundary,
repair_required,acupuncturists,en,projection_missing_audit_boundary,
repair_required,acute-care-nurses,zh-CN,projection_missing_audit_boundary,
repair_required,acute-care-nurses,en,projection_missing_audit_boundary,
repair_required,adapted-physical-education-specialists,zh-CN,projection_missing_audit_boundary,
repair_required,adapted-physical-education-specialists,en,projection_missing_audit_boundary,
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,projection_missing_audit_boundary,
repair_required,adhesive-bonding-machine-operators-and-tenders,en,projection_missing_audit_boundary,
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,projection_missing_audit_boundary,
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,en,projection_missing_audit_boundary,
repair_required,administrative-services-managers,zh-CN,projection_missing_audit_boundary,
repair_required,administrative-services-managers,en,projection_missing_audit_boundary,
repair_required,adult-literacy-and-ged-teachers,zh-CN,projection_missing_audit_boundary,
repair_required,adult-literacy-and-ged-teachers,en,projection_missing_audit_boundary,
repair_required,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,projection_missing_audit_boundary,
repair_required,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,projection_missing_audit_boundary,
repair_required,advanced-practice-psychiatric-nurses,zh-CN,projection_missing_audit_boundary,
repair_required,advanced-practice-psychiatric-nurses,en,projection_missing_audit_boundary,
repair_required,advertising-and-promotions-managers,zh-CN,projection_missing_audit_boundary,
repair_required,advertising-and-promotions-managers,en,projection_missing_audit_boundary,
repair_required,advertising-sales-agents,zh-CN,projection_missing_audit_boundary,
repair_required,advertising-sales-agents,en,projection_missing_audit_boundary,
repair_required,advertising-promotions-and-marketing-managers,zh-CN,projection_missing_audit_boundary,
repair_required,advertising-promotions-and-marketing-managers,en,projection_missing_audit_boundary,
repair_required,aerospace-engineering-and-operations-technicians,zh-CN,projection_missing_audit_boundary,
repair_required,aerospace-engineering-and-operations-technicians,en,projection_missing_audit_boundary,
repair_required,aerospace-engineers,zh-CN,projection_missing_audit_boundary,
repair_required,aerospace-engineers,en,projection_missing_audit_boundary,
repair_required,agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,projection_missing_audit_boundary,
repair_required,agents-and-business-managers-of-artists-performers-and-athletes,en,projection_missing_audit_boundary,
