slug,locale,url,status,ok,preview,source_count,internal_keys,source_leakage,unsafe_outcome,raw_enum,en_contains_cjk,error
accountants-and-auditors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
accountants-and-auditors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
actors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/actors/ai-impact-asset?locale=zh-CN,200,true,true,6,,false,false,false,false,
actors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/actors/ai-impact-asset?locale=en,200,true,true,6,,false,false,false,false,
actuaries,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/actuaries/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
actuaries,en,https://staging.fermatmind.com/api/v0.5/career/jobs/actuaries/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
acupuncturists,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/acupuncturists/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
acupuncturists,en,https://staging.fermatmind.com/api/v0.5/career/jobs/acupuncturists/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
acute-care-nurses,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/acute-care-nurses/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
acute-care-nurses,en,https://staging.fermatmind.com/api/v0.5/career/jobs/acute-care-nurses/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
adapted-physical-education-specialists,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/adapted-physical-education-specialists/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
adapted-physical-education-specialists,en,https://staging.fermatmind.com/api/v0.5/career/jobs/adapted-physical-education-specialists/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
adhesive-bonding-machine-operators-and-tenders,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/adhesive-bonding-machine-operators-and-tenders/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
adhesive-bonding-machine-operators-and-tenders,en,https://staging.fermatmind.com/api/v0.5/career/jobs/adhesive-bonding-machine-operators-and-tenders/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
administrative-law-judges-adjudicators-and-hearing-officers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
administrative-services-managers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/administrative-services-managers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
administrative-services-managers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/administrative-services-managers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
adult-literacy-and-ged-teachers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/adult-literacy-and-ged-teachers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
adult-literacy-and-ged-teachers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/adult-literacy-and-ged-teachers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
advanced-practice-psychiatric-nurses,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/advanced-practice-psychiatric-nurses/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
advanced-practice-psychiatric-nurses,en,https://staging.fermatmind.com/api/v0.5/career/jobs/advanced-practice-psychiatric-nurses/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
advertising-and-promotions-managers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/advertising-and-promotions-managers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
advertising-and-promotions-managers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/advertising-and-promotions-managers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
advertising-sales-agents,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/advertising-sales-agents/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
advertising-sales-agents,en,https://staging.fermatmind.com/api/v0.5/career/jobs/advertising-sales-agents/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
advertising-promotions-and-marketing-managers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/advertising-promotions-and-marketing-managers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
advertising-promotions-and-marketing-managers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/advertising-promotions-and-marketing-managers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
aerospace-engineering-and-operations-technicians,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aerospace-engineering-and-operations-technicians/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
aerospace-engineering-and-operations-technicians,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aerospace-engineering-and-operations-technicians/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
aerospace-engineers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aerospace-engineers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
aerospace-engineers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aerospace-engineers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
agents-and-business-managers-of-artists-performers-and-athletes,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
agricultural-and-food-science-technicians,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-and-food-science-technicians/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
agricultural-and-food-science-technicians,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-and-food-science-technicians/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
agricultural-and-food-scientists,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-and-food-scientists/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
agricultural-and-food-scientists,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-and-food-scientists/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
agricultural-engineers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-engineers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
agricultural-engineers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-engineers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
agricultural-equipment-operators,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-equipment-operators/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
agricultural-equipment-operators,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-equipment-operators/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
agricultural-inspectors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-inspectors/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
agricultural-inspectors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-inspectors/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
agricultural-sciences-teachers-postsecondary,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-sciences-teachers-postsecondary/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
agricultural-sciences-teachers-postsecondary,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-sciences-teachers-postsecondary/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
agricultural-technicians,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-technicians/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
agricultural-technicians,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-technicians/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
agricultural-workers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-workers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
agricultural-workers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agricultural-workers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
air-crew-members,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/air-crew-members/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
air-crew-members,en,https://staging.fermatmind.com/api/v0.5/career/jobs/air-crew-members/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
air-crew-officers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/air-crew-officers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
air-crew-officers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/air-crew-officers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
air-traffic-controllers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/air-traffic-controllers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
air-traffic-controllers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/air-traffic-controllers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-and-avionics-equipment-mechanics-and-technicians/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
aircraft-and-avionics-equipment-mechanics-and-technicians,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-and-avionics-equipment-mechanics-and-technicians/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
aircraft-cargo-handling-supervisors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-cargo-handling-supervisors/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
aircraft-cargo-handling-supervisors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-cargo-handling-supervisors/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
aircraft-launch-and-recovery-officers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-launch-and-recovery-officers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
aircraft-launch-and-recovery-officers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-launch-and-recovery-officers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
aircraft-launch-and-recovery-specialists,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-launch-and-recovery-specialists/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
aircraft-launch-and-recovery-specialists,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-launch-and-recovery-specialists/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
aircraft-mechanics-and-service-technicians,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-mechanics-and-service-technicians/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
aircraft-mechanics-and-service-technicians,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-mechanics-and-service-technicians/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
aircraft-service-attendants,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-service-attendants/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
aircraft-service-attendants,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-service-attendants/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-structure-surfaces-rigging-and-systems-assemblers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-structure-surfaces-rigging-and-systems-assemblers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
airfield-operations-specialists,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/airfield-operations-specialists/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,false,
airfield-operations-specialists,en,https://staging.fermatmind.com/api/v0.5/career/jobs/airfield-operations-specialists/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,false,
