slug,locale,url,status,ok,production_preview_open,error
accountants-and-auditors,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors/ai-impact-asset?locale=zh-CN,404,true,false,
accountants-and-auditors,en,https://api.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors/ai-impact-asset?locale=en,404,true,false,
actors,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/actors/ai-impact-asset?locale=zh-CN,404,true,false,
actors,en,https://api.fermatmind.com/api/v0.5/career/jobs/actors/ai-impact-asset?locale=en,404,true,false,
actuaries,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/actuaries/ai-impact-asset?locale=zh-CN,404,true,false,
actuaries,en,https://api.fermatmind.com/api/v0.5/career/jobs/actuaries/ai-impact-asset?locale=en,404,true,false,
acupuncturists,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/acupuncturists/ai-impact-asset?locale=zh-CN,404,true,false,
acupuncturists,en,https://api.fermatmind.com/api/v0.5/career/jobs/acupuncturists/ai-impact-asset?locale=en,404,true,false,
acute-care-nurses,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/acute-care-nurses/ai-impact-asset?locale=zh-CN,404,true,false,
acute-care-nurses,en,https://api.fermatmind.com/api/v0.5/career/jobs/acute-care-nurses/ai-impact-asset?locale=en,404,true,false,
adapted-physical-education-specialists,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/adapted-physical-education-specialists/ai-impact-asset?locale=zh-CN,404,true,false,
adapted-physical-education-specialists,en,https://api.fermatmind.com/api/v0.5/career/jobs/adapted-physical-education-specialists/ai-impact-asset?locale=en,404,true,false,
adhesive-bonding-machine-operators-and-tenders,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/adhesive-bonding-machine-operators-and-tenders/ai-impact-asset?locale=zh-CN,404,true,false,
adhesive-bonding-machine-operators-and-tenders,en,https://api.fermatmind.com/api/v0.5/career/jobs/adhesive-bonding-machine-operators-and-tenders/ai-impact-asset?locale=en,404,true,false,
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers/ai-impact-asset?locale=zh-CN,404,true,false,
administrative-law-judges-adjudicators-and-hearing-officers,en,https://api.fermatmind.com/api/v0.5/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers/ai-impact-asset?locale=en,404,true,false,
administrative-services-managers,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/administrative-services-managers/ai-impact-asset?locale=zh-CN,404,true,false,
administrative-services-managers,en,https://api.fermatmind.com/api/v0.5/career/jobs/administrative-services-managers/ai-impact-asset?locale=en,404,true,false,
adult-literacy-and-ged-teachers,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/adult-literacy-and-ged-teachers/ai-impact-asset?locale=zh-CN,404,true,false,
adult-literacy-and-ged-teachers,en,https://api.fermatmind.com/api/v0.5/career/jobs/adult-literacy-and-ged-teachers/ai-impact-asset?locale=en,404,true,false,
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors/ai-impact-asset?locale=zh-CN,404,true,false,
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,https://api.fermatmind.com/api/v0.5/career/jobs/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors/ai-impact-asset?locale=en,404,true,false,
advanced-practice-psychiatric-nurses,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/advanced-practice-psychiatric-nurses/ai-impact-asset?locale=zh-CN,404,true,false,
advanced-practice-psychiatric-nurses,en,https://api.fermatmind.com/api/v0.5/career/jobs/advanced-practice-psychiatric-nurses/ai-impact-asset?locale=en,404,true,false,
advertising-and-promotions-managers,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/advertising-and-promotions-managers/ai-impact-asset?locale=zh-CN,404,true,false,
advertising-and-promotions-managers,en,https://api.fermatmind.com/api/v0.5/career/jobs/advertising-and-promotions-managers/ai-impact-asset?locale=en,404,true,false,
advertising-sales-agents,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/advertising-sales-agents/ai-impact-asset?locale=zh-CN,404,true,false,
advertising-sales-agents,en,https://api.fermatmind.com/api/v0.5/career/jobs/advertising-sales-agents/ai-impact-asset?locale=en,404,true,false,
advertising-promotions-and-marketing-managers,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/advertising-promotions-and-marketing-managers/ai-impact-asset?locale=zh-CN,404,true,false,
advertising-promotions-and-marketing-managers,en,https://api.fermatmind.com/api/v0.5/career/jobs/advertising-promotions-and-marketing-managers/ai-impact-asset?locale=en,404,true,false,
aerospace-engineering-and-operations-technicians,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/aerospace-engineering-and-operations-technicians/ai-impact-asset?locale=zh-CN,404,true,false,
aerospace-engineering-and-operations-technicians,en,https://api.fermatmind.com/api/v0.5/career/jobs/aerospace-engineering-and-operations-technicians/ai-impact-asset?locale=en,404,true,false,
aerospace-engineers,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/aerospace-engineers/ai-impact-asset?locale=zh-CN,404,true,false,
aerospace-engineers,en,https://api.fermatmind.com/api/v0.5/career/jobs/aerospace-engineers/ai-impact-asset?locale=en,404,true,false,
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes/ai-impact-asset?locale=zh-CN,404,true,false,
agents-and-business-managers-of-artists-performers-and-athletes,en,https://api.fermatmind.com/api/v0.5/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes/ai-impact-asset?locale=en,404,true,false,
agricultural-and-food-science-technicians,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-and-food-science-technicians/ai-impact-asset?locale=zh-CN,404,true,false,
agricultural-and-food-science-technicians,en,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-and-food-science-technicians/ai-impact-asset?locale=en,404,true,false,
agricultural-and-food-scientists,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-and-food-scientists/ai-impact-asset?locale=zh-CN,404,true,false,
agricultural-and-food-scientists,en,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-and-food-scientists/ai-impact-asset?locale=en,404,true,false,
agricultural-engineers,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-engineers/ai-impact-asset?locale=zh-CN,404,true,false,
agricultural-engineers,en,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-engineers/ai-impact-asset?locale=en,404,true,false,
agricultural-equipment-operators,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-equipment-operators/ai-impact-asset?locale=zh-CN,404,true,false,
agricultural-equipment-operators,en,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-equipment-operators/ai-impact-asset?locale=en,404,true,false,
agricultural-inspectors,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-inspectors/ai-impact-asset?locale=zh-CN,404,true,false,
agricultural-inspectors,en,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-inspectors/ai-impact-asset?locale=en,404,true,false,
agricultural-sciences-teachers-postsecondary,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-sciences-teachers-postsecondary/ai-impact-asset?locale=zh-CN,404,true,false,
agricultural-sciences-teachers-postsecondary,en,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-sciences-teachers-postsecondary/ai-impact-asset?locale=en,404,true,false,
agricultural-technicians,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-technicians/ai-impact-asset?locale=zh-CN,404,true,false,
agricultural-technicians,en,https://api.fermatmind.com/api/v0.5/career/jobs/agricultural-technicians/ai-impact-asset?locale=en,404,true,false,
