slug,locale,url,status,ok,preview_block_present,internal_leak,unsafe_outcome,raw_enum,en_contains_cjk,old_ai_impact_table_visible,section_excerpt,error
accountants-and-auditors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/accountants-and-auditors,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
accountants-and-auditors,en,https://staging.fermatmind.com/en/career/jobs/accountants-and-auditors,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
actors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/actors,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
actors,en,https://staging.fermatmind.com/en/career/jobs/actors,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
actuaries,zh-CN,https://staging.fermatmind.com/zh/career/jobs/actuaries,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
actuaries,en,https://staging.fermatmind.com/en/career/jobs/actuaries,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
acupuncturists,zh-CN,https://staging.fermatmind.com/zh/career/jobs/acupuncturists,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
acupuncturists,en,https://staging.fermatmind.com/en/career/jobs/acupuncturists,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
acute-care-nurses,zh-CN,https://staging.fermatmind.com/zh/career/jobs/acute-care-nurses,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
acute-care-nurses,en,https://staging.fermatmind.com/en/career/jobs/acute-care-nurses,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
