slug,locale,viewport,url,ok,screenshot_file,screenshot_bytes,error
acute-care-nurses,zh-CN,desktop,https://staging.fermatmind.com/zh/career/jobs/acute-care-nurses,true,screenshots/acute-care-nurses_zh_CN_desktop.png,271535,
acute-care-nurses,zh-CN,mobile,https://staging.fermatmind.com/zh/career/jobs/acute-care-nurses,true,screenshots/acute-care-nurses_zh_CN_mobile.png,266241,
acute-care-nurses,en,desktop,https://staging.fermatmind.com/en/career/jobs/acute-care-nurses,true,screenshots/acute-care-nurses_en_desktop.png,236320,
acute-care-nurses,en,mobile,https://staging.fermatmind.com/en/career/jobs/acute-care-nurses,true,screenshots/acute-care-nurses_en_mobile.png,245477,
aerospace-engineering-and-operations-technicians,zh-CN,desktop,https://staging.fermatmind.com/zh/career/jobs/aerospace-engineering-and-operations-technicians,true,screenshots/aerospace-engineering-and-operations-technicians_zh_CN_desktop.png,355369,
aerospace-engineering-and-operations-technicians,zh-CN,mobile,https://staging.fermatmind.com/zh/career/jobs/aerospace-engineering-and-operations-technicians,true,screenshots/aerospace-engineering-and-operations-technicians_zh_CN_mobile.png,371681,
aerospace-engineering-and-operations-technicians,en,desktop,https://staging.fermatmind.com/en/career/jobs/aerospace-engineering-and-operations-technicians,true,screenshots/aerospace-engineering-and-operations-technicians_en_desktop.png,390501,
aerospace-engineering-and-operations-technicians,en,mobile,https://staging.fermatmind.com/en/career/jobs/aerospace-engineering-and-operations-technicians,true,screenshots/aerospace-engineering-and-operations-technicians_en_mobile.png,366139,
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,desktop,https://staging.fermatmind.com/zh/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers,true,screenshots/administrative-law-judges-adjudicators-and-hearing-officers_zh_CN_desktop.png,299064,
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,mobile,https://staging.fermatmind.com/zh/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers,true,screenshots/administrative-law-judges-adjudicators-and-hearing-officers_zh_CN_mobile.png,295048,
administrative-law-judges-adjudicators-and-hearing-officers,en,desktop,https://staging.fermatmind.com/en/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers,true,screenshots/administrative-law-judges-adjudicators-and-hearing-officers_en_desktop.png,269202,
administrative-law-judges-adjudicators-and-hearing-officers,en,mobile,https://staging.fermatmind.com/en/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers,true,screenshots/administrative-law-judges-adjudicators-and-hearing-officers_en_mobile.png,266935,
armored-assault-vehicle-crew-members,zh-CN,desktop,https://staging.fermatmind.com/zh/career/jobs/armored-assault-vehicle-crew-members,true,screenshots/armored-assault-vehicle-crew-members_zh_CN_desktop.png,298973,
armored-assault-vehicle-crew-members,zh-CN,mobile,https://staging.fermatmind.com/zh/career/jobs/armored-assault-vehicle-crew-members,true,screenshots/armored-assault-vehicle-crew-members_zh_CN_mobile.png,287417,
armored-assault-vehicle-crew-members,en,desktop,https://staging.fermatmind.com/en/career/jobs/armored-assault-vehicle-crew-members,true,screenshots/armored-assault-vehicle-crew-members_en_desktop.png,260477,
armored-assault-vehicle-crew-members,en,mobile,https://staging.fermatmind.com/en/career/jobs/armored-assault-vehicle-crew-members,true,screenshots/armored-assault-vehicle-crew-members_en_mobile.png,264792,
