slug,locale,seed_ordinal,score,asset_row_hash,approval_status
accountants-and-auditors,zh-CN,1,8,5bcdd9024c8d0b28700f7b0673b90cf211acd624d8d3c5a5c70cbf234fe0a2ec,approve
accountants-and-auditors,en,1,8,811efcc60311b3669d9e9c2cf130e27670df19e688857a6ead2809a1909696ec,approve
actors,zh-CN,2,3,0ec82a1e8b0ef9a01354ecd1c0d45c0ee205da0005acc71229ff10828f509e6f,approve
actors,en,2,3,b8cdaa098ec3abc6103370c88a8e7dc72a8b6b1127b86417d5cf154d064b6215,approve
actuaries,zh-CN,3,8,f98a1d38f692b16111d2cf194e363aca472218c1c4a89debe406bf62c64b4cbb,approve
actuaries,en,3,8,65dc82dbd8a816a196ee832d96620d54ca68a4cb3fba9d88cb0d43dd299f8ace,approve
acupuncturists,zh-CN,4,3,a4dcb492e2ee292bd3f3fcc52de15c3b778a1bcaa984647dcb8613db8d90cbf8,approve
acupuncturists,en,4,3,6f3390c66e64985b9f75b189f18a29d431c81fe9698f549709df706fd104dec3,approve
acute-care-nurses,zh-CN,5,4,5121c1e2ef5f5fa766ae63ae264228d09c011743225f756ff02776191586bcd8,approve
acute-care-nurses,en,5,4,d2f47b7138534cbc72c03ff97371afbd03a4e51877dc3f48111bda7fc086aba4,approve
adapted-physical-education-specialists,zh-CN,6,4,b71680ce757db1657b8b9fba156d3bddac53f5b553a2e0977697b9511e3e08ca,approve
adapted-physical-education-specialists,en,6,4,1f7892a4ce7637f6ea427fe03c26c1c2da7c6e00a06494998888b07282e4352f,approve
adhesive-bonding-machine-operators-and-tenders,zh-CN,7,4,378263209b58107d1ddd2a3deeee4e116a0b8e17b6f63461da76bc6a6162e9b7,approve
adhesive-bonding-machine-operators-and-tenders,en,7,4,4ae9d30cfd104bf2a48f7a8f273dfdc55486dfd8b5d65ba745afa3b174ccc2ec,approve
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,8,5,9304372f05827eac63919207800f7d87a5eafa5b7cbb678570812102d5754b77,approve
administrative-law-judges-adjudicators-and-hearing-officers,en,8,5,63948ecc89da23cac15a61adf81910035387c5386766b4973d1558d2290736d3,approve
administrative-services-managers,zh-CN,9,5,3ece9c79bff3edba0a5aef9056e97686b08721e3435f06cbbe700fe251522793,approve
administrative-services-managers,en,9,5,d329929e400f958acd18cec1f12e3ae5da403bceb12dd0f348331f1a61c61e83,approve
adult-literacy-and-ged-teachers,zh-CN,10,4,b5ce8afb43e10ac12d7fd349f095b9520c6dc6ac04aeb85d0c8b719a9e038ca4,approve
adult-literacy-and-ged-teachers,en,10,4,6d65f282c23bf3e15d4a4a28a7d0dd1ab27d48a19898f9f938633a6b0c8e15da,approve
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,11,4,1effc24ebdf17c79e2f8ff91e09f050158ee84dc32360e781502b01787ab53c0,approve
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,11,4,252b4ddefaa0193bd9196974614b375e2779d3ff886dab40066acc2f35c23b0b,approve
advanced-practice-psychiatric-nurses,zh-CN,12,4,8f7a740e0cf9f275ad0497c7a1d97da9d0a9b95571101e4b9e3d57d652bf30da,approve
advanced-practice-psychiatric-nurses,en,12,4,096136d97b447ab0679fd0ca2185e09f75ce90f681f90b98d3b4508eef43a33e,approve
advertising-and-promotions-managers,zh-CN,13,7,3d736c8ed06b14ab2f750610805ba4f571d3e425d34349a37fd714a344ac2694,approve
advertising-and-promotions-managers,en,13,7,21a4f6d531afbf67e5c4be65d7f869fac103981d0033d0e5a7908e1d0ab4e1e4,approve
advertising-sales-agents,zh-CN,14,7,92e73fbb47d0e577cfc32d1fc0a9c545f464701d71fdabf6a9f09fb47487ddd2,approve
advertising-sales-agents,en,14,7,7022314aac2eab6c74b3f4a5924372b8021b313454b574b4275afae2c211f26d,approve
advertising-promotions-and-marketing-managers,zh-CN,15,7,38f2155a226a0f2e83dcf4328b3dfdee64a708a842c2c3efbb5df7a00e86dea6,approve
advertising-promotions-and-marketing-managers,en,15,7,9a115ef13dee67929dab3dc81d35cb3ccc4d648d853c0fb73d4ac87df416fa53,approve
aerospace-engineering-and-operations-technicians,zh-CN,16,4,a7e581cc095ebac5016a6608a6d3577c23e5dbedb2a92a6eacf4229faa7a4f4b,approve
aerospace-engineering-and-operations-technicians,en,16,4,fc24ee59c9c0b9adb7b258e2f5a7dbeb9038b7ed2a9d60989c1d8c5a37edb842,approve
aerospace-engineers,zh-CN,17,4,1fa55918404c1eb07a4a1b94e542c3053b09e9be6f22ffb2aafc0f005dcef411,approve
aerospace-engineers,en,17,4,3454ee4fe34bbe981789b298d3fa633f94ebcad3e56fc5db67828053d3d46611,approve
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,18,5,883c9e294f3e42b6967be8f13cdb19f2dafd850c5d49899457eea0a3d6905991,approve
agents-and-business-managers-of-artists-performers-and-athletes,en,18,5,fc31687b90104dd49b04080d0e05fee70d226fc0182167773896001f22c901b1,approve
agricultural-and-food-science-technicians,zh-CN,19,5,dba65edde2259d06817165ab0ea2657debcb59b65f892fc7e9638408c38764b4,approve
