slug,locale,occupation,category,score,status,notes
actors,zh-CN,Actors,creative_performance,3,ready,
actors,en,Actors,creative_performance,3,ready,
acute-care-nurses,zh-CN,Acute Care Nurses,medical_clinical,4,ready,
acute-care-nurses,en,Acute Care Nurses,medical_clinical,4,ready,
adapted-physical-education-specialists,zh-CN,Adapted Physical Education Specialists,education_counseling,4,ready,
adapted-physical-education-specialists,en,Adapted Physical Education Specialists,education_counseling,4,ready,
adhesive-bonding-machine-operators-and-tenders,zh-CN,Adhesive Bonding Machine Operators and Tenders,physical_trade_service,4,ready,
adhesive-bonding-machine-operators-and-tenders,en,Adhesive Bonding Machine Operators and Tenders,physical_trade_service,4,ready,
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,"Administrative Law Judges, Adjudicators, and Hearing Officers",legal_regulatory,5,ready,
administrative-law-judges-adjudicators-and-hearing-officers,en,"Administrative Law Judges, Adjudicators, and Hearing Officers",legal_regulatory,5,ready,
adult-literacy-and-ged-teachers,zh-CN,Adult Basic and Secondary Education and Esl Teachers,education_counseling,4,ready,
adult-literacy-and-ged-teachers,en,Adult Basic and Secondary Education and Esl Teachers,education_counseling,4,ready,
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,"Adult Basic Education, Adult Secondary Education, and English As A Second Language Instructors",education_counseling,4,ready,
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,"Adult Basic Education, Adult Secondary Education, and English As A Second Language Instructors",education_counseling,4,ready,
advanced-practice-psychiatric-nurses,zh-CN,Advanced Practice Psychiatric Nurses,medical_clinical,4,ready,
advanced-practice-psychiatric-nurses,en,Advanced Practice Psychiatric Nurses,medical_clinical,4,ready,
aerospace-engineering-and-operations-technicians,zh-CN,Aerospace Engineering and Operations Technologists and Technicians,engineering_architecture_validation,4,ready,
aerospace-engineering-and-operations-technicians,en,Aerospace Engineering and Operations Technologists and Technicians,engineering_architecture_validation,4,ready,
aerospace-engineers,zh-CN,Aerospace Engineers,engineering_architecture_validation,4,ready,
aerospace-engineers,en,Aerospace Engineers,engineering_architecture_validation,4,ready,
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,"Agents and Business Managers of Artists, Performers, and Athletes",creative_performance,5,ready,
agents-and-business-managers-of-artists-performers-and-athletes,en,"Agents and Business Managers of Artists, Performers, and Athletes",creative_performance,5,ready,
agricultural-and-food-science-technicians,zh-CN,Agricultural and Food Science Technicians,physical_trade_service,5,ready,
agricultural-and-food-science-technicians,en,Agricultural and Food Science Technicians,physical_trade_service,5,ready,
agricultural-and-food-scientists,zh-CN,Agricultural and Food Scientists,physical_trade_service,5,ready,
agricultural-and-food-scientists,en,Agricultural and Food Scientists,physical_trade_service,5,ready,
agricultural-engineers,zh-CN,Agricultural Engineers,physical_trade_service,5,ready,
agricultural-engineers,en,Agricultural Engineers,physical_trade_service,5,ready,
agricultural-equipment-operators,zh-CN,Agricultural Equipment Operators,physical_trade_service,5,ready,
agricultural-equipment-operators,en,Agricultural Equipment Operators,physical_trade_service,5,ready,
agricultural-inspectors,zh-CN,Agricultural Inspectors,physical_trade_service,5,ready,
agricultural-inspectors,en,Agricultural Inspectors,physical_trade_service,5,ready,
agricultural-sciences-teachers-postsecondary,zh-CN,"Agricultural Sciences Teachers, Postsecondary",education_counseling,5,ready,
