slug,locale,title_en,title_zh,score,confidence
accountants-and-auditors,zh-CN,Accountants and Auditors,会计师和审计师,8,high
accountants-and-auditors,en,Accountants and Auditors,会计师和审计师,8,high
actors,zh-CN,Actors,演员,3,medium
actors,en,Actors,演员,3,medium
actuaries,zh-CN,Actuaries,精算师,8,high
actuaries,en,Actuaries,精算师,8,high
acupuncturists,zh-CN,Acupuncturists,针灸师,3,medium
acupuncturists,en,Acupuncturists,针灸师,3,medium
acute-care-nurses,zh-CN,Acute Care Nurses,急性期护士,4,high
acute-care-nurses,en,Acute Care Nurses,急性期护士,4,high
adapted-physical-education-specialists,zh-CN,Adapted Physical Education Specialists,适应性体育教育专家,4,medium
adapted-physical-education-specialists,en,Adapted Physical Education Specialists,适应性体育教育专家,4,medium
adhesive-bonding-machine-operators-and-tenders,zh-CN,Adhesive Bonding Machine Operators and Tenders,胶合机操作员和看管员,4,medium
adhesive-bonding-machine-operators-and-tenders,en,Adhesive Bonding Machine Operators and Tenders,胶合机操作员和看管员,4,medium
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,"Administrative Law Judges, Adjudicators, and Hearing Officers",行政法法官、裁决员和听证官,5,high
administrative-law-judges-adjudicators-and-hearing-officers,en,"Administrative Law Judges, Adjudicators, and Hearing Officers",行政法法官、裁决员和听证官,5,high
administrative-services-managers,zh-CN,Administrative Services Managers,行政服务经理,5,medium
administrative-services-managers,en,Administrative Services Managers,行政服务经理,5,medium
adult-literacy-and-ged-teachers,zh-CN,Adult Basic and Secondary Education and Esl Teachers,成人识字和 GED 教师,4,medium
adult-literacy-and-ged-teachers,en,Adult Basic and Secondary Education and Esl Teachers,成人识字和 GED 教师,4,medium
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,"Adult Basic Education, Adult Secondary Education, and English As A Second Language Instructors",成人基础教育、成人中等教育和英语作为第二语言教师,4,medium
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,"Adult Basic Education, Adult Secondary Education, and English As A Second Language Instructors",成人基础教育、成人中等教育和英语作为第二语言教师,4,medium
advanced-practice-psychiatric-nurses,zh-CN,Advanced Practice Psychiatric Nurses,高级执业精神科护士,4,medium
advanced-practice-psychiatric-nurses,en,Advanced Practice Psychiatric Nurses,高级执业精神科护士,4,medium
advertising-and-promotions-managers,zh-CN,Advertising and Promotions Managers,广告和推广经理,7,medium
advertising-and-promotions-managers,en,Advertising and Promotions Managers,广告和推广经理,7,medium
advertising-sales-agents,zh-CN,Advertising Sales Agents,广告销售代理,7,medium
advertising-sales-agents,en,Advertising Sales Agents,广告销售代理,7,medium
advertising-promotions-and-marketing-managers,zh-CN,"Advertising, Promotions, and Marketing Managers",广告、推广和营销经理,7,medium
advertising-promotions-and-marketing-managers,en,"Advertising, Promotions, and Marketing Managers",广告、推广和营销经理,7,medium
aerospace-engineering-and-operations-technicians,zh-CN,Aerospace Engineering and Operations Technologists and Technicians,航空航天工程和运行技术员,4,medium
aerospace-engineering-and-operations-technicians,en,Aerospace Engineering and Operations Technologists and Technicians,航空航天工程和运行技术员,4,medium
aerospace-engineers,zh-CN,Aerospace Engineers,航空航天工程师,4,high
aerospace-engineers,en,Aerospace Engineers,航空航天工程师,4,high
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,"Agents and Business Managers of Artists, Performers, and Athletes",艺术家、表演者和运动员经纪人与商务经理,5,medium
agents-and-business-managers-of-artists-performers-and-athletes,en,"Agents and Business Managers of Artists, Performers, and Athletes",艺术家、表演者和运动员经纪人与商务经理,5,medium
agricultural-and-food-science-technicians,zh-CN,Agricultural and Food Science Technicians,农业和食品科学技术员,5,medium
agricultural-and-food-science-technicians,en,Agricultural and Food Science Technicians,农业和食品科学技术员,5,medium
agricultural-and-food-scientists,zh-CN,Agricultural and Food Scientists,农业和食品科学家,5,medium
agricultural-and-food-scientists,en,Agricultural and Food Scientists,农业和食品科学家,5,medium
agricultural-engineers,zh-CN,Agricultural Engineers,农业工程师,5,medium
agricultural-engineers,en,Agricultural Engineers,农业工程师,5,medium
agricultural-equipment-operators,zh-CN,Agricultural Equipment Operators,农业设备操作员,5,medium
agricultural-equipment-operators,en,Agricultural Equipment Operators,农业设备操作员,5,medium
agricultural-inspectors,zh-CN,Agricultural Inspectors,农业检查员,5,medium
agricultural-inspectors,en,Agricultural Inspectors,农业检查员,5,medium
agricultural-sciences-teachers-postsecondary,zh-CN,"Agricultural Sciences Teachers, Postsecondary",高等教育农业科学教师,5,medium
agricultural-sciences-teachers-postsecondary,en,"Agricultural Sciences Teachers, Postsecondary",高等教育农业科学教师,5,medium
agricultural-technicians,zh-CN,Agricultural Technicians,农业技术员,5,medium
agricultural-technicians,en,Agricultural Technicians,农业技术员,5,medium
agricultural-workers,zh-CN,Agricultural Workers,农业工人,5,medium
agricultural-workers,en,Agricultural Workers,农业工人,5,medium
air-crew-members,zh-CN,Air Crew Members,航空机组成员,4,medium
air-crew-members,en,Air Crew Members,航空机组成员,4,medium
air-crew-officers,zh-CN,Air Crew Officers,航空机组军官,4,medium
air-crew-officers,en,Air Crew Officers,航空机组军官,4,medium
air-traffic-controllers,zh-CN,Air Traffic Controllers,空中交通管制员,3,high
air-traffic-controllers,en,Air Traffic Controllers,空中交通管制员,3,high
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,Aircraft and Avionics Equipment Mechanics and Technicians,飞机和航空电子设备机械师与技术员,4,medium
aircraft-and-avionics-equipment-mechanics-and-technicians,en,Aircraft and Avionics Equipment Mechanics and Technicians,飞机和航空电子设备机械师与技术员,4,medium
aircraft-cargo-handling-supervisors,zh-CN,Aircraft Cargo Handling Supervisors,航空货运装卸主管,4,medium
aircraft-cargo-handling-supervisors,en,Aircraft Cargo Handling Supervisors,航空货运装卸主管,4,medium
aircraft-launch-and-recovery-officers,zh-CN,Aircraft Launch and Recovery Officers,飞机起降回收军官,4,medium
aircraft-launch-and-recovery-officers,en,Aircraft Launch and Recovery Officers,飞机起降回收军官,4,medium
aircraft-launch-and-recovery-specialists,zh-CN,Aircraft Launch and Recovery Specialists,飞机起降回收专家,4,medium
aircraft-launch-and-recovery-specialists,en,Aircraft Launch and Recovery Specialists,飞机起降回收专家,4,medium
aircraft-mechanics-and-service-technicians,zh-CN,Aircraft Mechanics and Service Technicians,飞机机械师和维修技术员,4,medium
