slug,locale,url,status,closed,ok
accountants-and-auditors,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors/ai-impact-asset?locale=zh-CN,404,true,true
accountants-and-auditors,en,https://api.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors/ai-impact-asset?locale=en,404,true,true
actuaries,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/actuaries/ai-impact-asset?locale=zh-CN,404,true,true
actuaries,en,https://api.fermatmind.com/api/v0.5/career/jobs/actuaries/ai-impact-asset?locale=en,404,true,true
computer-programmers,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/computer-programmers/ai-impact-asset?locale=zh-CN,404,true,true
computer-programmers,en,https://api.fermatmind.com/api/v0.5/career/jobs/computer-programmers/ai-impact-asset?locale=en,404,true,true
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes/ai-impact-asset?locale=zh-CN,404,true,true
agents-and-business-managers-of-artists-performers-and-athletes,en,https://api.fermatmind.com/api/v0.5/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes/ai-impact-asset?locale=en,404,true,true
writers-and-authors,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/writers-and-authors/ai-impact-asset?locale=zh-CN,404,true,true
writers-and-authors,en,https://api.fermatmind.com/api/v0.5/career/jobs/writers-and-authors/ai-impact-asset?locale=en,404,true,true
zoologists-and-wildlife-biologists,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/zoologists-and-wildlife-biologists/ai-impact-asset?locale=zh-CN,404,true,true
zoologists-and-wildlife-biologists,en,https://api.fermatmind.com/api/v0.5/career/jobs/zoologists-and-wildlife-biologists/ai-impact-asset?locale=en,404,true,true
wind-turbine-technicians,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/wind-turbine-technicians/ai-impact-asset?locale=zh-CN,404,true,true
wind-turbine-technicians,en,https://api.fermatmind.com/api/v0.5/career/jobs/wind-turbine-technicians/ai-impact-asset?locale=en,404,true,true
woodworking-machine-setters-operators-and-tenders-except-sawing,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing/ai-impact-asset?locale=zh-CN,404,true,true
woodworking-machine-setters-operators-and-tenders-except-sawing,en,https://api.fermatmind.com/api/v0.5/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing/ai-impact-asset?locale=en,404,true,true
air-traffic-controllers,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/air-traffic-controllers/ai-impact-asset?locale=zh-CN,404,true,true
air-traffic-controllers,en,https://api.fermatmind.com/api/v0.5/career/jobs/air-traffic-controllers/ai-impact-asset?locale=en,404,true,true
athletes-and-sports-competitors,zh-CN,https://api.fermatmind.com/api/v0.5/career/jobs/athletes-and-sports-competitors/ai-impact-asset?locale=zh-CN,404,true,true
athletes-and-sports-competitors,en,https://api.fermatmind.com/api/v0.5/career/jobs/athletes-and-sports-competitors/ai-impact-asset?locale=en,404,true,true
