slug,locale,url,status,ok,has_preview_block,internal_leakage,raw_enum,unsafe_outcome,en_contains_cjk,snippet
accountants-and-auditors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/accountants-and-auditors,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 8 /10 AI 任务暴露 混合暴露 高置信 Fe"
accountants-and-auditors,en,https://staging.fermatmind.com/en/career/jobs/accountants-and-auditors,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 8 /10 AI task exposure mixed hig"
actuaries,zh-CN,https://staging.fermatmind.com/zh/career/jobs/actuaries,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 8 /10 AI 任务暴露 混合暴露 高置信 Fe"
actuaries,en,https://staging.fermatmind.com/en/career/jobs/actuaries,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 8 /10 AI task exposure mixed hig"
computer-programmers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/computer-programmers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 8 /10 AI 任务暴露 混合暴露 高置信 Fe"
computer-programmers,en,https://staging.fermatmind.com/en/career/jobs/computer-programmers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 8 /10 AI task exposure mixed hig"
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 中等置信 F"
agents-and-business-managers-of-artists-performers-and-athletes,en,https://staging.fermatmind.com/en/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
writers-and-authors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/writers-and-authors,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 7 /10 AI 任务暴露 混合暴露 高置信 Fe"
writers-and-authors,en,https://staging.fermatmind.com/en/career/jobs/writers-and-authors,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 7 /10 AI task exposure mixed hig"
zoologists-and-wildlife-biologists,zh-CN,https://staging.fermatmind.com/zh/career/jobs/zoologists-and-wildlife-biologists,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 7 /10 AI 任务暴露 混合暴露 中等置信 F"
zoologists-and-wildlife-biologists,en,https://staging.fermatmind.com/en/career/jobs/zoologists-and-wildlife-biologists,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 7 /10 AI task exposure mixed med"
wind-turbine-technicians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/wind-turbine-technicians,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 6 /10 AI 任务暴露 辅助增强 高置信 Fe"
wind-turbine-technicians,en,https://staging.fermatmind.com/en/career/jobs/wind-turbine-technicians,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 6 /10 AI task exposure augmentat"
woodworking-machine-setters-operators-and-tenders-except-sawing,zh-CN,https://staging.fermatmind.com/zh/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 4 /10 AI 任务暴露 辅助增强 中等置信 F"
woodworking-machine-setters-operators-and-tenders-except-sawing,en,https://staging.fermatmind.com/en/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 4 /10 AI task exposure augmentat"
air-traffic-controllers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/air-traffic-controllers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 3 /10 AI 任务暴露 辅助增强 高置信 Fe"
air-traffic-controllers,en,https://staging.fermatmind.com/en/career/jobs/air-traffic-controllers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 3 /10 AI task exposure augmentat"
