block,slug,locale,overall_editorial_score,occupation_specificity_score,workflow_density_score,reader_usefulness_score,template_reuse_score,locale_naturalness_score,conversion_clarity_score,competitive_depth_score,source_backed_claim_density_score,block_relevance_score,reader_safe_boundary_score,status,row_ref,source_baseline_ref,source_traceability_boundary,generated_at
career-page-assembly,accountants-and-auditors,zh-CN,3.7,3.1,2.33,2.95,4.3,2.5,2.8,3.99,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#accountants-and-auditors:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,accountants-and-auditors,en,3.67,2.9,2.33,2.95,4.3,2.5,2.8,3.93,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#accountants-and-auditors:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,actors,zh-CN,3.64,2.7,2.33,2.95,4.3,2.5,2.8,3.86,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#actors:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,actors,en,3.62,2.5,2.33,2.95,4.3,2.5,2.8,3.79,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#actors:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,actuaries,zh-CN,3.64,2.7,2.33,2.95,4.3,2.5,2.8,3.86,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#actuaries:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,actuaries,en,3.62,2.5,2.33,2.95,4.3,2.5,2.8,3.79,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#actuaries:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,acupuncturists,zh-CN,3.64,2.7,2.33,2.95,4.3,2.5,2.8,3.86,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#acupuncturists:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,acupuncturists,en,3.62,2.5,2.33,2.95,4.3,2.5,2.8,3.79,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#acupuncturists:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,acute-care-nurses,zh-CN,3.63,3.1,2.33,2.95,3.6,2.5,2.8,3.99,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#acute-care-nurses:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,acute-care-nurses,en,3.6,2.9,2.33,2.95,3.6,2.5,2.8,3.93,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#acute-care-nurses:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
