slug,locale,candidate_index,anchor_candidate,candidate_only,runtime_approved
accountants-and-auditors,zh-CN,1,会计师和审计师职业介绍,true,false
accountants-and-auditors,zh-CN,2,会计师和审计师技能与入行路径,true,false
accountants-and-auditors,zh-CN,3,会计师和审计师AI 影响与职业匹配,true,false
accountants-and-auditors,en,1,Accountants and auditors career overview,true,false
accountants-and-auditors,en,2,Accountants and auditors skills and entry path,true,false
accountants-and-auditors,en,3,Accountants and auditors AI impact and fit,true,false
actors,zh-CN,1,演员职业诊断职业介绍,true,false
actors,zh-CN,2,演员职业诊断技能与入行路径,true,false
actors,zh-CN,3,演员职业诊断AI 影响与职业匹配,true,false
actors,en,1,Actors career overview,true,false
actors,en,2,Actors skills and entry path,true,false
actors,en,3,Actors AI impact and fit,true,false
actuaries,zh-CN,1,精算师职业诊断职业介绍,true,false
actuaries,zh-CN,2,精算师职业诊断技能与入行路径,true,false
actuaries,zh-CN,3,精算师职业诊断AI 影响与职业匹配,true,false
actuaries,en,1,Actuaries career overview,true,false
actuaries,en,2,Actuaries skills and entry path,true,false
actuaries,en,3,Actuaries AI impact and fit,true,false
acupuncturists,zh-CN,1,针灸师职业介绍,true,false
acupuncturists,zh-CN,2,针灸师技能与入行路径,true,false
acupuncturists,zh-CN,3,针灸师AI 影响与职业匹配,true,false
acupuncturists,en,1,Acupuncturists career overview,true,false
acupuncturists,en,2,Acupuncturists skills and entry path,true,false
acupuncturists,en,3,Acupuncturists AI impact and fit,true,false
acute-care-nurses,zh-CN,1,急症护理护士职业介绍,true,false
acute-care-nurses,zh-CN,2,急症护理护士技能与入行路径,true,false
acute-care-nurses,zh-CN,3,急症护理护士AI 影响与职业匹配,true,false
acute-care-nurses,en,1,Acute Care Nurses career overview,true,false
acute-care-nurses,en,2,Acute Care Nurses skills and entry path,true,false
acute-care-nurses,en,3,Acute Care Nurses AI impact and fit,true,false
adapted-physical-education-specialists,zh-CN,1,专家教育职业介绍,true,false
adapted-physical-education-specialists,zh-CN,2,专家教育技能与入行路径,true,false
adapted-physical-education-specialists,zh-CN,3,专家教育AI 影响与职业匹配,true,false
adapted-physical-education-specialists,en,1,Adapted Physical Education Specialists career overview,true,false
adapted-physical-education-specialists,en,2,Adapted Physical Education Specialists skills and entry path,true,false
adapted-physical-education-specialists,en,3,Adapted Physical Education Specialists AI impact and fit,true,false
adhesive-bonding-machine-operators-and-tenders,zh-CN,1,机器操作员看护员职业介绍,true,false
adhesive-bonding-machine-operators-and-tenders,zh-CN,2,机器操作员看护员技能与入行路径,true,false
adhesive-bonding-machine-operators-and-tenders,zh-CN,3,机器操作员看护员AI 影响与职业匹配,true,false
adhesive-bonding-machine-operators-and-tenders,en,1,Adhesive Bonding Machine Operators And Tenders career overview,true,false
adhesive-bonding-machine-operators-and-tenders,en,2,Adhesive Bonding Machine Operators And Tenders skills and entry path,true,false
adhesive-bonding-machine-operators-and-tenders,en,3,Adhesive Bonding Machine Operators And Tenders AI impact and fit,true,false
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,1,行政法官、官职业介绍,true,false
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,2,行政法官、官技能与入行路径,true,false
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,3,行政法官、官AI 影响与职业匹配,true,false
administrative-law-judges-adjudicators-and-hearing-officers,en,1,"Administrative Law Judges, Adjudicators, And Hearing Officers career overview",true,false
administrative-law-judges-adjudicators-and-hearing-officers,en,2,"Administrative Law Judges, Adjudicators, And Hearing Officers skills and entry path",true,false
administrative-law-judges-adjudicators-and-hearing-officers,en,3,"Administrative Law Judges, Adjudicators, And Hearing Officers AI impact and fit",true,false
administrative-services-managers,zh-CN,1,行政服务经理职业介绍,true,false
administrative-services-managers,zh-CN,2,行政服务经理技能与入行路径,true,false
administrative-services-managers,zh-CN,3,行政服务经理AI 影响与职业匹配,true,false
administrative-services-managers,en,1,Administrative Services Managers career overview,true,false
administrative-services-managers,en,2,Administrative Services Managers skills and entry path,true,false
administrative-services-managers,en,3,Administrative Services Managers AI impact and fit,true,false
adult-literacy-and-ged-teachers,zh-CN,1,成人基础与中等教育及ESL教师适合谁？职业介绍,true,false
adult-literacy-and-ged-teachers,zh-CN,2,成人基础与中等教育及ESL教师适合谁？技能与入行路径,true,false
adult-literacy-and-ged-teachers,zh-CN,3,成人基础与中等教育及ESL教师适合谁？AI 影响与职业匹配,true,false
adult-literacy-and-ged-teachers,en,1,Adult Basic and Secondary Education and ESL Teachers career overview,true,false
adult-literacy-and-ged-teachers,en,2,Adult Basic and Secondary Education and ESL Teachers skills and entry path,true,false
adult-literacy-and-ged-teachers,en,3,Adult Basic and Secondary Education and ESL Teachers AI impact and fit,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,1,成人基础教育、成人中等教育、英语作为第二语言职业介绍,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,2,成人基础教育、成人中等教育、英语作为第二语言技能与入行路径,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,3,成人基础教育、成人中等教育、英语作为第二语言AI 影响与职业匹配,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,1,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors career overview",true,false
