slug,locale,url,status,canonical,noindex,salary_block_rendered,jsonld_types,passed,issue_count,issues
accountants-and-auditors,zh,https://fermatmind.com/zh/career/jobs/accountants-and-auditors,200,https://fermatmind.com/zh/career/jobs/accountants-and-auditors,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
accountants-and-auditors,en,https://fermatmind.com/en/career/jobs/accountants-and-auditors,200,https://fermatmind.com/en/career/jobs/accountants-and-auditors,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
actuaries,zh,https://fermatmind.com/zh/career/jobs/actuaries,200,https://fermatmind.com/zh/career/jobs/actuaries,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
actuaries,en,https://fermatmind.com/en/career/jobs/actuaries,200,https://fermatmind.com/en/career/jobs/actuaries,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
computer-programmers,zh,https://fermatmind.com/zh/career/jobs/computer-programmers,200,https://fermatmind.com/zh/career/jobs/computer-programmers,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Occupation|Question,true,0,
computer-programmers,en,https://fermatmind.com/en/career/jobs/computer-programmers,200,https://fermatmind.com/en/career/jobs/computer-programmers,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Occupation|Question,true,0,
agents-and-business-managers-of-artists-performers-and-athletes,zh,https://fermatmind.com/zh/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes,200,https://fermatmind.com/zh/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
agents-and-business-managers-of-artists-performers-and-athletes,en,https://fermatmind.com/en/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes,200,https://fermatmind.com/en/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
writers-and-authors,zh,https://fermatmind.com/zh/career/jobs/writers-and-authors,200,https://fermatmind.com/zh/career/jobs/writers-and-authors,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
writers-and-authors,en,https://fermatmind.com/en/career/jobs/writers-and-authors,200,https://fermatmind.com/en/career/jobs/writers-and-authors,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
zoologists-and-wildlife-biologists,zh,https://fermatmind.com/zh/career/jobs/zoologists-and-wildlife-biologists,200,https://fermatmind.com/zh/career/jobs/zoologists-and-wildlife-biologists,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
zoologists-and-wildlife-biologists,en,https://fermatmind.com/en/career/jobs/zoologists-and-wildlife-biologists,200,https://fermatmind.com/en/career/jobs/zoologists-and-wildlife-biologists,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
wind-turbine-technicians,zh,https://fermatmind.com/zh/career/jobs/wind-turbine-technicians,200,https://fermatmind.com/zh/career/jobs/wind-turbine-technicians,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
wind-turbine-technicians,en,https://fermatmind.com/en/career/jobs/wind-turbine-technicians,200,https://fermatmind.com/en/career/jobs/wind-turbine-technicians,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
woodworking-machine-setters-operators-and-tenders-except-sawing,zh,https://fermatmind.com/zh/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing,200,https://fermatmind.com/zh/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
woodworking-machine-setters-operators-and-tenders-except-sawing,en,https://fermatmind.com/en/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing,200,https://fermatmind.com/en/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
air-traffic-controllers,zh,https://fermatmind.com/zh/career/jobs/air-traffic-controllers,200,https://fermatmind.com/zh/career/jobs/air-traffic-controllers,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
air-traffic-controllers,en,https://fermatmind.com/en/career/jobs/air-traffic-controllers,200,https://fermatmind.com/en/career/jobs/air-traffic-controllers,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
