batch_index,seed_ordinal,slug,title_en,title_zh_seed,soc_code_seed,onet_code_seed,batch_role,expected_locales
251,239,crushing-grinding-and-polishing-machine-setters-operators-and-tenders,"Crushing, Grinding, And Polishing Machine Setters, Operators, And Tenders",机器铺设工、操作员、看护员,51-9021,51-9021.00,new_50,zh-CN|en
252,240,curators,Curators,策展人,25-4012,25-4012.00,new_50,zh-CN|en
253,241,customer-service-representatives,Customer Service Representatives,客户服务代表,43-4051,43-4051.00,new_50,zh-CN|en
254,242,customs-and-border-protection-officers,Customs And Border Protection Officers,海关官,33-3051,33-3051.04,new_50,zh-CN|en
255,243,customs-brokers,Customs Brokers,海关经纪人,13-1041,13-1041.08,new_50,zh-CN|en
256,244,cutters-and-trimmers-hand,"Cutters And Trimmers, Hand",切割工布置员、手工,51-9031,51-9031.00,new_50,zh-CN|en
257,245,cutting-and-slicing-machine-setters-operators-and-tenders,"Cutting And Slicing Machine Setters, Operators, And Tenders",机器铺设工、操作员、看护员,51-9032,51-9032.00,new_50,zh-CN|en
258,246,cutting-punching-and-press-machine-setters-operators-and-tenders-metal-and-plastic,"Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",机器铺设工、操作员、看护员、金属塑料,51-4031,51-4031.00,new_50,zh-CN|en
259,247,cytogenetic-technologists,Cytogenetic Technologists,技术专家,29-2011,29-2011.01,new_50,zh-CN|en
260,248,cytotechnologists,Cytotechnologists,细胞技术专家,29-2011,29-2011.02,new_50,zh-CN|en
261,249,dancers,Dancers,舞者,27-2031,27-2031.00,new_50,zh-CN|en
262,250,dancers-and-choreographers,Dancers,舞者,27-2031,27-2031.00,new_50,zh-CN|en
263,251,data-entry-keyers,Data Entry Keyers,数据录入员,43-9021,43-9021.00,new_50,zh-CN|en
264,253,data-warehousing-specialists,Data Warehousing Specialists,数据专员,15-1243,15-1243.01,new_50,zh-CN|en
265,254,database-administrators,Database Administrators,数据库管理员,15-1242,15-1242.00,new_50,zh-CN|en
266,255,database-architects,Database Architects,建筑师,15-1243,15-1243.00,new_50,zh-CN|en
267,256,delivery-truck-drivers-and-driver-sales-workers,Light Truck Drivers,轻型卡车司机,53-3033,53-3033.00,new_50,zh-CN|en
268,257,demonstrators-and-product-promoters,Demonstrators And Product Promoters,演示员推广员,41-9011,41-9011.00,new_50,zh-CN|en
269,258,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,Dental Laboratory Technicians,牙科实验室技术员,51-9081,51-9081.00,new_50,zh-CN|en
270,259,dental-assistants,Dental assistants,牙科助理适合谁？,31-9091,31-9091.00,new_50,zh-CN|en
271,260,dental-hygienists,Dental hygienists,口腔卫生师适合谁？,29-1292,29-1292.00,new_50,zh-CN|en
272,261,dental-laboratory-technicians,Dental Laboratory Technicians,牙科技工室技术员,51-9081,51-9081.00,new_50,zh-CN|en
273,262,dentists,"Dentists, General",普通牙医职业诊断,29-1021,29-1021.00,new_50,zh-CN|en
274,263,dentists-all-other-specialists,"Dentists, All Other Specialists",专家牙医,29-1029,29-1029.00,new_50,zh-CN|en
275,264,dentists-general,"Dentists, General",牙医、普通,29-1021,29-1021.00,new_50,zh-CN|en
276,265,dermatologists,Dermatologists,皮肤科医师,29-1213,29-1213.00,new_50,zh-CN|en
277,266,derrick-operators-oil-and-gas,"Derrick Operators, Oil And Gas",操作员、石油天然气,47-5011,47-5011.00,new_50,zh-CN|en
278,267,desktop-publishers,Desktop publishers,桌面出版专员适合谁？,43-9031,43-9031.00,new_50,zh-CN|en
279,268,detectives-and-criminal-investigators,Detectives And Criminal Investigators,侦探刑事调查员,33-3021,33-3021.00,new_50,zh-CN|en
280,269,diagnostic-medical-sonographers,Diagnostic medical sonographers,医学超声诊断师适合谁？,29-2032,29-2032.00,new_50,zh-CN|en
281,270,diesel-service-technicians-and-mechanics,Diesel Service Technicians And Mechanics,柴油设备维修技师与机械师,49-3023,49-3023.00,new_50,zh-CN|en
282,271,dietetic-technicians,Dietetic Technicians,膳食技术员,29-2051,29-2051.00,new_50,zh-CN|en
283,272,dietitians-and-nutritionists,Dietitians And Nutritionists,膳食与营养师,29-1031,29-1031.00,new_50,zh-CN|en
284,273,dining-room-and-cafeteria-attendants-and-bartender-helpers,Dining Room And Cafeteria Attendants And Bartender Helpers,餐厅与食堂服务员帮工,35-9011,35-9011.00,new_50,zh-CN|en
285,274,directors-religious-activities-and-education,"Directors, Religious Activities And Education",总监、教育,21-2021,21-2021.00,new_50,zh-CN|en
286,275,disc-jockeys-except-radio,"Disc Jockeys, Except Radio",非电台唱片骑师,27-2091,27-2091.00,new_50,zh-CN|en
287,276,dishwashers,Dishwashers,洗碗工,35-9021,35-9021.00,new_50,zh-CN|en
288,277,dispatchers-except-police-fire-and-ambulance,"Dispatchers, Except Police, Fire, And Ambulance",调度员、警察、消防、救护车,43-5032,43-5032.00,new_50,zh-CN|en
289,278,document-management-specialists,Document Management Specialists,管理专员,15-1299,15-1299.03,new_50,zh-CN|en
290,279,door-to-door-sales-workers-news-and-street-vendors-and-related-workers,"Door To Door Sales Workers, News And Street Vendors, And Related Workers",工人销售,41-9091,41-9091.00,new_50,zh-CN|en
291,280,drafters,Architectural And Civil Drafters,建筑与土木制图员,17-3011,17-3011.00,new_50,zh-CN|en
292,281,dredge-operators,Dredge Operators,挖泥船操作员,53-7031,53-7031.00,new_50,zh-CN|en
293,282,drilling-and-boring-machine-tool-setters-operators-and-tenders-metal-and-plastic,"Drilling And Boring Machine Tool Setters, Operators, And Tenders, Metal And Plastic",机器工具铺设工、操作员、看护员、金属塑料,51-4032,51-4032.00,new_50,zh-CN|en
294,283,driver-sales-workers,Driver/Sales Workers,工人销售,53-3031,53-3031.00,new_50,zh-CN|en
295,284,drywall-and-ceiling-tile-installers,Drywall And Ceiling Tile Installers,石膏板与天花板瓷砖安装工,47-2081,47-2081.00,new_50,zh-CN|en
296,285,drywall-and-ceiling-tile-installers-and-tapers,Drywall And Ceiling Tile Installers,石膏板与吊顶板安装工,47-2081,47-2081.00,new_50,zh-CN|en
297,286,earth-drillers-except-oil-and-gas,"Earth Drillers, Except Oil And Gas",土方钻探工、石油天然气,47-5023,47-5023.00,new_50,zh-CN|en
298,287,economics-teachers-postsecondary,"Economics Teachers, Postsecondary",高校经济学教师,25-1063,25-1063.00,new_50,zh-CN|en
299,288,economists,Economists,经济学家,,,new_50,zh-CN|en
300,289,editors,Editors,编辑,27-3041,27-3041.00,new_50,zh-CN|en
