forbidden,priority_queries,required_capture,slug,title_en,title_zh_seed
official China occupational wage wording; invented sample count,机器铺设工、操作员、看护员 工资 职友集 | 机器铺设工、操作员、看护员 薪资 招聘 | 机器铺设工、操作员、看护员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,crushing-grinding-and-polishing-machine-setters-operators-and-tenders,"Crushing, Grinding, And Polishing Machine Setters, Operators, And Tenders",机器铺设工、操作员、看护员
official China occupational wage wording; invented sample count,策展人 工资 职友集 | 策展人 薪资 招聘 | 策展人 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,curators,Curators,策展人
official China occupational wage wording; invented sample count,客户服务代表 工资 职友集 | 客户服务代表 薪资 招聘 | 客户服务代表 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,customer-service-representatives,Customer Service Representatives,客户服务代表
official China occupational wage wording; invented sample count,海关官 工资 职友集 | 海关官 薪资 招聘 | 海关官 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,customs-and-border-protection-officers,Customs And Border Protection Officers,海关官
official China occupational wage wording; invented sample count,海关经纪人 工资 职友集 | 海关经纪人 薪资 招聘 | 海关经纪人 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,customs-brokers,Customs Brokers,海关经纪人
official China occupational wage wording; invented sample count,切割工布置员、手工 工资 职友集 | 切割工布置员、手工 薪资 招聘 | 切割工布置员、手工 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,cutters-and-trimmers-hand,"Cutters And Trimmers, Hand",切割工布置员、手工
official China occupational wage wording; invented sample count,机器铺设工、操作员、看护员 工资 职友集 | 机器铺设工、操作员、看护员 薪资 招聘 | 机器铺设工、操作员、看护员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,cutting-and-slicing-machine-setters-operators-and-tenders,"Cutting And Slicing Machine Setters, Operators, And Tenders",机器铺设工、操作员、看护员
official China occupational wage wording; invented sample count,机器铺设工、操作员、看护员、金属塑料 工资 职友集 | 机器铺设工、操作员、看护员、金属塑料 薪资 招聘 | 机器铺设工、操作员、看护员、金属塑料 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,cutting-punching-and-press-machine-setters-operators-and-tenders-metal-and-plastic,"Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",机器铺设工、操作员、看护员、金属塑料
official China occupational wage wording; invented sample count,技术专家 工资 职友集 | 技术专家 薪资 招聘 | 技术专家 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,cytogenetic-technologists,Cytogenetic Technologists,技术专家
official China occupational wage wording; invented sample count,细胞技术专家 工资 职友集 | 细胞技术专家 薪资 招聘 | 细胞技术专家 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,cytotechnologists,Cytotechnologists,细胞技术专家
