eu_status_default,forbidden,slug,source_target
macro_context_only,EU-wide occupation median salary without occupation-specific source,diesel-service-technicians-and-mechanics,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,dietetic-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,dietitians-and-nutritionists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,dining-room-and-cafeteria-attendants-and-bartender-helpers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,directors-religious-activities-and-education,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,disc-jockeys-except-radio,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,dishwashers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,dispatchers-except-police-fire-and-ambulance,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,document-management-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,door-to-door-sales-workers-news-and-street-vendors-and-related-workers,Eurostat labour-market earnings macro context
