forbidden_source_name,mapping_priority,onet_code_seed,outlook_priority,slug,soc_code_seed,wage_priority
BLS Employment Projections as wage_sources.source_name,O*NET 17-3011.00; My Next Move; BLS OOH,17-3011.00,BLS OOH or BLS Employment Projections only as outlook/openings context,drafters,17-3011,BLS OEWS SOC 17-3011; CareerOneStop; BLS OOH
BLS Employment Projections as wage_sources.source_name,O*NET 53-7031.00; My Next Move; BLS OOH,53-7031.00,BLS OOH or BLS Employment Projections only as outlook/openings context,dredge-operators,53-7031,BLS OEWS SOC 53-7031; CareerOneStop; BLS OOH
BLS Employment Projections as wage_sources.source_name,O*NET 51-4032.00; My Next Move; BLS OOH,51-4032.00,BLS OOH or BLS Employment Projections only as outlook/openings context,drilling-and-boring-machine-tool-setters-operators-and-tenders-metal-and-plastic,51-4032,BLS OEWS SOC 51-4032; CareerOneStop; BLS OOH
BLS Employment Projections as wage_sources.source_name,O*NET 53-3031.00; My Next Move; BLS OOH,53-3031.00,BLS OOH or BLS Employment Projections only as outlook/openings context,driver-sales-workers,53-3031,BLS OEWS SOC 53-3031; CareerOneStop; BLS OOH
BLS Employment Projections as wage_sources.source_name,O*NET 47-2081.00; My Next Move; BLS OOH,47-2081.00,BLS OOH or BLS Employment Projections only as outlook/openings context,drywall-and-ceiling-tile-installers,47-2081,BLS OEWS SOC 47-2081; CareerOneStop; BLS OOH
BLS Employment Projections as wage_sources.source_name,O*NET 47-2081.00; My Next Move; BLS OOH,47-2081.00,BLS OOH or BLS Employment Projections only as outlook/openings context,drywall-and-ceiling-tile-installers-and-tapers,47-2081,BLS OEWS SOC 47-2081; CareerOneStop; BLS OOH
BLS Employment Projections as wage_sources.source_name,O*NET 47-5023.00; My Next Move; BLS OOH,47-5023.00,BLS OOH or BLS Employment Projections only as outlook/openings context,earth-drillers-except-oil-and-gas,47-5023,BLS OEWS SOC 47-5023; CareerOneStop; BLS OOH
BLS Employment Projections as wage_sources.source_name,O*NET 25-1063.00; My Next Move; BLS OOH,25-1063.00,BLS OOH or BLS Employment Projections only as outlook/openings context,economics-teachers-postsecondary,25-1063,BLS OEWS SOC 25-1063; CareerOneStop; BLS OOH
BLS Employment Projections as wage_sources.source_name,O*NET None; My Next Move; BLS OOH,,BLS OOH or BLS Employment Projections only as outlook/openings context,economists,,O*NET/My Next Move title search; reviewed SOC override if needed
BLS Employment Projections as wage_sources.source_name,O*NET 27-3041.00; My Next Move; BLS OOH,27-3041.00,BLS OOH or BLS Employment Projections only as outlook/openings context,editors,27-3041,BLS OEWS SOC 27-3041; CareerOneStop; BLS OOH
