slug,cn_items,cn_queries,us_source,uk_mapping_quality,uk_source_url,ready_for_asset_generation
automotive-glass-installers-and-repairers,2,汽车玻璃安装工 | 汽车玻璃维修工,yes,unavailable,,False
automotive-service-technicians-and-mechanics,2,汽车维修技师 | 汽车维修工,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/agricultural-engineering-technician,True
aviation-inspectors,0,航空检查员 | 航空安全检查员,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/advertising-art-director,False
avionics-technicians,0,航空电子技术员 | 航空维修技术员,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/accounting-technician,False
baggage-porters-and-bellhops,0,行李员 | 行李搬运员,yes,unavailable,,False
bailiffs,0,法警 | 法院执行员,yes,unavailable,,False
bakers,0,面包师 | 烘焙师,yes,unavailable,,False
barbers,0,理发师 | 发型师,yes,unavailable,,False
barbers-hairstylists-and-cosmetologists,0,美发师 | 发型师,yes,unavailable,,False
baristas,0,咖啡师 | 咖啡店员,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/acupuncturist,False
bartenders,0,调酒师 | 酒吧服务员,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/agricultural-engineer,False
bicycle-repairers,0,自行车修理工 | 自行车维修技师,yes,unavailable,,False
bill-and-account-collectors,0,催收员 | 账款催收员,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/advertising-account-planner,False
billing-and-posting-clerks,2,账单文员 | 结算文员,yes,unavailable,,False
biochemists-and-biophysicists,2,生物化学家 | 生物研究员,yes,unavailable,,False
biomedical-engineers,2,生物医学工程师 | 医疗器械工程师,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/agricultural-engineer,True
biofuels-processing-technicians,0,生物燃料技术员 | 生物能源技术员,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/3d-printing-technician,False
biofuels-production-managers,0,生产经理 | 生物能源生产经理,yes,unavailable,,False
biofuels-biodiesel-technology-and-product-development-managers,0,生物燃料研发经理 | 产品研发经理,yes,unavailable,,False
bioinformatics-scientists,0,生物信息学科学家 | 生物信息分析师,yes,unavailable,,False
bioinformatics-technicians,0,生物信息技术员 | 生物信息工程师,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/3d-printing-technician,False
biological-science-teachers-postsecondary,0,高校生物教师 | 生物教师,yes,unavailable,,False
biological-technicians,0,生物技术员 | 实验技术员,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/accounting-technician,False
biologists,0,生物学家 | 生物研究员,yes,unavailable,,False
biomass-plant-technicians,0,电厂技术员 | 生物质电厂技术员,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/3d-printing-technician,False
biomass-power-plant-managers,0,电厂经理 | 电厂生产经理,yes,unavailable,,False
biostatisticians,0,生物统计师 | 统计师,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/accounting-technician,False
blockchain-engineers,2,区块链工程师 | 区块链开发工程师,yes,adjacent_uk_profile,https://nationalcareers.service.gov.uk/job-profiles/aerospace-engineer,True
boilermakers,2,锅炉工 | 锅炉安装工,yes,unavailable,,False
