reasons,slug
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,cooling-and-freezing-equipment-operators-and-tenders
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,coroners
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,correctional-officers
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,correspondence-clerks
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,cost-estimators
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,costume-attendants
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,counter-and-rental-clerks
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,couriers-and-messengers
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,court-reporters
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,court-municipal-and-license-clerks
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,craft-and-fine-artists
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,craft-artists
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,crane-and-tower-operators
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,credit-analysts
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,credit-authorizers-checkers-and-clerks
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,credit-counselors
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,crematory-operators
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,criminal-justice-and-law-enforcement-teachers-postsecondary
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,critical-care-nurses
CN evidence is not_found or empty | UK evidence is unavailable | US official wage_sources missing,crossing-guards-and-flaggers
