eu_status_default,forbidden,slug,source_target
macro_context_only,EU-wide occupation median salary without occupation-specific source,accountants-and-auditors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,actors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,agricultural-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aerospace-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,registered-nurses,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,anesthesiologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,high-school-teachers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,administrative-services-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,advertising-sales-agents,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,art-directors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aircraft-mechanics-and-service-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,electricians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cashiers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,waiters-and-waitresses,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,data-scientists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,web-developers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-programmers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,project-management-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,agricultural-workers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,animal-caretakers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,architects-except-landscape-and-naval,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,airline-pilots-copilots-and-flight-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,air-traffic-controllers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,music-therapists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,surgical-technologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,civil-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,mechanical-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,elementary-school-teachers-except-special-education,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chefs-and-head-cooks,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,actuaries,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,acupuncturists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,acute-care-nurses,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,adapted-physical-education-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,adhesive-bonding-machine-operators-and-tenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,administrative-law-judges-adjudicators-and-hearing-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,adult-literacy-and-ged-teachers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,advanced-practice-psychiatric-nurses,Eurostat labour-market earnings macro context
