slug,locale,missing_intent,priority
accountants-and-auditors,zh-CN,education,low
actors,zh-CN,education,low
actors,zh-CN,certification,low
actors,en,what-is,high
actors,en,salary,low
actors,en,career-path,medium
actors,en,skills,medium
actors,en,AI-impact,low
actors,en,fit,low
actors,en,adjacent,low
actors,en,education,low
actors,en,certification,low
actuaries,zh-CN,what-is,high
actuaries,zh-CN,salary,low
actuaries,zh-CN,career-path,medium
actuaries,zh-CN,skills,medium
actuaries,zh-CN,AI-impact,low
actuaries,zh-CN,fit,low
actuaries,zh-CN,adjacent,low
actuaries,zh-CN,education,low
actuaries,zh-CN,certification,low
actuaries,en,what-is,high
actuaries,en,salary,low
actuaries,en,career-path,medium
actuaries,en,skills,medium
actuaries,en,AI-impact,low
actuaries,en,fit,low
actuaries,en,adjacent,low
actuaries,en,education,low
actuaries,en,certification,low
acupuncturists,zh-CN,education,low
adapted-physical-education-specialists,en,what-is,high
adapted-physical-education-specialists,en,salary,low
adapted-physical-education-specialists,en,career-path,medium
adapted-physical-education-specialists,en,skills,medium
adapted-physical-education-specialists,en,AI-impact,low
adapted-physical-education-specialists,en,fit,low
adapted-physical-education-specialists,en,adjacent,low
adapted-physical-education-specialists,en,education,low
adapted-physical-education-specialists,en,certification,low
adhesive-bonding-machine-operators-and-tenders,zh-CN,what-is,high
adhesive-bonding-machine-operators-and-tenders,zh-CN,salary,low
adhesive-bonding-machine-operators-and-tenders,zh-CN,career-path,medium
adhesive-bonding-machine-operators-and-tenders,zh-CN,skills,medium
adhesive-bonding-machine-operators-and-tenders,zh-CN,AI-impact,low
adhesive-bonding-machine-operators-and-tenders,zh-CN,fit,low
adhesive-bonding-machine-operators-and-tenders,zh-CN,adjacent,low
adhesive-bonding-machine-operators-and-tenders,zh-CN,education,low
adhesive-bonding-machine-operators-and-tenders,zh-CN,certification,low
adhesive-bonding-machine-operators-and-tenders,en,what-is,high
adhesive-bonding-machine-operators-and-tenders,en,salary,low
adhesive-bonding-machine-operators-and-tenders,en,career-path,medium
adhesive-bonding-machine-operators-and-tenders,en,skills,medium
adhesive-bonding-machine-operators-and-tenders,en,AI-impact,low
adhesive-bonding-machine-operators-and-tenders,en,fit,low
adhesive-bonding-machine-operators-and-tenders,en,adjacent,low
adhesive-bonding-machine-operators-and-tenders,en,education,low
adhesive-bonding-machine-operators-and-tenders,en,certification,low
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,what-is,high
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,salary,low
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,career-path,medium
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,skills,medium
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,AI-impact,low
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,fit,low
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,adjacent,low
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,education,low
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,certification,low
administrative-services-managers,zh-CN,what-is,high
administrative-services-managers,zh-CN,salary,low
administrative-services-managers,zh-CN,career-path,medium
administrative-services-managers,zh-CN,skills,medium
administrative-services-managers,zh-CN,AI-impact,low
administrative-services-managers,zh-CN,fit,low
administrative-services-managers,zh-CN,adjacent,low
administrative-services-managers,zh-CN,education,low
administrative-services-managers,zh-CN,certification,low
adult-literacy-and-ged-teachers,zh-CN,what-is,high
adult-literacy-and-ged-teachers,zh-CN,salary,low
adult-literacy-and-ged-teachers,zh-CN,career-path,medium
adult-literacy-and-ged-teachers,zh-CN,skills,medium
adult-literacy-and-ged-teachers,zh-CN,AI-impact,low
adult-literacy-and-ged-teachers,zh-CN,fit,low
adult-literacy-and-ged-teachers,zh-CN,adjacent,low
adult-literacy-and-ged-teachers,zh-CN,education,low
adult-literacy-and-ged-teachers,zh-CN,certification,low
advanced-practice-psychiatric-nurses,zh-CN,what-is,high
advanced-practice-psychiatric-nurses,zh-CN,salary,low
advanced-practice-psychiatric-nurses,zh-CN,career-path,medium
advanced-practice-psychiatric-nurses,zh-CN,skills,medium
advanced-practice-psychiatric-nurses,zh-CN,AI-impact,low
advanced-practice-psychiatric-nurses,zh-CN,fit,low
advanced-practice-psychiatric-nurses,zh-CN,adjacent,low
advanced-practice-psychiatric-nurses,zh-CN,education,low
advanced-practice-psychiatric-nurses,zh-CN,certification,low
advertising-and-promotions-managers,zh-CN,what-is,high
advertising-and-promotions-managers,zh-CN,salary,low
advertising-and-promotions-managers,zh-CN,career-path,medium
advertising-and-promotions-managers,zh-CN,skills,medium
advertising-and-promotions-managers,zh-CN,AI-impact,low
advertising-and-promotions-managers,zh-CN,fit,low
advertising-and-promotions-managers,zh-CN,adjacent,low
advertising-and-promotions-managers,zh-CN,education,low
advertising-and-promotions-managers,zh-CN,certification,low
advertising-sales-agents,zh-CN,education,low
advertising-sales-agents,en,what-is,high
advertising-sales-agents,en,salary,low
advertising-sales-agents,en,career-path,medium
advertising-sales-agents,en,skills,medium
advertising-sales-agents,en,AI-impact,low
advertising-sales-agents,en,fit,low
