seed_ordinal,slug,locale,title_en,title_zh,primary_detected_intent,secondary_detected_intents,what-is,salary,career-path,skills,AI-impact,fit,adjacent,education,certification,page_status,api_status,h1,title,description_present,faq_signal_count,source_signal_count
1,accountants-and-auditors,zh-CN,Accountants and auditors,会计师和审计师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,会计与审计人员,会计师和审计师 | FermatMind,true,12,6
1,accountants-and-auditors,en,Accountants and auditors,会计师和审计师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Accountants and Auditors,Accountants and auditors | FermatMind,true,12,7
2,actors,zh-CN,Actors,演员职业诊断,what-is,salary|career-path|skills|AI-impact|fit|adjacent,true,true,true,true,true,true,true,false,false,200,0,演员,演员职业诊断 | FermatMind,true,9,6
2,actors,en,Actors,演员职业诊断,what-is,,false,false,false,false,false,false,false,false,false,0,200,,,false,0,2
3,actuaries,zh-CN,Actuaries,精算师职业诊断,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
3,actuaries,en,Actuaries,精算师职业诊断,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
4,acupuncturists,zh-CN,Acupuncturists,针灸师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,针灸师,针灸师 | FermatMind,true,12,6
4,acupuncturists,en,Acupuncturists,针灸师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,200,Acupuncturists,Acupuncturists | FermatMind,true,12,10
5,acute-care-nurses,zh-CN,Acute Care Nurses,急症护理护士,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,急症护理护士,急症护理护士 | FermatMind,true,12,6
5,acute-care-nurses,en,Acute Care Nurses,急症护理护士,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Acute Care Nurses,Acute Care Nurses | FermatMind,true,12,8
6,adapted-physical-education-specialists,zh-CN,Adapted Physical Education Specialists,专家教育,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,适应性体育教育专家,专家教育 | FermatMind,true,12,6
6,adapted-physical-education-specialists,en,Adapted Physical Education Specialists,专家教育,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
7,adhesive-bonding-machine-operators-and-tenders,zh-CN,Adhesive Bonding Machine Operators And Tenders,机器操作员看护员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
7,adhesive-bonding-machine-operators-and-tenders,en,Adhesive Bonding Machine Operators And Tenders,机器操作员看护员,what-is,,false,false,false,false,false,false,false,false,false,0,200,,,false,0,2
8,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,"Administrative Law Judges, Adjudicators, And Hearing Officers",行政法官、官,what-is,,false,false,false,false,false,false,false,false,false,0,200,,,false,0,2
8,administrative-law-judges-adjudicators-and-hearing-officers,en,"Administrative Law Judges, Adjudicators, And Hearing Officers",行政法官、官,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, And Hearing Officers | FermatMind",true,12,8
9,administrative-services-managers,zh-CN,Administrative Services Managers,行政服务经理,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
9,administrative-services-managers,en,Administrative Services Managers,行政服务经理,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Administrative Services and Facilities Managers,Administrative Services Managers | FermatMind,true,12,8
10,adult-literacy-and-ged-teachers,zh-CN,Adult Basic and Secondary Education and ESL Teachers,成人基础与中等教育及ESL教师适合谁？,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
10,adult-literacy-and-ged-teachers,en,Adult Basic and Secondary Education and ESL Teachers,成人基础与中等教育及ESL教师适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Adult Basic and Secondary Education and ESL Teachers,Adult Basic and Secondary Education and ESL Teachers | FermatMind,true,12,8
11,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors",成人基础教育、成人中等教育、英语作为第二语言,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,成人基础教育、成人中等教育与ESL教师,成人基础教育、成人中等教育、英语作为第二语言 | FermatMind,true,12,6
11,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors",成人基础教育、成人中等教育、英语作为第二语言,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors | FermatMind",true,12,8
12,advanced-practice-psychiatric-nurses,zh-CN,Advanced Practice Psychiatric Nurses,精神科护士,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
12,advanced-practice-psychiatric-nurses,en,Advanced Practice Psychiatric Nurses,精神科护士,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Advanced Practice Psychiatric Nurses,Advanced Practice Psychiatric Nurses | FermatMind,true,12,8
13,advertising-and-promotions-managers,zh-CN,Advertising And Promotions Managers,广告与促销经理,what-is,,false,false,false,false,false,false,false,false,false,0,200,,,false,0,2
13,advertising-and-promotions-managers,en,Advertising And Promotions Managers,广告与促销经理,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Advertising and Promotions Managers,Advertising And Promotions Managers | FermatMind,true,12,8
14,advertising-sales-agents,zh-CN,Advertising Sales Agents,广告销售代表适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,200,广告销售代表,广告销售代表适合谁？ | FermatMind,true,8,8
14,advertising-sales-agents,en,Advertising Sales Agents,广告销售代表适合谁？,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
15,advertising-promotions-and-marketing-managers,zh-CN,"Advertising, Promotions, and Marketing Managers",广告、促销与市场经理适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,广告、促销与市场经理,广告、促销与市场经理适合谁？ | FermatMind,true,11,6
15,advertising-promotions-and-marketing-managers,en,"Advertising, Promotions, and Marketing Managers",广告、促销与市场经理适合谁？,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
16,aerospace-engineering-and-operations-technicians,zh-CN,Aerospace Engineering and Operations Technologists and Technicians,航空航天工程与运营技术员适合谁？,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
16,aerospace-engineering-and-operations-technicians,en,Aerospace Engineering and Operations Technologists and Technicians,航空航天工程与运营技术员适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Aerospace Engineering and Operations Technologists and Technicians,Aerospace Engineering and Operations Technologists and Technicians | FermatMind,true,12,8
17,aerospace-engineers,zh-CN,Aerospace Engineers,航空航天工程师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,航空航天工程师,航空航天工程师 | FermatMind,true,12,6
17,aerospace-engineers,en,Aerospace Engineers,航空航天工程师,what-is,,false,false,false,false,false,false,false,false,false,0,200,,,false,0,2
18,agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,"Agents And Business Managers Of Artists, Performers, And Athletes",经理商业,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
18,agents-and-business-managers-of-artists-performers-and-athletes,en,"Agents And Business Managers Of Artists, Performers, And Athletes",经理商业,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,"Agents and Business Managers of Artists, Performers, and Athletes","Agents And Business Managers Of Artists, Performers, And Athletes | FermatMind",true,7,8
19,agricultural-and-food-science-technicians,zh-CN,Agricultural and Food Science Technicians,农业与食品科学技术员适合谁？,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
19,agricultural-and-food-science-technicians,en,Agricultural and Food Science Technicians,农业与食品科学技术员适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Agricultural and Food Science Technicians,Agricultural and Food Science Technicians | FermatMind,true,12,8
20,agricultural-and-food-scientists,zh-CN,Agricultural And Food Scientists,农业与食品科学家,what-is,,false,false,false,false,false,false,false,false,false,0,200,,,false,0,2
20,agricultural-and-food-scientists,en,Agricultural And Food Scientists,农业与食品科学家,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Agricultural and Food Scientists,Agricultural And Food Scientists | FermatMind,true,12,8
