slug,locale,page_status,api_status,h1_present,title_present,description_present,faq_signal_count,source_signals,canonical_ok,noindex
accountants-and-auditors,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
accountants-and-auditors,en,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
actors,zh-CN,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
actors,en,0,200,false,false,false,0,api:sources|api:source,false,false
actuaries,zh-CN,0,0,false,false,false,0,,false,false
actuaries,en,0,0,false,false,false,0,,false,false
acupuncturists,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
acupuncturists,en,200,200,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI|api:sources|api:source,true,false
acute-care-nurses,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
acute-care-nurses,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
adapted-physical-education-specialists,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
adapted-physical-education-specialists,en,0,0,false,false,false,0,,false,false
adhesive-bonding-machine-operators-and-tenders,zh-CN,0,0,false,false,false,0,,false,false
adhesive-bonding-machine-operators-and-tenders,en,0,200,false,false,false,0,api:sources|api:source,false,false
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,0,200,false,false,false,0,api:sources|api:source,false,false
administrative-law-judges-adjudicators-and-hearing-officers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
administrative-services-managers,zh-CN,0,0,false,false,false,0,,false,false
administrative-services-managers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
adult-literacy-and-ged-teachers,zh-CN,0,0,false,false,false,0,,false,false
adult-literacy-and-ged-teachers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
advanced-practice-psychiatric-nurses,zh-CN,0,0,false,false,false,0,,false,false
advanced-practice-psychiatric-nurses,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
advertising-and-promotions-managers,zh-CN,0,200,false,false,false,0,api:sources|api:source,false,false
advertising-and-promotions-managers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
advertising-sales-agents,zh-CN,200,200,true,true,true,8,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI|api:sources|api:source,true,false
advertising-sales-agents,en,0,0,false,false,false,0,,false,false
advertising-promotions-and-marketing-managers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
advertising-promotions-and-marketing-managers,en,0,0,false,false,false,0,,false,false
aerospace-engineering-and-operations-technicians,zh-CN,0,0,false,false,false,0,,false,false
aerospace-engineering-and-operations-technicians,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
aerospace-engineers,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
aerospace-engineers,en,0,200,false,false,false,0,api:sources|api:source,false,false
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,0,0,false,false,false,0,,false,false
agents-and-business-managers-of-artists-performers-and-athletes,en,200,0,true,true,true,7,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
agricultural-and-food-science-technicians,zh-CN,0,0,false,false,false,0,,false,false
agricultural-and-food-science-technicians,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
agricultural-and-food-scientists,zh-CN,0,200,false,false,false,0,api:sources|api:source,false,false
agricultural-and-food-scientists,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
agricultural-engineers,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
agricultural-engineers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
agricultural-equipment-operators,zh-CN,0,0,false,false,false,0,,false,false
agricultural-equipment-operators,en,0,0,false,false,false,0,,false,false
agricultural-inspectors,zh-CN,0,0,false,false,false,0,,false,false
agricultural-inspectors,en,0,0,false,false,false,0,,false,false
agricultural-sciences-teachers-postsecondary,zh-CN,0,0,false,false,false,0,,false,false
agricultural-sciences-teachers-postsecondary,en,0,0,false,false,false,0,,false,false
agricultural-technicians,zh-CN,0,0,false,false,false,0,,false,false
agricultural-technicians,en,0,0,false,false,false,0,,false,false
agricultural-workers,zh-CN,0,0,false,false,false,0,,false,false
agricultural-workers,en,0,0,false,false,false,0,,false,false
air-crew-members,zh-CN,0,0,false,false,false,0,,false,false
air-crew-members,en,0,0,false,false,false,0,,false,false
air-crew-officers,zh-CN,0,0,false,false,false,0,,false,false
air-crew-officers,en,0,0,false,false,false,0,,false,false
air-traffic-controllers,zh-CN,0,0,false,false,false,0,,false,false
air-traffic-controllers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,0,0,false,false,false,0,,false,false
