slug,locale,findings,ready_for_human_release_review
accountants-and-auditors,zh-CN,,true
accountants-and-auditors,en,,true
actors,zh-CN,,true
actors,en,,true
actuaries,zh-CN,,true
actuaries,en,,true
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,,true
administrative-law-judges-adjudicators-and-hearing-officers,en,,true
administrative-services-managers,zh-CN,,true
administrative-services-managers,en,,true
adult-literacy-and-ged-teachers,zh-CN,,true
adult-literacy-and-ged-teachers,en,,true
advanced-practice-psychiatric-nurses,zh-CN,,true
advanced-practice-psychiatric-nurses,en,,true
advertising-and-promotions-managers,zh-CN,,true
advertising-and-promotions-managers,en,,true
aerospace-engineering-and-operations-technicians,zh-CN,,true
aerospace-engineering-and-operations-technicians,en,,true
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,,true
agents-and-business-managers-of-artists-performers-and-athletes,en,,true
agricultural-and-food-science-technicians,zh-CN,,true
agricultural-and-food-science-technicians,en,,true
agricultural-sciences-teachers-postsecondary,zh-CN,,true
agricultural-sciences-teachers-postsecondary,en,,true
agricultural-technicians,zh-CN,,true
agricultural-technicians,en,,true
air-traffic-controllers,zh-CN,,true
air-traffic-controllers,en,,true
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,,true
aircraft-and-avionics-equipment-mechanics-and-technicians,en,,true
aircraft-cargo-handling-supervisors,zh-CN,,true
aircraft-cargo-handling-supervisors,en,,true
aircraft-launch-and-recovery-officers,zh-CN,,true
aircraft-launch-and-recovery-officers,en,,true
aircraft-service-attendants,zh-CN,,true
aircraft-service-attendants,en,,true
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,,true
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,,true
airline-and-commercial-pilots,zh-CN,,true
airline-and-commercial-pilots,en,,true
biofuels-processing-technicians,zh-CN,,true
biofuels-processing-technicians,en,,true
chiropractors,zh-CN,,true
chiropractors,en,,true
clinical-laboratory-technologists-and-technicians,zh-CN,,true
clinical-laboratory-technologists-and-technicians,en,,true
communications-teachers-postsecondary,zh-CN,,true
communications-teachers-postsecondary,en,,true
compensation-and-benefits-managers,zh-CN,,true
compensation-and-benefits-managers,en,,true
electricians,zh-CN,,true
electricians,en,,true
elementary-school-teachers-except-special-education,zh-CN,,true
elementary-school-teachers-except-special-education,en,,true
helpers-electricians,zh-CN,,true
helpers-electricians,en,,true
high-school-teachers,zh-CN,,true
high-school-teachers,en,,true
human-resources-managers,zh-CN,,true
human-resources-managers,en,,true
judges-and-hearing-officers,zh-CN,,true
judges-and-hearing-officers,en,,true
judges-magistrate-judges-and-magistrates,zh-CN,,true
judges-magistrate-judges-and-magistrates,en,,true
lawyers,zh-CN,,true
lawyers,en,,true
logistics-engineers,zh-CN,,true
logistics-engineers,en,,true
loss-prevention-managers,zh-CN,,true
loss-prevention-managers,en,,true
materials-engineers,zh-CN,,true
materials-engineers,en,,true
mechatronics-engineers,zh-CN,,true
mechatronics-engineers,en,,true
microsystems-engineers,zh-CN,,true
microsystems-engineers,en,,true
nanosystems-engineers,zh-CN,,true
nanosystems-engineers,en,,true
photonics-engineers,zh-CN,,true
photonics-engineers,en,,true
photonics-technicians,zh-CN,,true
photonics-technicians,en,,true
registered-nurses,zh-CN,,true
registered-nurses,en,,true
transportation-engineers,zh-CN,,true
transportation-engineers,en,,true
validation-engineers,zh-CN,,true
validation-engineers,en,,true
video-game-designers,zh-CN,,true
video-game-designers,en,,true
water-wastewater-engineers,zh-CN,,true
water-wastewater-engineers,en,,true
web-and-digital-interface-designers,zh-CN,,true
web-and-digital-interface-designers,en,,true
wind-energy-engineers,zh-CN,,true
wind-energy-engineers,en,,true
writers-and-authors,zh-CN,,true
writers-and-authors,en,,true
zoologists-and-wildlife-biologists,zh-CN,,true
zoologists-and-wildlife-biologists,en,,true
