slug,locale,allowed_for_future_review,runtime_approved,allowed_fields_for_future_release_review,release_gate_required
accountants-and-auditors,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
accountants-and-auditors,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
actors,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
actors,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
actuaries,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
actuaries,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
acupuncturists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
acupuncturists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
acute-care-nurses,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
acute-care-nurses,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
adapted-physical-education-specialists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
adapted-physical-education-specialists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
adhesive-bonding-machine-operators-and-tenders,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
adhesive-bonding-machine-operators-and-tenders,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
administrative-law-judges-adjudicators-and-hearing-officers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
administrative-services-managers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
administrative-services-managers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
adult-literacy-and-ged-teachers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
adult-literacy-and-ged-teachers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
advanced-practice-psychiatric-nurses,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
