framework,locale,entity_type,code,path,canonical_path,status
big_five,zh-CN,hub,big-five,packages/zh-CN/big-five.content-package.json,/zh/personality/big-five,repaired_noindex
big_five,zh-CN,domain,openness,packages/zh-CN/openness.content-package.json,/zh/personality/big-five/openness,repaired_noindex
big_five,zh-CN,domain,conscientiousness,packages/zh-CN/conscientiousness.content-package.json,/zh/personality/big-five/conscientiousness,repaired_noindex
big_five,zh-CN,domain,extraversion,packages/zh-CN/extraversion.content-package.json,/zh/personality/big-five/extraversion,repaired_noindex
big_five,zh-CN,domain,agreeableness,packages/zh-CN/agreeableness.content-package.json,/zh/personality/big-five/agreeableness,repaired_noindex
big_five,zh-CN,domain,neuroticism,packages/zh-CN/neuroticism.content-package.json,/zh/personality/big-five/neuroticism,repaired_noindex
big_five,zh-CN,polarity,high-openness,packages/zh-CN/high-openness.content-package.json,/zh/personality/big-five/high-openness,repaired_noindex
big_five,zh-CN,polarity,low-openness,packages/zh-CN/low-openness.content-package.json,/zh/personality/big-five/low-openness,repaired_noindex
big_five,zh-CN,polarity,high-conscientiousness,packages/zh-CN/high-conscientiousness.content-package.json,/zh/personality/big-five/high-conscientiousness,repaired_noindex
big_five,zh-CN,polarity,low-conscientiousness,packages/zh-CN/low-conscientiousness.content-package.json,/zh/personality/big-five/low-conscientiousness,repaired_noindex
big_five,zh-CN,polarity,high-extraversion,packages/zh-CN/high-extraversion.content-package.json,/zh/personality/big-five/high-extraversion,repaired_noindex
big_five,zh-CN,polarity,low-extraversion,packages/zh-CN/low-extraversion.content-package.json,/zh/personality/big-five/low-extraversion,repaired_noindex
big_five,zh-CN,polarity,high-agreeableness,packages/zh-CN/high-agreeableness.content-package.json,/zh/personality/big-five/high-agreeableness,repaired_noindex
big_five,zh-CN,polarity,low-agreeableness,packages/zh-CN/low-agreeableness.content-package.json,/zh/personality/big-five/low-agreeableness,repaired_noindex
big_five,zh-CN,polarity,high-neuroticism,packages/zh-CN/high-neuroticism.content-package.json,/zh/personality/big-five/high-neuroticism,repaired_noindex
big_five,zh-CN,polarity,emotional-stability,packages/zh-CN/emotional-stability.content-package.json,/zh/personality/big-five/emotional-stability,repaired_noindex
big_five,zh-CN,facet_hub,facets,packages/zh-CN/facets.content-package.json,/zh/personality/big-five/facets,repaired_noindex
big_five,en,hub,big-five,packages/en/big-five.content-package.json,/en/personality/big-five,repaired_noindex
big_five,en,domain,openness,packages/en/openness.content-package.json,/en/personality/big-five/openness,repaired_noindex
big_five,en,domain,conscientiousness,packages/en/conscientiousness.content-package.json,/en/personality/big-five/conscientiousness,repaired_noindex
big_five,en,domain,extraversion,packages/en/extraversion.content-package.json,/en/personality/big-five/extraversion,repaired_noindex
big_five,en,domain,agreeableness,packages/en/agreeableness.content-package.json,/en/personality/big-five/agreeableness,repaired_noindex
big_five,en,domain,neuroticism,packages/en/neuroticism.content-package.json,/en/personality/big-five/neuroticism,repaired_noindex
big_five,en,polarity,high-openness,packages/en/high-openness.content-package.json,/en/personality/big-five/high-openness,repaired_noindex
big_five,en,polarity,low-openness,packages/en/low-openness.content-package.json,/en/personality/big-five/low-openness,repaired_noindex
big_five,en,polarity,high-conscientiousness,packages/en/high-conscientiousness.content-package.json,/en/personality/big-five/high-conscientiousness,repaired_noindex
big_five,en,polarity,low-conscientiousness,packages/en/low-conscientiousness.content-package.json,/en/personality/big-five/low-conscientiousness,repaired_noindex
big_five,en,polarity,high-extraversion,packages/en/high-extraversion.content-package.json,/en/personality/big-five/high-extraversion,repaired_noindex
big_five,en,polarity,low-extraversion,packages/en/low-extraversion.content-package.json,/en/personality/big-five/low-extraversion,repaired_noindex
big_five,en,polarity,high-agreeableness,packages/en/high-agreeableness.content-package.json,/en/personality/big-five/high-agreeableness,repaired_noindex
big_five,en,polarity,low-agreeableness,packages/en/low-agreeableness.content-package.json,/en/personality/big-five/low-agreeableness,repaired_noindex
big_five,en,polarity,high-neuroticism,packages/en/high-neuroticism.content-package.json,/en/personality/big-five/high-neuroticism,repaired_noindex
big_five,en,polarity,emotional-stability,packages/en/emotional-stability.content-package.json,/en/personality/big-five/emotional-stability,repaired_noindex
big_five,en,facet_hub,facets,packages/en/facets.content-package.json,/en/personality/big-five/facets,repaired_noindex
