market,source_sheet,authority_source,authority_code,source_title_zh,suggested_title_en,translation_status,action,matched_current_slug,matched_current_title_zh,matched_current_title_en,match_score,major_code,major_name_zh,release_year,release_status,marker,marker_meaning,definition,source_url,review_notes,source_title_en,suggested_title_zh
CN,China_2026_Directory,china_occupation_directory_2026,1-01-00-01,中国共产党机关负责人,Chinese Communist Party 机 关 head,machine_assisted_rule_review,create,,,,0.250,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,中国共产党机关负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-01-00-02,中国共产党基层组织负责人,Chinese Communist Party 基 层 组 织 head,machine_assisted_rule_review,create,,,,0.190,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,中国共产党基层组织负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-02-01-00,国家权力机关负责人,State authority head,machine_assisted_rule_review,create,,,,0.235,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,国家权力机关负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-02-02-00,国家行政机关负责人,State administrative agency head,machine_assisted_rule_review,create,,,,0.316,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,国家行政机关负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-02-03-00,人民政协机关负责人,CPPCC organization head,machine_assisted_rule_review,create,,,,0.200,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,人民政协机关负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-02-04-00,监察机关负责人,监 察 机 关 head,machine_assisted_rule_review,create,,,,0.222,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,监察机关负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-02-05-01,人民法院负责人,人 民 法 院 head,machine_assisted_rule_review,create,,,,0.222,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,人民法院负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-02-05-02,人民检察院负责人,人 民 检 察 院 head,machine_assisted_rule_review,create,,,,0.211,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,人民检察院负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-03-00-01,民主党派负责人,Democratic party head,machine_assisted_rule_review,create,,,,0.182,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,民主党派负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-03-00-02,工商联负责人,工 商 联 head,machine_assisted_rule_review,create,,,,0.308,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,工商联负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-04-01-01,工会负责人,工 会 head,machine_assisted_rule_review,create,,,,0.333,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,工会负责人
