market,source_sheet,authority_source,authority_code,source_title_en,suggested_title_zh,translation_status,action,matched_current_slug,matched_current_title_en,matched_current_title_zh,match_score,major_group_code,major_group_title_en,minor_group_code,minor_group_title_en,broad_occupation_code,broad_occupation_title_en,detailed_soc_code,detailed_soc_title_en,description,source_status,source_url,review_notes,source_title_zh,suggested_title_en
US,US_English_Directory,onet_soc_2019,11-1011.00,Chief Executives,首席执行官,machine_assisted_rule_review,create,,,,0.733,11-0000,Management Occupations,11-1000,Top Executives,11-1010,Chief Executives,11-1011,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,Do not publish final Chinese title without CMS/editorial review.,,Chief Executives
US,US_English_Directory,onet_soc_2019,11-1011.03,Chief Sustainability Officers,,needs_translation,create,,,,0.524,11-0000,Management Occupations,11-1000,Top Executives,11-1010,Chief Executives,11-1011,Chief Executives,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,Do not publish final Chinese title without CMS/editorial review.,,Chief Sustainability Officers
US,US_English_Directory,onet_soc_2019,11-1021.00,General and Operations Managers,总经理和运营经理,machine_assisted_rule_review,create,,,,0.765,11-0000,Management Occupations,11-1000,Top Executives,11-1020,General and Operations Managers,11-1021,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,Do not publish final Chinese title without CMS/editorial review.,,General and Operations Managers
US,US_English_Directory,onet_soc_2019,11-1031.00,Legislators,,needs_translation,create,,,,0.667,11-0000,Management Occupations,11-1000,Top Executives,11-1030,Legislators,11-1031,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,Do not publish final Chinese title without CMS/editorial review.,,Legislators
US,US_English_Directory,onet_soc_2019,11-2011.00,Advertising and Promotions Managers,经理,machine_assisted_rule_review,create,,,,0.775,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2010,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,Do not publish final Chinese title without CMS/editorial review.,,Advertising and Promotions Managers
US,US_English_Directory,onet_soc_2019,11-2021.00,Marketing Managers,营销经理,machine_assisted_rule_review,create,,,,0.706,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2020,Marketing and Sales Managers,11-2021,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,Do not publish final Chinese title without CMS/editorial review.,,Marketing Managers
US,US_English_Directory,onet_soc_2019,11-2022.00,Sales Managers,销售经理,from_existing_match,skip,sales-managers,Sales managers,销售经理,1.000,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2020,Marketing and Sales Managers,11-2022,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,,,Sales Managers
US,US_English_Directory,onet_soc_2019,11-2032.00,Public Relations Managers,公共关系经理,machine_assisted_rule_review,create,,,,0.758,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2030,Public Relations and Fundraising Managers,11-2032,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,Do not publish final Chinese title without CMS/editorial review.,,Public Relations Managers
US,US_English_Directory,onet_soc_2019,11-2033.00,Fundraising Managers,经理,machine_assisted_rule_review,create,,,,0.722,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2030,Public Relations and Fundraising Managers,11-2033,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,Do not publish final Chinese title without CMS/editorial review.,,Fundraising Managers
US,US_English_Directory,onet_soc_2019,11-3012.00,Administrative Services Managers,经理,machine_assisted_rule_review,create,,,,0.810,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3010,Administrative Services and Facilities Managers,11-3012,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",official_current_onet_soc_2019_taxonomy,https://www.onetcenter.org/taxonomy/2019/list/2019_Occupations.csv?fmt=csv,Do not publish final Chinese title without CMS/editorial review.,,Administrative Services Managers
