market,source_sheet,authority_source,authority_code,source_title_zh,source_title_en,suggested_title_zh,suggested_title_en,translation_status,action,matched_current_slug,matched_current_title_zh,matched_current_title_en,match_score,release_status,source_status,source_url,review_notes,major_code,major_name_zh,release_year,marker,marker_meaning,definition,major_group_code,major_group_title_en,minor_group_code,minor_group_title_en,broad_occupation_code,broad_occupation_title_en,detailed_soc_code,detailed_soc_title_en,description,review_decision,approved_parent_slug,approved_child_title_zh,approved_child_title_en,reviewer_notes
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,3-02-03-01::特种救援员,特种救援员,,特种救援员,"特 种 救 援 worker",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,消防员,2025,,,,,,,,,,,,,,,,,
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,3-02-03-01::森林灭火员,森林灭火员,,森林灭火员,"森 林 灭 火 worker",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,消防员,2025,,,,,,,,,,,,,,,,,
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,3-02-03-01::森林消防装备维护员,森林消防装备维护员,,森林消防装备维护员,"森 林 firefighting 装 备 维 护 worker",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,消防员,2025,,,,,,,,,,,,,,,,,
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,3-02-03-01::消防救援无人机操控员,消防救援无人机操控员,,消防救援无人机操控员,"Firefighting 救 援 无 人 机 操 控 worker",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,消防员,2025,,,,,,,,,,,,,,,,,
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,3-02-03-08::建筑物倒塌（山地）应急救援员,建筑物倒塌（山地）应急救援员,,建筑物倒塌（山地）应急救援员,"Construction 物 倒 塌 （ 山 地 ） emergency rescue worker",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,应急救援员,2025,,,,,,,,,,,,,,,,,
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,3-02-03-08::危险化学品应急救援员,危险化学品应急救援员,,危险化学品应急救援员,"危 险 化 学 品 emergency rescue worker",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,应急救援员,2025,,,,,,,,,,,,,,,,,
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,3-02-03-08::矿山（隧道）应急救援员,矿山（隧道）应急救援员,,矿山（隧道）应急救援员,"矿 山 （ 隧 道 ） emergency rescue worker",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,应急救援员,2025,,,,,,,,,,,,,,,,,
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,3-02-03-08::水域应急救援员,水域应急救援员,,水域应急救援员,"水 域 emergency rescue worker",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,应急救援员,2025,,,,,,,,,,,,,,,,,
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,4-01-03-01::牲畜经纪人,牲畜经纪人,,牲畜经纪人,"牲 畜 经 纪 人",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,农产品经纪人,2025,,,,,,,,,,,,,,,,,
CN,China_New_WorkTypes_2025_42,china_new_work_types_2025,4-02-06-03::智慧仓运维员,智慧仓运维员,,智慧仓运维员,"智 慧 仓 运 维 worker",machine_assisted_rule_review,child_role_review,,,,,new_work_type_child_role,,https://file.m12333.cn/upfile/download/3037d5c4-23c4-06fe-6500-c559089fa3e3.pdf,"Child work type under parent occupation; review as alias/sub-role, not top-level occupation by default.",,物流服务师,2025,L,,,,,,,,,,,,,,,,
