import_run_id,market,authority_source,authority_code,proposed_slug,source_title_zh,source_title_en,suggested_title_zh,suggested_title_en,translation_status,review_decision,approved_title_zh,approved_title_en,reviewer_notes,source_url,definition
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-01-00-01,cn-1-01-00-01,中国共产党机关负责人,,中国共产党机关负责人,"Chinese Communist Party 机 关 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-01-00-02,cn-1-01-00-02,中国共产党基层组织负责人,,中国共产党基层组织负责人,"Chinese Communist Party 基 层 组 织 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-02-01-00,cn-1-02-01-00,国家权力机关负责人,,国家权力机关负责人,"State authority head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-02-02-00,cn-1-02-02-00,国家行政机关负责人,,国家行政机关负责人,"State administrative agency head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-02-03-00,cn-1-02-03-00,人民政协机关负责人,,人民政协机关负责人,"CPPCC organization head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-02-04-00,cn-1-02-04-00,监察机关负责人,,监察机关负责人,"监 察 机 关 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-02-05-01,cn-1-02-05-01,人民法院负责人,,人民法院负责人,"人 民 法 院 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-02-05-02,cn-1-02-05-02,人民检察院负责人,,人民检察院负责人,"人 民 检 察 院 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-03-00-01,cn-1-03-00-01,民主党派负责人,,民主党派负责人,"Democratic party head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-03-00-02,cn-1-03-00-02,工商联负责人,,工商联负责人,"工 商 联 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-04-01-01,cn-1-04-01-01,工会负责人,,工会负责人,"工 会 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-04-01-02,cn-1-04-01-02,共青团负责人,,共青团负责人,"共 青 团 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-04-01-03,cn-1-04-01-03,妇联负责人,,妇联负责人,"妇 联 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
019da6c0-b090-701d-b29b-c1ab6899dd5d,CN,china_occupation_directory_2026,1-04-01-04,cn-1-04-01-04,其他人民团体和群众团体负责人,,其他人民团体和群众团体负责人,"其 他 人 民 团 体 和 群 众 团 体 head",machine_assisted_rule_review,,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,
