index,slug,english,chinese,display_zh,entity_level,reviewer_status,index_state,canonical_path,issue_level,issue_reasons,suggested_zh
"1","accountants-and-auditors","Accountants and auditors","","Accountants and auditors","market_child","approved","indexable","/career/jobs/accountants-and-auditors","certain_error","empty_zh_falls_back_to_english; known_manual_correction_needed","会计师与审计师"
"2","cn-2-06-03-00","Accounting Professional Workers","会计专业人员","会计专业人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"3","actors","Actors","演员","演员","career_job_detail","docx_baseline_imported","indexable","/career/jobs/actors","no_obvious_issue_in_title_audit","",""
"4","actuaries","Actuaries","精算师","精算师","career_job_detail","docx_baseline_imported","indexable","/career/jobs/actuaries","no_obvious_issue_in_title_audit","",""
"5","acupuncturists","Acupuncturists","针灸师","针灸师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"6","acute-care-nurses","Acute Care Nurses","护士","护士","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","too_generic_missing_modifier",""
"7","adapted-physical-education-specialists","Adapted Physical Education Specialists","专家教育","专家教育","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"8","adhesive-bonding-machine-operators-and-tenders","Adhesive Bonding Machine Operators And Tenders","机器操作员和看护员","机器操作员和看护员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","tenders_mistranslated_as_caretakers",""
"9","administrative-law-judges-adjudicators-and-hearing-officers","Administrative Law Judges, Adjudicators, And Hearing Officers","行政法官、和官","行政法官、和官","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"10","administrative-services-managers","Administrative services and facilities managers","行政服务与设施经理","行政服务与设施经理","career_job_detail","docx_baseline_imported","indexable","/career/jobs/administrative-services-managers","no_obvious_issue_in_title_audit","",""
"11","cn-3-01-01-01","Administrative Workers","行政办事员","行政办事员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"12","cn-3-01-03-01","Administrative Workers","行政执法员","行政执法员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"13","adult-literacy-and-ged-teachers","Adult basic and secondary education and ESL teachers","成人基础与中等教育及ESL教师","成人基础与中等教育及ESL教师","career_job_detail","docx_baseline_imported","indexable","/career/jobs/adult-literacy-and-ged-teachers","no_obvious_issue_in_title_audit","",""
"14","adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors","Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors","成人基础教育、成人中等教育、和英语作为第二语言","成人基础教育、成人中等教育、和英语作为第二语言","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
