"slug","english","current_zh","has_detail","index","release","reason","suggested_zh","decision","status"
"accountants-and-auditors","Accountants and auditors","","true","indexable","public_detail_indexable","zh_missing_or_english_fallback","会计师与审计师","edit","fix_backend_empty_zh"
"acupuncturists","Acupuncturists","针灸师","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"acute-care-nurses","Acute Care Nurses","护士","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","急症护理护士","edit","edit"
"adult-literacy-and-ged-teachers","Adult basic and secondary education and ESL teachers","成人基础与中等教育及ESL教师","true","indexable","public_detail_indexable","contains_english_in_zh","","manual_review","accept_or_manual_review"
"agricultural-inspectors","Agricultural Inspectors","检查员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","农业检查员","edit","edit"
"air-crew-officers","Air Crew Officers","机组官","false","noindex","directory_draft_pending_detail","too_short_generic_zh","空勤军官","edit","edit"
"airfield-operations-specialists","Airfield Operations Specialists","专员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","机场运行专员","edit","edit"
"airline-pilots-copilots-and-flight-engineers","Airline Pilots, Copilots, And Flight Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","航空公司飞行员、副驾驶和飞行工程师","edit","edit"
"anesthesiologist-assistants","Anesthesiologist Assistants","助理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","麻醉医师助理","edit","edit"
"animal-scientists","Animal Scientists","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","动物科学家","edit","edit"
"announcers","Announcers and DJs","播音员与DJ","true","indexable","public_detail_indexable","contains_english_in_zh","","manual_review","accept_or_manual_review"
"appraisers-of-personal-and-business-property","Appraisers Of Personal And Business Property","评估师和商业财产","false","noindex","directory_draft_pending_detail","business_word_order_review","个人与商业财产评估师","edit","edit"
"art-therapists","Art Therapists","治疗师","false","noindex","directory_draft_pending_detail","too_short_generic_zh","艺术治疗师","edit","edit"
"atmospheric-and-space-scientists","Atmospheric And Space Scientists","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","大气与空间科学家","edit","edit"
"automotive-engineers","Automotive Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","汽车工程师","edit","edit"
"avionics-technicians","Avionics Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","航空电子技术员","edit","edit"
"bailiffs","Bailiffs","法警","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"bakers","Bakers","面包师","true","indexable","public_detail_indexable","too_short_generic_zh","","manual_review","accept_or_manual_review"
"baristas","Baristas","咖啡师","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"bicycle-repairers","Bicycle Repairers","自行车","false","noindex","directory_draft_pending_detail","too_short_generic_zh","自行车修理工","edit","edit"
"biofuels-processing-technicians","Biofuels Processing Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","生物燃料加工技术员","edit","edit"
"bioinformatics-scientists","Bioinformatics Scientists","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","生物信息学科学家","edit","edit"
"bioinformatics-technicians","Bioinformatics Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","生物信息技术员","edit","edit"
"biological-science-teachers-postsecondary","Biological Science Teachers, Postsecondary","科学教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校生物科学教师","edit","edit"
"biological-scientists-all-other","Biological Scientists, All Other","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","其他生物科学家","edit","edit"
"biomass-plant-technicians","Biomass Plant Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","生物质电厂技术员","edit","edit"
"blockchain-engineers","Blockchain Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","区块链工程师","edit","edit"
"brickmasons-blockmasons-and-stonemasons","Masonry workers","砌筑工","true","indexable","public_detail_indexable","too_short_generic_zh","","manual_review","accept_or_manual_review"
"bridge-and-lock-tenders","Bridge And Lock Tenders","桥梁和船闸看护员","false","noindex","directory_draft_pending_detail","tenders_context_review","桥梁与船闸操作员","edit","edit"
"business-continuity-planners","Business Continuity Planners","商业规划师","false","noindex","directory_draft_pending_detail","business_word_order_review","业务连续性规划师","edit","edit"
"business-intelligence-analysts","Business Intelligence Analysts","分析师商业","false","noindex","directory_draft_pending_detail","business_word_order_review","商业智能分析师","edit","edit"
"business-operations-specialists-all-other","Business Operations Specialists, All Other","专家商业","false","noindex","directory_draft_pending_detail","business_word_order_review","其他业务运营专员","edit","edit"
"business-teachers-postsecondary","Business Teachers, Postsecondary","教师商业","false","noindex","directory_draft_pending_detail","business_word_order_review","高校商科教师","edit","edit"
"butchers-and-meat-cutters","Butchers","屠夫","true","indexable","public_detail_indexable","too_short_generic_zh","","manual_review","accept_or_manual_review"
"chemistry-teachers-postsecondary","Chemistry Teachers, Postsecondary","教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校化学教师","edit","edit"
"choreographers","Choreographers","编舞师","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"climate-change-policy-analysts","Climate Change Policy Analysts","分析师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","气候变化政策分析师","edit","edit"
"commercial-and-industrial-designers","Commercial And Industrial Designers","设计师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","商业与工业设计师","edit","edit"
"commercial-pilots","Commercial Pilots","商业","false","noindex","directory_draft_pending_detail","too_short_generic_zh","商业飞行员","edit","edit"
"computer-numerically-controlled-tool-programmers","Computer Numerically Controlled Tool Programmers","计算机","false","noindex","directory_draft_pending_detail","too_short_generic_zh","数控机床程序员","edit","edit"
"computer-occupations-all-other","Computer Occupations, All Other","计算机","false","noindex","directory_draft_pending_detail","too_short_generic_zh","其他计算机职业","edit","edit"
"concierges","Concierges","礼宾员","true","indexable","public_detail_indexable","too_short_generic_zh","","manual_review","accept_or_manual_review"
"cooks-fast-food","Cooks, Fast Food","食品","false","noindex","directory_draft_pending_detail","too_short_generic_zh","快餐厨师","edit","edit"
"cooks-private-household","Cooks, Private Household","私人","false","noindex","directory_draft_pending_detail","too_short_generic_zh","私人家庭厨师","edit","edit"
"coroners","Coroners","验尸官","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"craft-artists","Craft Artists","艺术家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","工艺艺术家","edit","edit"
"credit-analysts","Credit Analysts","分析师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","信用分析师","edit","edit"
"crematory-operators","Crematory Operators","操作员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","火化设备操作员","edit","edit"
"criminal-justice-and-law-enforcement-teachers-postsecondary","Criminal Justice And Law Enforcement Teachers, Postsecondary","刑事和教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校刑事司法与执法教师","edit","edit"
"critical-care-nurses","Critical Care Nurses","护士","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","重症护理护士","edit","edit"
"curators","Curators","策展人","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"dancers","Dancers","舞者","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"data-entry-keyers","Data Entry Keyers","数据","false","noindex","directory_draft_pending_detail","too_short_generic_zh","数据录入员","edit","edit"
"data-scientists","Data scientists","","true","indexable","public_detail_indexable","zh_missing_or_english_fallback","数据科学家","edit","fix_backend_empty_zh"
"database-administrators-and-architects","","","false","noindex","review_needed","zh_missing_or_english_fallback","","manual_review","accept_or_manual_review"
"dental-laboratory-technicians","Dental Laboratory Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","牙科技工室技术员","edit","edit"
"designers-all-other","Designers, All Other","设计师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","其他设计师","edit","edit"
"dietetic-technicians","Dietetic Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","膳食技术员","edit","edit"
"digital-forensics-analysts","Digital Forensics Analysts","分析师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","数字取证分析师","edit","edit"
"dishwashers","Dishwashers","洗碗工","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"drafters","Drafters","制图员","true","indexable","public_detail_indexable","too_short_generic_zh","","manual_review","accept_or_manual_review"
"dredge-operators","Dredge Operators","操作员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","挖泥船操作员","edit","edit"
"economics-teachers-postsecondary","Economics Teachers, Postsecondary","教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校经济学教师","edit","edit"
"education-administrators-postsecondary","Education Administrators, Postsecondary","教育行政管理者、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校教育行政管理者","edit","edit"
"electrical-engineers","Electrical Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","电气工程师","edit","edit"
"endoscopy-technicians","Endoscopy Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","内镜技术员","edit","edit"
"energy-auditors","Energy Auditors","审计师","false","noindex","directory_draft_pending_detail","too_short_generic_zh","能源审计师","edit","edit"
"energy-engineers-except-wind-and-solar","Energy Engineers, Except Wind And Solar","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","能源工程师（不含风能和太阳能）","edit","edit"
"engineers-all-other","Engineers, All Other","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","其他工程师","edit","edit"
"english-language-and-literature-teachers-postsecondary","English Language And Literature Teachers, Postsecondary","英语语言和教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校英语语言文学教师","edit","edit"
"environmental-science-teachers-postsecondary","Environmental Science Teachers, Postsecondary","环境科学教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校环境科学教师","edit","edit"
"fallers","Fallers","伐木工","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"fire-prevention-and-protection-engineers","Fire Prevention And Protection Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","消防预防与防护工程师","edit","edit"
"food-batchmakers","Food Batchmakers","食品","false","noindex","directory_draft_pending_detail","too_short_generic_zh","食品批量制作工","edit","edit"
"food-scientists-and-technologists","Food Scientists And Technologists","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","食品科学家与食品技术专家","edit","edit"
"food-servers-nonrestaurant","Food Servers, Nonrestaurant","食品","false","noindex","directory_draft_pending_detail","too_short_generic_zh","非餐厅食品服务员","edit","edit"
"foreign-language-and-literature-teachers-postsecondary","Foreign Language And Literature Teachers, Postsecondary","语言和教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校外语文学教师","edit","edit"
"foresters","Foresters","林务员","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"fraud-examiners-investigators-and-analysts","Fraud Examiners, Investigators And Analysts","分析师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","欺诈审查员、调查员和分析师","edit","edit"
"fuel-cell-engineers","Fuel Cell Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","燃料电池工程师","edit","edit"
"fundraising-managers","Fundraising Managers","经理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","筹款经理","edit","edit"
"geography-teachers-postsecondary","Geography Teachers, Postsecondary","教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校地理教师","edit","edit"
"geological-technicians-except-hydrologic-technicians","Geological Technicians, Except Hydrologic Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","地质技术员（不含水文技术员）","edit","edit"
"geoscientists-except-hydrologists-and-geographers","Geoscientists, Except Hydrologists And Geographers","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","地球科学家（不含水文学家和地理学家）","edit","edit"
"geothermal-technicians","Geothermal Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","地热技术员","edit","edit"
"health-and-safety-engineers-except-mining-safety-engineers-and-inspectors","Health And Safety Engineers, Except Mining Safety Engineers And Inspectors","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","健康与安全工程师（不含矿山安全工程师和检查员）","edit","edit"
"health-specialties-teachers-postsecondary","Health Specialties Teachers, Postsecondary","健康教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校健康专业教师","edit","edit"
"hearing-aid-specialists","Hearing Aid Specialists","专员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","助听器验配专员","edit","edit"
"helpers-electricians","Helpers Electricians","帮工","false","noindex","directory_draft_pending_detail","too_short_generic_zh","电工帮工","edit","edit"
"histology-technicians","Histology Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","组织学技术员","edit","edit"
"history-teachers-postsecondary","History Teachers, Postsecondary","教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校历史教师","edit","edit"
"home-appliance-repairers","Home Appliance Repairers","家电","false","noindex","directory_draft_pending_detail","too_short_generic_zh","家电维修工","edit","edit"
"human-factors-engineers-and-ergonomists","Human Factors Engineers And Ergonomists","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","人因工程师与人体工效学专家","edit","edit"
"human-resources-specialists","Human resources specialists","","true","indexable","public_detail_indexable","zh_missing_or_english_fallback","人力资源专员","edit","fix_backend_empty_zh"
"hydroelectric-plant-technicians","Hydroelectric Plant Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","水电站技术员","edit","edit"
"hydrologic-technicians","Hydrologic Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","水文技术员","edit","edit"
"infantry","Infantry","步兵","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"infantry-officers","Infantry Officers","步兵官","false","noindex","directory_draft_pending_detail","too_short_generic_zh","步兵军官","edit","edit"
"information-security-engineers","Information Security Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","信息安全工程师","edit","edit"
"insulation-workers-mechanical","Insulation Workers, Mechanical","工人","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","机械绝缘工","edit","edit"
"intelligence-analysts","Intelligence Analysts","分析师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","情报分析师","edit","edit"
"investment-fund-managers","Investment Fund Managers","经理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","投资基金经理","edit","edit"
"law-teachers-postsecondary","Law Teachers, Postsecondary","教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校法学教师","edit","edit"
"legislators","Legislators","立法者","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"library-assistants-clerical","Library Assistants, Clerical","助理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","图书馆文书助理","edit","edit"
"library-science-teachers-postsecondary","Library Science Teachers, Postsecondary","科学教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校图书馆学教师","edit","edit"
"library-technicians","Library Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","图书馆技术员","edit","edit"
"life-scientists-all-other","Life Scientists, All Other","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","其他生命科学家","edit","edit"
"locomotive-engineers","Locomotive Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","机车工程师","edit","edit"
"logistics-analysts","Logistics Analysts","分析师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","物流分析师","edit","edit"
"logistics-engineers","Logistics Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","物流工程师","edit","edit"
"loss-prevention-managers","Loss Prevention Managers","经理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","损失预防经理","edit","edit"
"management-analysts","Management analysts","","true","indexable","public_detail_indexable","zh_missing_or_english_fallback","管理分析师","edit","fix_backend_empty_zh"
"manufacturing-engineers","Manufacturing Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","制造工程师","edit","edit"
"materials-scientists","Materials Scientists","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","材料科学家","edit","edit"
"mathematicians","Mathematicians","数学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"mechanical-door-repairers","Mechanical Door Repairers","机械门","false","noindex","directory_draft_pending_detail","too_short_generic_zh","机械门维修工","edit","edit"
"mechanical-drafters","Mechanical Drafters","制图员","false","noindex","directory_draft_pending_detail","too_short_generic_zh","机械制图员","edit","edit"
"mechatronics-engineers","Mechatronics Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","机电一体化工程师","edit","edit"
"media-programming-directors","Media Programming Directors","总监","false","noindex","directory_draft_pending_detail","too_short_generic_zh","媒体节目编排总监","edit","edit"
"medical-scientists-except-epidemiologists","Medical Scientists, Except Epidemiologists","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","医学科学家（不含流行病学家）","edit","edit"
"microsystems-engineers","Microsystems Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","微系统工程师","edit","edit"
"midwives","Midwives","助产士","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"mining-and-geological-engineers-including-mining-safety-engineers","Mining And Geological Engineers, Including Mining Safety Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","采矿与地质工程师（含矿山安全工程师）","edit","edit"
"models","Models","模特","true","indexable","public_detail_indexable","too_short_generic_zh","","manual_review","accept_or_manual_review"
"molecular-and-cellular-biologists","Molecular And Cellular Biologists","分子与细胞生物学家","false","noindex","directory_draft_pending_detail","cellular_context_review","","manual_review","accept_or_manual_review"
"motorboat-operators","Motorboat Operators","操作员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","机动船操作员","edit","edit"
"music-therapists","Music Therapists","治疗师","false","noindex","directory_draft_pending_detail","too_short_generic_zh","音乐治疗师","edit","edit"
"nannies","Nannies","保姆","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
